,player-1,player-2,avg
0,HM Nicholls,GH Worker,59.4
1,GD Elliott,GH Worker,30.5
2,DAJ Bracewell,GH Worker,43.5
3,TG Southee,GH Worker,39.666666666666664
4,MS Chapman,GH Worker,0.0
5,NT Broom,GH Worker,65.5
6,GH Worker,HK Bennett,17.0
7,BB McCullum,GH Worker,0.0
8,TD Astle,GH Worker,60.333333333333336
9,TA Boult,GH Worker,31.0
10,GH Worker,CJ Anderson,0.0
11,GH Worker,AP Devcich,0.0
12,MJ McClenaghan,GH Worker,0.0
13,JDS Neesham,GH Worker,74.5
14,GH Worker,TA Blundell,0.0
15,NL McCullum,GH Worker,0.0
16,LRPL Taylor,GH Worker,87.0
17,BM Wheeler,GH Worker,27.0
18,GH Worker,JS Patel,0.0
19,DG Brownlie,GH Worker,0.0
20,C de Grandhomme,GH Worker,16.0
21,MJ Henry,GH Worker,30.0
22,MJ Santner,GH Worker,25.0
23,SHA Rance,GH Worker,33.5
24,GH Worker,TWM Latham,64.88888888888889
25,GH Worker,IS Sodhi,29.833333333333332
26,GH Worker,SC Kuggeleijn,61.0
27,L Ronchi,GH Worker,43.25
28,DL Vettori,GH Worker,0.0
29,BJ Watling,GH Worker,0.0
30,MJ Guptill,GH Worker,77.0
31,TL Seifert,GH Worker,0.0
32,GH Worker,KD Mills,0.0
33,GH Worker,C Munro,49.666666666666664
34,GH Worker,LH Ferguson,30.0
35,KS Williamson,GH Worker,47.8
36,AF Milne,GH Worker,22.5
37,GH Worker,KA Jamieson,0.0
38,GH Worker,AW Mathieson,0.0
39,GD Elliott,HM Nicholls,56.6
40,DAJ Bracewell,HM Nicholls,35.888888888888886
41,TG Southee,HM Nicholls,35.69230769230769
42,MS Chapman,HM Nicholls,26.75
43,NT Broom,HM Nicholls,54.5
44,HM Nicholls,HK Bennett,66.33333333333333
45,BB McCullum,HM Nicholls,47.5
46,TD Astle,HM Nicholls,33.22222222222222
47,TA Boult,HM Nicholls,25.27027027027027
48,HM Nicholls,CJ Anderson,53.6
49,HM Nicholls,AP Devcich,0.0
50,MJ McClenaghan,HM Nicholls,39.0
51,JDS Neesham,HM Nicholls,57.86666666666667
52,HM Nicholls,TA Blundell,75.0
53,NL McCullum,HM Nicholls,0.0
54,LRPL Taylor,HM Nicholls,78.02631578947368
55,BM Wheeler,HM Nicholls,0.0
56,HM Nicholls,JS Patel,0.0
57,DG Brownlie,HM Nicholls,0.0
58,C de Grandhomme,HM Nicholls,41.53846153846154
59,MJ Henry,HM Nicholls,34.25
60,MJ Santner,HM Nicholls,41.31428571428572
61,SHA Rance,HM Nicholls,0.0
62,HM Nicholls,TWM Latham,54.15384615384615
63,HM Nicholls,IS Sodhi,29.352941176470587
64,HM Nicholls,SC Kuggeleijn,0.0
65,L Ronchi,HM Nicholls,36.0
66,DL Vettori,HM Nicholls,0.0
67,BJ Watling,HM Nicholls,11.0
68,MJ Guptill,HM Nicholls,72.375
69,TL Seifert,HM Nicholls,68.0
70,HM Nicholls,KD Mills,0.0
71,HM Nicholls,C Munro,51.333333333333336
72,HM Nicholls,LH Ferguson,29.043478260869566
73,KS Williamson,HM Nicholls,62.578947368421055
74,AF Milne,HM Nicholls,28.8
75,HM Nicholls,KA Jamieson,73.0
76,HM Nicholls,AW Mathieson,0.0
77,GD Elliott,DAJ Bracewell,28.333333333333332
78,GD Elliott,TG Southee,41.0
79,GD Elliott,MS Chapman,0.0
80,GD Elliott,NT Broom,0.0
81,GD Elliott,HK Bennett,0.0
82,GD Elliott,BB McCullum,64.1304347826087
83,GD Elliott,TD Astle,0.0
84,GD Elliott,TA Boult,32.8421052631579
85,GD Elliott,CJ Anderson,61.8421052631579
86,GD Elliott,AP Devcich,0.0
87,GD Elliott,MJ McClenaghan,32.4
88,GD Elliott,JDS Neesham,58.333333333333336
89,GD Elliott,TA Blundell,0.0
90,GD Elliott,NL McCullum,41.0
91,GD Elliott,LRPL Taylor,83.57142857142857
92,GD Elliott,BM Wheeler,34.833333333333336
93,GD Elliott,JS Patel,0.0
94,GD Elliott,DG Brownlie,0.0
95,GD Elliott,C de Grandhomme,0.0
96,GD Elliott,MJ Henry,39.0
97,GD Elliott,MJ Santner,49.888888888888886
98,GD Elliott,SHA Rance,0.0
99,GD Elliott,TWM Latham,56.5
100,GD Elliott,IS Sodhi,22.571428571428573
101,GD Elliott,SC Kuggeleijn,0.0
102,GD Elliott,L Ronchi,45.29032258064516
