,player-1,player-2,player-3,avg
0,TWM Latham,DG Brownlie,TL Seifert,0.0
1,TWM Latham,MJ Guptill,TL Seifert,0.0
2,TWM Latham,TD Astle,TL Seifert,0.0
3,TWM Latham,CJ Anderson,TL Seifert,0.0
4,SHA Rance,TWM Latham,TL Seifert,0.0
5,TWM Latham,KD Mills,TL Seifert,0.0
6,TWM Latham,JDS Neesham,TL Seifert,0.0
7,TWM Latham,HM Nicholls,TL Seifert,0.0
8,TWM Latham,TL Seifert,KS Williamson,0.0
9,NT Broom,TWM Latham,TL Seifert,0.0
10,TWM Latham,TL Seifert,DAJ Bracewell,0.0
11,TWM Latham,MJ Henry,TL Seifert,0.0
12,AW Mathieson,TWM Latham,TL Seifert,0.0
13,TWM Latham,TA Boult,TL Seifert,0.0
14,TWM Latham,DL Vettori,TL Seifert,0.0
15,TWM Latham,MJ Santner,TL Seifert,0.0
16,TWM Latham,AF Milne,TL Seifert,0.0
17,TWM Latham,TL Seifert,C Munro,0.0
18,TWM Latham,TL Seifert,AP Devcich,0.0
19,TWM Latham,TL Seifert,KA Jamieson,0.0
20,TWM Latham,TA Blundell,TL Seifert,0.0
21,TWM Latham,C de Grandhomme,TL Seifert,0.0
22,TWM Latham,IS Sodhi,TL Seifert,0.0
23,TWM Latham,LH Ferguson,TL Seifert,0.0
24,TWM Latham,HK Bennett,TL Seifert,0.0
25,L Ronchi,TWM Latham,TL Seifert,0.0
26,TWM Latham,MJ McClenaghan,TL Seifert,0.0
27,TWM Latham,SC Kuggeleijn,TL Seifert,0.0
28,LRPL Taylor,TWM Latham,TL Seifert,0.0
29,JS Patel,TWM Latham,TL Seifert,0.0
30,TWM Latham,MS Chapman,TL Seifert,0.0
31,TWM Latham,TL Seifert,BB McCullum,0.0
32,TWM Latham,NL McCullum,TL Seifert,0.0
33,GD Elliott,TWM Latham,TL Seifert,0.0
34,TWM Latham,BJ Watling,TL Seifert,0.0
35,TWM Latham,BM Wheeler,TL Seifert,0.0
36,TWM Latham,GH Worker,TL Seifert,0.0
37,TWM Latham,TG Southee,TL Seifert,0.0
38,TWM Latham,DG Brownlie,MJ Guptill,0.0
39,TWM Latham,DG Brownlie,TD Astle,0.0
40,TWM Latham,DG Brownlie,CJ Anderson,0.0
41,SHA Rance,TWM Latham,DG Brownlie,0.0
42,TWM Latham,DG Brownlie,KD Mills,0.0
43,TWM Latham,DG Brownlie,JDS Neesham,61.5
44,TWM Latham,DG Brownlie,HM Nicholls,0.0
45,TWM Latham,DG Brownlie,KS Williamson,79.75
46,NT Broom,TWM Latham,DG Brownlie,36.0
47,TWM Latham,DG Brownlie,DAJ Bracewell,0.0
48,TWM Latham,DG Brownlie,MJ Henry,0.0
49,AW Mathieson,TWM Latham,DG Brownlie,0.0
50,TWM Latham,DG Brownlie,TA Boult,34.25
51,TWM Latham,DG Brownlie,DL Vettori,0.0
52,TWM Latham,DG Brownlie,MJ Santner,47.0
53,AF Milne,TWM Latham,DG Brownlie,0.0
54,TWM Latham,DG Brownlie,C Munro,66.0
55,TWM Latham,DG Brownlie,AP Devcich,0.0
56,TWM Latham,DG Brownlie,KA Jamieson,0.0
57,TWM Latham,DG Brownlie,TA Blundell,0.0
58,TWM Latham,DG Brownlie,C de Grandhomme,45.666666666666664
59,TWM Latham,DG Brownlie,IS Sodhi,33.5
60,TWM Latham,DG Brownlie,LH Ferguson,34.5
61,TWM Latham,DG Brownlie,HK Bennett,0.0
62,L Ronchi,TWM Latham,DG Brownlie,0.0
63,TWM Latham,DG Brownlie,MJ McClenaghan,0.0
64,TWM Latham,DG Brownlie,SC Kuggeleijn,0.0
65,LRPL Taylor,TWM Latham,DG Brownlie,90.0
66,JS Patel,TWM Latham,DG Brownlie,0.0
67,TWM Latham,DG Brownlie,MS Chapman,0.0
68,TWM Latham,DG Brownlie,BB McCullum,0.0
69,TWM Latham,DG Brownlie,NL McCullum,0.0
70,GD Elliott,TWM Latham,DG Brownlie,0.0
71,TWM Latham,DG Brownlie,BJ Watling,0.0
72,TWM Latham,DG Brownlie,BM Wheeler,0.0
73,TWM Latham,DG Brownlie,GH Worker,0.0
74,TWM Latham,DG Brownlie,TG Southee,42.75
75,TWM Latham,TD Astle,MJ Guptill,70.8
76,TWM Latham,CJ Anderson,MJ Guptill,57.77777777777778
77,SHA Rance,TWM Latham,MJ Guptill,0.0
78,TWM Latham,KD Mills,MJ Guptill,49.0
79,TWM Latham,JDS Neesham,MJ Guptill,85.0
80,TWM Latham,HM Nicholls,MJ Guptill,95.60606060606061
81,TWM Latham,MJ Guptill,KS Williamson,107.75
82,NT Broom,TWM Latham,MJ Guptill,138.25
83,TWM Latham,MJ Guptill,DAJ Bracewell,96.33333333333333
84,TWM Latham,MJ Henry,MJ Guptill,69.125
85,AW Mathieson,TWM Latham,MJ Guptill,0.0
86,TWM Latham,TA Boult,MJ Guptill,60.90909090909091
87,TWM Latham,DL Vettori,MJ Guptill,31.5
88,TWM Latham,MJ Santner,MJ Guptill,76.14893617021276
89,TWM Latham,AF Milne,MJ Guptill,83.33333333333333
90,TWM Latham,MJ Guptill,C Munro,89.31428571428572
