,player-1,player-2,combined_avg,sum_of_individual
0,DG Brownlie,MJ Santner,39.66666666666666,39.53
1,DG Brownlie,TG Southee,33.833333333333336,32.349999999999994
2,DG Brownlie,LH Ferguson,34.5,28.13
3,DG Brownlie,C Munro,66.0,48.86
4,DG Brownlie,IS Sodhi,32.5,28.939999999999998
5,DG Brownlie,MJ Guptill,106.0,68.77
6,LRPL Taylor,DG Brownlie,76.66666666666667,72.77
7,SC Kuggeleijn,NT Broom,64.0,42.75
8,SC Kuggeleijn,GH Worker,61.0,33.72
9,SC Kuggeleijn,JDS Neesham,41.0,30.28
10,TWM Latham,SC Kuggeleijn,65.0,35.05
11,SC Kuggeleijn,L Ronchi,41.5,19.240000000000002
12,SC Kuggeleijn,SHA Rance,11.0,5.5
13,LRPL Taylor,SC Kuggeleijn,60.0,51.94
14,MS Chapman,TA Blundell,23.0,18.0
15,TWM Latham,TA Blundell,53.5,45.05
16,MJ Guptill,TA Blundell,71.0,57.94
17,TA Blundell,HM Nicholls,75.0,42.83
18,TA Blundell,KA Jamieson,47.0,28.0
19,LRPL Taylor,TA Blundell,106.5,61.94
20,MJ Santner,AF Milne,26.5,18.74
21,MJ Santner,TG Southee,21.83333333333333,19.22
22,MS Chapman,MJ Santner,60.0,15.7
23,GD Elliott,MJ Santner,49.88888888888889,43.33
24,MJ McClenaghan,MJ Santner,26.75,16.2
25,MJ Santner,BM Wheeler,37.333333333333336,22.869999999999997
26,MJ Santner,IS Sodhi,17.666666666666668,15.809999999999999
27,MJ Santner,HM Nicholls,41.31428571428572,40.53
28,MJ Santner,KS Williamson,60.30508474576271,58.06
29,MJ Santner,TA Boult,15.814814814814815,14.77
30,C de Grandhomme,MJ Santner,32.411764705882355,30.33
31,CJ Anderson,AF Milne,30.125,27.43
32,C Munro,AF Milne,36.285714285714285,28.07
33,AF Milne,NL McCullum,19.6,13.45
34,JDS Neesham,AF Milne,38.0,30.32
35,BB McCullum,AF Milne,48.53333333333333,37.85
36,MJ McClenaghan,AF Milne,11.0,8.54
37,TWM Latham,AF Milne,51.0,35.09
38,MJ Guptill,AF Milne,55.16,47.98
39,KS Williamson,AF Milne,50.63636363636363,50.4
40,MJ Henry,AF Milne,13.625,10.440000000000001
41,MS Chapman,TG Southee,9.0,8.52
42,TG Southee,GH Worker,39.66666666666666,34.239999999999995
43,TG Southee,LH Ferguson,8.5,7.819999999999999
44,TG Southee,C Munro,30.62962962962963,28.55
45,TG Southee,KD Mills,31.0,16.02
46,GD Elliott,TG Southee,41.0,36.15
47,JDS Neesham,TG Southee,31.875,30.8
48,TG Southee,BM Wheeler,23.0,15.69
49,TG Southee,IS Sodhi,13.714285714285715,8.629999999999999
50,TWM Latham,TG Southee,39.692307692307686,35.57
51,TG Southee,HM Nicholls,35.692307692307686,33.349999999999994
52,TG Southee,L Ronchi,22.48148148148148,19.759999999999998
53,LRPL Taylor,TG Southee,55.150943396226424,52.459999999999994
54,DAJ Bracewell,TG Southee,33.5,18.02
55,MJ Henry,TG Southee,11.0,10.92
56,AW Mathieson,TG Southee,18.0,6.02
57,C de Grandhomme,TG Southee,25.41666666666667,23.15
58,MS Chapman,LH Ferguson,20.0,4.3
59,MS Chapman,IS Sodhi,7.5,5.109999999999999
60,MS Chapman,MJ Guptill,47.25,44.94
61,MS Chapman,KA Jamieson,26.0,15.0
62,MS Chapman,KS Williamson,67.0,47.36
63,MS Chapman,TA Boult,4.333333333333333,4.07
64,NT Broom,GH Worker,65.5,65.47
65,HK Bennett,NT Broom,55.5,37.25
66,NT Broom,C Munro,68.36363636363636,59.78
67,JDS Neesham,NT Broom,69.92307692307692,62.03
68,TWM Latham,NT Broom,73.92857142857143,66.8
69,NT Broom,MJ Guptill,81.66666666666667,79.69
70,JS Patel,NT Broom,83.5,39.0
71,NT Broom,L Ronchi,73.33333333333333,50.99
72,NT Broom,KS Williamson,85.5,82.11
73,NT Broom,SHA Rance,63.5,37.25
74,NT Broom,MJ Henry,42.2,42.15
75,BJ Watling,C Munro,37.0,31.53
76,JDS Neesham,BJ Watling,38.5,33.78
77,MJ Guptill,BJ Watling,62.0,51.44
78,BJ Watling,AP Devcich,25.0,18.0
79,MJ Henry,BJ Watling,28.5,13.9
80,TD Astle,GH Worker,60.33333333333334,37.0
81,JDS Neesham,GH Worker,74.5,53.0
82,TWM Latham,GH Worker,64.8888888888889,57.769999999999996
83,MJ Guptill,GH Worker,77.0,70.66
84,HM Nicholls,GH Worker,59.4,55.55
85,GH Worker,L Ronchi,43.25,41.96
86,SHA Rance,GH Worker,33.5,28.22
87,LRPL Taylor,GH Worker,87.0,74.66
88,DAJ Bracewell,GH Worker,43.5,40.22
89,GH Worker,TA Boult,31.0,29.79
90,TD Astle,LH Ferguson,10.714285714285714,10.58
91,TD Astle,C Munro,38.42857142857143,31.310000000000002
92,TD Astle,MJ Guptill,63.2,51.22
93,TD Astle,KS Williamson,55.714285714285715,53.64
94,TD Astle,DAJ Bracewell,34.5,20.78
95,TD Astle,MJ Henry,15.2,13.68
96,HK Bennett,CJ Anderson,24.0,21.89
97,TWM Latham,HK Bennett,49.2,29.55
98,HK Bennett,MJ Guptill,59.0,42.44
99,JS Patel,HK Bennett,7.0,1.75
100,HK Bennett,HM Nicholls,66.33333333333333,27.33
101,HK Bennett,L Ronchi,14.5,13.74
102,LRPL Taylor,HK Bennett,55.8,46.44
103,HK Bennett,MJ Henry,5.0,4.9
104,HK Bennett,C de Grandhomme,21.33333333333333,17.13
105,CJ Anderson,C Munro,44.5,44.42
106,CJ Anderson,KD Mills,33.0,31.89
107,GD Elliott,CJ Anderson,61.842105263157904,52.019999999999996
108,CJ Anderson,NL McCullum,33.0,29.8
109,BB McCullum,CJ Anderson,63.444444444444436,54.2
110,MJ McClenaghan,CJ Anderson,41.42857142857143,24.89
111,TWM Latham,CJ Anderson,59.36363636363637,51.44
112,JS Patel,CJ Anderson,31.0,23.64
113,HM Nicholls,CJ Anderson,53.6,49.22
114,CJ Anderson,L Ronchi,39.925925925925924,35.63
115,DL Vettori,CJ Anderson,36.25,29.12
116,MJ Henry,CJ Anderson,29.58333333333333,26.79
117,C Munro,LH Ferguson,25.310344827586214,24.330000000000002
118,IS Sodhi,LH Ferguson,10.875,4.41
119,MJ Guptill,LH Ferguson,45.53571428571429,44.239999999999995
120,LH Ferguson,L Ronchi,22.0,15.540000000000001
121,DAJ Bracewell,LH Ferguson,19.6,13.8
122,LH Ferguson,TA Boult,4.393939393939394,3.37
123,C de Grandhomme,LH Ferguson,22.809523809523807,18.93
124,JDS Neesham,C Munro,54.78260869565217,47.31
125,TWM Latham,C Munro,55.34782608695652,52.08
126,HM Nicholls,C Munro,51.33333333333334,49.86
127,LRPL Taylor,C Munro,74.72972972972974,68.97
128,DAJ Bracewell,C Munro,36.714285714285715,34.53
129,MJ Henry,C Munro,27.78947368421053,27.43
130,C Munro,TA Boult,26.64864864864865,24.1
131,C de Grandhomme,C Munro,42.875,39.66
132,C Munro,TL Seifert,51.33333333333334,33.53
133,GD Elliott,KD Mills,46.33333333333334,40.129999999999995
134,MJ McClenaghan,KD Mills,17.5,13.0
135,KD Mills,L Ronchi,30.0,23.740000000000002
136,KS Williamson,KD Mills,90.5,54.86
137,LRPL Taylor,KD Mills,65.33333333333333,56.44
138,DL Vettori,KD Mills,34.0,17.23
139,GD Elliott,NL McCullum,41.0,38.04
140,GD Elliott,JDS Neesham,58.33333333333334,54.91
141,GD Elliott,BB McCullum,64.1304347826087,62.44
142,GD Elliott,MJ Guptill,77.45161290322581,72.57
143,GD Elliott,L Ronchi,45.29032258064516,43.87
144,GD Elliott,KS Williamson,77.36666666666666,74.99
145,GD Elliott,LRPL Taylor,83.57142857142857,76.57
146,GD Elliott,DL Vettori,40.41666666666666,37.36
147,GD Elliott,MJ Henry,39.0,35.03
148,GD Elliott,AW Mathieson,35.0,30.13
149,GD Elliott,TA Boult,32.8421052631579,31.7
150,JDS Neesham,NL McCullum,42.333333333333336,32.69
151,BB McCullum,NL McCullum,48.85714285714285,40.22
152,BM Wheeler,NL McCullum,25.0,17.58
153,TWM Latham,NL McCullum,45.14285714285714,37.46
154,NL McCullum,L Ronchi,28.63636363636364,21.65
155,KS Williamson,NL McCullum,66.55555555555556,52.769999999999996
156,LRPL Taylor,NL McCullum,66.25,54.349999999999994
157,MJ McClenaghan,JDS Neesham,36.0,27.78
158,JDS Neesham,BM Wheeler,37.0,34.45
159,JDS Neesham,IS Sodhi,28.875,27.39
160,JDS Neesham,HM Nicholls,57.86666666666667,52.11
161,JDS Neesham,KS Williamson,70.94871794871794,69.64
162,JDS Neesham,SHA Rance,41.0,24.78
163,JDS Neesham,MJ Henry,33.285714285714285,29.68
164,JDS Neesham,TA Boult,27.484848484848484,26.35
165,JDS Neesham,TL Seifert,52.0,35.78
