,player-1,player-2,player-3,combined_avg,sum_of_individual
0,NT Broom,TWM Latham,MJ Guptill,138.25,109.24
1,TWM Latham,MJ Guptill,DAJ Bracewell,96.33333333333331,83.99
2,TWM Latham,AF Milne,MJ Guptill,83.33333333333333,77.53
3,TWM Latham,MJ Guptill,AP Devcich,87.5,80.99
4,TWM Latham,MJ Guptill,KA Jamieson,104.5,84.49
5,TWM Latham,TA Blundell,MJ Guptill,109.0,87.49
6,TWM Latham,IS Sodhi,MJ Guptill,82.55,74.6
7,TWM Latham,HK Bennett,MJ Guptill,95.0,71.99
8,TWM Latham,MJ McClenaghan,MJ Guptill,76.8,74.99
9,TWM Latham,MJ Guptill,BB McCullum,107.8,104.3
10,TWM Latham,BM Wheeler,MJ Guptill,100.66666666666669,81.66
11,TWM Latham,GH Worker,MJ Guptill,136.0,100.21
12,TWM Latham,TD Astle,DAJ Bracewell,53.0,50.33
13,TWM Latham,TD Astle,GH Worker,85.0,66.55
14,TWM Latham,JDS Neesham,CJ Anderson,88.25,76.22
15,TWM Latham,HM Nicholls,CJ Anderson,103.0,78.77
16,NT Broom,TWM Latham,CJ Anderson,166.5,88.69
17,TWM Latham,CJ Anderson,DAJ Bracewell,98.0,63.44
18,TWM Latham,MJ Henry,CJ Anderson,85.83333333333333,56.34
19,TWM Latham,MJ Santner,CJ Anderson,82.42857142857143,64.64
20,TWM Latham,AF Milne,CJ Anderson,72.25,56.980000000000004
21,TWM Latham,CJ Anderson,C Munro,138.5,73.97
22,TWM Latham,CJ Anderson,AP Devcich,74.0,60.44
23,TWM Latham,IS Sodhi,CJ Anderson,75.66666666666667,54.050000000000004
24,TWM Latham,HK Bennett,CJ Anderson,108.0,51.44
25,L Ronchi,TWM Latham,CJ Anderson,74.7,65.18
26,TWM Latham,MJ McClenaghan,CJ Anderson,62.66666666666666,54.44
27,TWM Latham,SC Kuggeleijn,CJ Anderson,124.0,56.94
28,JS Patel,TWM Latham,CJ Anderson,115.0,53.19
29,TWM Latham,CJ Anderson,BB McCullum,104.66666666666669,83.75
30,TWM Latham,TG Southee,CJ Anderson,68.0,57.46
31,SHA Rance,TWM Latham,JDS Neesham,75.5,54.33
32,SHA Rance,TWM Latham,NT Broom,98.0,66.8
33,SHA Rance,TWM Latham,IS Sodhi,34.5,32.160000000000004
34,SHA Rance,TWM Latham,HK Bennett,54.0,29.55
35,SHA Rance,TWM Latham,L Ronchi,66.5,43.29
36,SHA Rance,TWM Latham,GH Worker,68.0,57.769999999999996
37,TWM Latham,KD Mills,KS Williamson,90.0,84.41
38,TWM Latham,KD Mills,DL Vettori,71.0,46.78
39,GD Elliott,TWM Latham,KD Mills,73.5,69.68
40,NT Broom,TWM Latham,JDS Neesham,104.1818181818182,91.58
41,TWM Latham,JDS Neesham,DAJ Bracewell,104.0,66.33
42,TWM Latham,AF Milne,JDS Neesham,116.0,59.870000000000005
43,TWM Latham,JDS Neesham,C Munro,77.2,76.86
44,TWM Latham,JDS Neesham,IS Sodhi,58.30769230769231,56.94
45,HK Bennett,TWM Latham,JDS Neesham,67.0,54.33
46,L Ronchi,TWM Latham,JDS Neesham,88.72727272727273,68.07
47,TWM Latham,MJ McClenaghan,JDS Neesham,66.0,57.33
48,JS Patel,TWM Latham,JDS Neesham,64.5,56.08
49,TWM Latham,JDS Neesham,NL McCullum,72.33333333333333,62.239999999999995
50,GD Elliott,TWM Latham,JDS Neesham,88.33333333333331,84.46000000000001
51,TWM Latham,GH Worker,JDS Neesham,109.0,82.55
52,TWM Latham,JDS Neesham,TG Southee,66.83333333333333,60.349999999999994
53,TWM Latham,MJ Santner,HM Nicholls,70.40625,70.08
54,TWM Latham,AF Milne,HM Nicholls,68.5,62.42
55,TWM Latham,HM Nicholls,KA Jamieson,92.5,69.38
56,TWM Latham,TA Blundell,HM Nicholls,113.0,72.38
57,TWM Latham,C de Grandhomme,HM Nicholls,74.30769230769229,74.00999999999999
58,TWM Latham,HK Bennett,HM Nicholls,102.33333333333331,56.879999999999995
59,TWM Latham,MJ McClenaghan,HM Nicholls,61.0,59.879999999999995
60,GD Elliott,TWM Latham,HM Nicholls,93.0,87.00999999999999
61,TWM Latham,GH Worker,HM Nicholls,88.0,85.1
62,TWM Latham,TG Southee,HM Nicholls,66.58333333333333,62.9
63,TWM Latham,DAJ Bracewell,KS Williamson,93.375,86.41
64,TWM Latham,DL Vettori,KS Williamson,95.0,81.64
65,TWM Latham,AF Milne,KS Williamson,87.22222222222223,79.95
66,TWM Latham,AP Devcich,KS Williamson,131.0,83.41
67,TWM Latham,IS Sodhi,KS Williamson,79.9090909090909,77.02000000000001
68,L Ronchi,TWM Latham,KS Williamson,98.35294117647058,88.15
69,TWM Latham,MJ McClenaghan,KS Williamson,87.25,77.41
70,JS Patel,TWM Latham,KS Williamson,99.0,76.16
71,TWM Latham,NL McCullum,KS Williamson,104.8,82.32
72,TWM Latham,BM Wheeler,KS Williamson,94.33333333333331,84.08
73,TWM Latham,TG Southee,KS Williamson,81.22857142857143,80.43
74,NT Broom,TWM Latham,MJ Henry,92.0,71.7
75,NT Broom,TWM Latham,MJ Santner,85.76923076923076,80.0
76,NT Broom,TWM Latham,AF Milne,152.0,72.34
77,NT Broom,TWM Latham,C Munro,112.36363636363636,89.33
78,NT Broom,TWM Latham,HK Bennett,124.5,66.8
79,NT Broom,TWM Latham,L Ronchi,145.28571428571428,80.53999999999999
80,NT Broom,TWM Latham,SC Kuggeleijn,123.5,72.3
81,NT Broom,TWM Latham,JS Patel,127.5,68.55
82,NT Broom,TWM Latham,GH Worker,97.0,95.02
83,TWM Latham,TA Boult,DAJ Bracewell,46.0,43.120000000000005
84,TWM Latham,MJ Santner,DAJ Bracewell,56.66666666666666,54.75
85,TWM Latham,AF Milne,DAJ Bracewell,60.5,47.09
86,TWM Latham,C Munro,DAJ Bracewell,72.57142857142857,64.08
87,TWM Latham,C de Grandhomme,DAJ Bracewell,94.0,58.68
88,TWM Latham,IS Sodhi,DAJ Bracewell,69.5,44.160000000000004
89,TWM Latham,LH Ferguson,DAJ Bracewell,46.2,43.35
90,L Ronchi,TWM Latham,DAJ Bracewell,56.66666666666666,55.29
91,GD Elliott,TWM Latham,DAJ Bracewell,75.5,71.68
92,TWM Latham,BM Wheeler,DAJ Bracewell,72.0,51.22
93,TWM Latham,GH Worker,DAJ Bracewell,82.25,69.77
94,TWM Latham,TG Southee,DAJ Bracewell,70.75,47.57
95,TWM Latham,AF Milne,MJ Henry,44.0,39.99
96,TWM Latham,MJ Henry,AP Devcich,59.0,43.45
97,TWM Latham,MJ Henry,IS Sodhi,49.0,37.06
98,TWM Latham,MJ Henry,HK Bennett,89.0,34.45
99,L Ronchi,TWM Latham,MJ Henry,56.5,48.19
100,TWM Latham,MJ McClenaghan,MJ Henry,49.8,37.449999999999996
101,TWM Latham,SC Kuggeleijn,MJ Henry,104.0,39.949999999999996
102,JS Patel,TWM Latham,MJ Henry,50.0,36.2
103,TWM Latham,MJ Henry,BB McCullum,77.33333333333333,66.76
104,TWM Latham,MJ Henry,NL McCullum,54.0,42.36
105,GD Elliott,TWM Latham,MJ Henry,75.33333333333333,64.58
106,TWM Latham,MJ Henry,TG Southee,44.83333333333334,40.47
107,TWM Latham,AF Milne,TA Boult,41.42857142857143,36.660000000000004
108,TWM Latham,TA Boult,C Munro,53.771428571428565,53.650000000000006
109,TWM Latham,TA Boult,AP Devcich,54.0,40.120000000000005
110,TWM Latham,TA Boult,IS Sodhi,35.46666666666667,33.730000000000004
111,L Ronchi,TWM Latham,TA Boult,51.22222222222222,44.86
112,TWM Latham,TA Boult,BB McCullum,80.33333333333333,63.43000000000001
113,TWM Latham,GH Worker,TA Boult,59.6,59.339999999999996
114,TWM Latham,TA Boult,TG Southee,41.67741935483871,37.14
115,TWM Latham,MJ McClenaghan,DL Vettori,46.0,39.78
116,TWM Latham,DL Vettori,BB McCullum,129.0,69.09
117,TWM Latham,AF Milne,MJ Santner,73.42857142857143,48.290000000000006
118,TWM Latham,MJ Santner,AP Devcich,64.5,51.75
119,TWM Latham,MJ Santner,TA Blundell,90.0,58.25
120,TWM Latham,MJ Santner,IS Sodhi,54.38888888888889,45.36
121,TWM Latham,MJ Santner,HK Bennett,64.0,42.75
122,L Ronchi,TWM Latham,MJ Santner,70.46666666666667,56.489999999999995
123,TWM Latham,MJ McClenaghan,MJ Santner,51.25,45.75
124,TWM Latham,SC Kuggeleijn,MJ Santner,75.5,48.25
125,JS Patel,TWM Latham,MJ Santner,47.5,44.5
126,TWM Latham,MS Chapman,MJ Santner,70.66666666666667,45.25
127,TWM Latham,MJ Santner,TG Southee,56.058823529411775,48.769999999999996
128,TWM Latham,AF Milne,C Munro,106.0,57.620000000000005
129,TWM Latham,AF Milne,C de Grandhomme,85.0,52.22
130,TWM Latham,AF Milne,IS Sodhi,63.2,37.7
131,L Ronchi,TWM Latham,AF Milne,55.5,48.83
132,TWM Latham,AF Milne,MJ McClenaghan,47.5,38.09
133,TWM Latham,AF Milne,SC Kuggeleijn,114.0,40.59
134,LRPL Taylor,TWM Latham,AF Milne,90.55555555555556,81.53
135,TWM Latham,AF Milne,BB McCullum,81.75,67.4
136,TWM Latham,AF Milne,NL McCullum,48.0,43.0
137,GD Elliott,TWM Latham,AF Milne,66.2,65.22
138,TWM Latham,AF Milne,BM Wheeler,67.5,44.760000000000005
139,TWM Latham,AF Milne,GH Worker,81.5,63.31
140,TWM Latham,AF Milne,TG Southee,78.0,41.11
141,TWM Latham,C de Grandhomme,C Munro,70.29166666666667,69.21000000000001
142,TWM Latham,IS Sodhi,C Munro,70.25,54.690000000000005
143,TWM Latham,HK Bennett,C Munro,77.5,52.08
144,L Ronchi,TWM Latham,C Munro,91.83333333333331,65.82
145,TWM Latham,MJ McClenaghan,C Munro,81.33333333333333,55.08
146,TWM Latham,SC Kuggeleijn,C Munro,87.0,57.58
