,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
0,CJ Anderson,AF Milne,BB McCullum,KS Williamson,116.8181818181818,104.6
1,CJ Anderson,MJ Santner,AF Milne,KS Williamson,106.6,85.49000000000001
2,CJ Anderson,TA Boult,AF Milne,KS Williamson,75.54545454545455,73.86
3,CJ Anderson,MJ McClenaghan,AF Milne,KS Williamson,126.5,75.28999999999999
4,CJ Anderson,AF Milne,NL McCullum,KS Williamson,128.0,80.2
5,CJ Anderson,L Ronchi,AF Milne,KS Williamson,92.15384615384615,86.03
6,CJ Anderson,AF Milne,KS Williamson,JDS Neesham,106.0,97.07
7,CJ Anderson,AF Milne,TWM Latham,KS Williamson,118.0,101.84
8,CJ Anderson,AF Milne,MJ Henry,KS Williamson,77.5,77.19
9,CJ Anderson,AF Milne,KS Williamson,MJ Guptill,134.38461538461542,114.72999999999999
10,CJ Anderson,AF Milne,TG Southee,KS Williamson,79.125,78.31
11,CJ Anderson,MJ Santner,BB McCullum,KS Williamson,122.33333333333331,112.26
12,CJ Anderson,MJ McClenaghan,BB McCullum,KS Williamson,110.4,102.06
13,CJ Anderson,NL McCullum,BB McCullum,KS Williamson,115.5,106.97
14,CJ Anderson,L Ronchi,BB McCullum,KS Williamson,122.1875,112.8
15,CJ Anderson,GD Elliott,BB McCullum,KS Williamson,135.375,129.19
16,CJ Anderson,DL Vettori,BB McCullum,KS Williamson,107.9,106.29
17,CJ Anderson,BB McCullum,TWM Latham,KS Williamson,162.0,128.61
18,CJ Anderson,KD Mills,BB McCullum,KS Williamson,137.0,109.06
19,CJ Anderson,BB McCullum,KS Williamson,MJ Guptill,152.625,141.5
20,CJ Anderson,MJ Santner,TA Boult,KS Williamson,84.55555555555556,81.52000000000001
21,CJ Anderson,MJ Santner,HM Nicholls,KS Williamson,128.75,107.28
22,CJ Anderson,MJ Santner,MJ McClenaghan,KS Williamson,99.0,82.95
23,CJ Anderson,MJ Santner,MJ Henry,KS Williamson,107.33333333333331,84.85
24,CJ Anderson,MJ Santner,KS Williamson,AP Devcich,155.0,88.95
25,CJ Anderson,TA Boult,HM Nicholls,KS Williamson,95.75,95.65
26,CJ Anderson,TA Boult,MJ McClenaghan,KS Williamson,72.4,71.32
27,CJ Anderson,TA Boult,NL McCullum,KS Williamson,77.5,76.23
28,CJ Anderson,L Ronchi,TA Boult,KS Williamson,83.42105263157895,82.06
29,CJ Anderson,TA Boult,KD Mills,KS Williamson,137.0,78.32
30,CJ Anderson,TA Boult,KS Williamson,AP Devcich,151.0,77.32
31,CJ Anderson,NT Broom,KS Williamson,LRPL Taylor,151.5,150.44
32,CJ Anderson,HM Nicholls,MJ McClenaghan,KS Williamson,133.0,97.08
33,CJ Anderson,HM Nicholls,KS Williamson,MJ Guptill,142.6,136.51999999999998
34,CJ Anderson,L Ronchi,MJ McClenaghan,KS Williamson,127.0,83.49000000000001
35,CJ Anderson,GD Elliott,MJ McClenaghan,KS Williamson,118.42857142857143,99.88
36,CJ Anderson,MJ McClenaghan,DL Vettori,KS Williamson,119.0,76.98
37,CJ Anderson,MJ McClenaghan,KS Williamson,LRPL Taylor,128.0,116.19
38,CJ Anderson,MJ McClenaghan,MJ Henry,KS Williamson,99.0,74.65
39,CJ Anderson,MJ McClenaghan,KD Mills,KS Williamson,127.5,79.75
40,CJ Anderson,MJ McClenaghan,TG Southee,KS Williamson,81.25,75.77
41,CJ Anderson,L Ronchi,NL McCullum,KS Williamson,171.0,88.4
42,CJ Anderson,GD Elliott,NL McCullum,KS Williamson,130.0,104.78999999999999
43,CJ Anderson,NL McCullum,TWM Latham,KS Williamson,136.0,104.21000000000001
44,CJ Anderson,L Ronchi,GD Elliott,KS Williamson,121.05555555555556,110.62
45,CJ Anderson,L Ronchi,DL Vettori,KS Williamson,93.27272727272728,87.72
46,CJ Anderson,L Ronchi,TWM Latham,KS Williamson,111.16666666666669,110.04
47,CJ Anderson,L Ronchi,KD Mills,KS Williamson,155.0,90.49000000000001
48,CJ Anderson,L Ronchi,KS Williamson,MJ Guptill,125.7391304347826,122.93
49,CJ Anderson,L Ronchi,TG Southee,KS Williamson,90.5,86.51
50,CJ Anderson,L Ronchi,KS Williamson,AP Devcich,152.0,89.49000000000001
51,CJ Anderson,GD Elliott,DL Vettori,KS Williamson,113.0,104.11
52,CJ Anderson,GD Elliott,KD Mills,KS Williamson,147.5,106.88
53,CJ Anderson,GD Elliott,KS Williamson,MJ Guptill,145.83333333333334,139.32
