InnigsID,dn,country,p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
1017,D,New Zealand,BB McCullum,51,MJ Guptill,0,KS Williamson,15,GD Elliott,1,TWM Latham,15,L Ronchi,17,CJ Anderson,81,AF Milne,7,MJ McClenaghan,0,TA Boult,0,NL McCullum,25
1020,DN,New Zealand,BB McCullum,117,MJ Guptill,10,LRPL Taylor,34,DL Vettori,7,TWM Latham,5,L Ronchi,0,CJ Anderson,5,AF Milne,19,MJ Henry,20,TA Boult,13,NL McCullum,13
1031,D,New Zealand,BB McCullum,11,MJ Guptill,20,LRPL Taylor,8,DL Vettori,7,KS Williamson,103,L Ronchi,32,CJ Anderson,47,AF Milne,0,GD Elliott,44,TG Southee,0,MJ McClenaghan,0
1037,D,New Zealand,BB McCullum,25,MJ Guptill,0,LRPL Taylor,20,NL McCullum,0,KS Williamson,26,L Ronchi,170,CJ Anderson,8,TA Boult,0,GD Elliott,104,TG Southee,0,MJ McClenaghan,0
1041,D,New Zealand,BB McCullum,0,MJ Guptill,28,LRPL Taylor,96,DL Vettori,3,KS Williamson,97,L Ronchi,13,CJ Anderson,40,TA Boult,0,GD Elliott,21,KD Mills,0,MJ McClenaghan,0
1048,DN,New Zealand,TWM Latham,6,MJ Guptill,0,LRPL Taylor,11,DL Vettori,35,KS Williamson,54,L Ronchi,47,CJ Anderson,29,KD Mills,30,GD Elliott,24,TG Southee,1,MJ McClenaghan,5
1051,DN,New Zealand,TWM Latham,23,MJ Guptill,39,LRPL Taylor,59,BB McCullum,17,NL McCullum,0,L Ronchi,0,CJ Anderson,0,KD Mills,0,GD Elliott,64,TA Boult,0,AF Milne,0
1055,DN,New Zealand,KS Williamson,112,MJ Guptill,76,LRPL Taylor,102,BB McCullum,31,NL McCullum,9,L Ronchi,0,DL Vettori,0,TG Southee,0,GD Elliott,28,TA Boult,0,AF Milne,0
1057,D,New Zealand,KS Williamson,57,MJ Guptill,49,LRPL Taylor,14,BB McCullum,65,CJ Anderson,75,L Ronchi,29,DL Vettori,0,TG Southee,0,GD Elliott,29,TA Boult,0,AF Milne,0
1069,DN,New Zealand,KS Williamson,9,MJ Guptill,22,LRPL Taylor,5,BB McCullum,77,CJ Anderson,0,L Ronchi,0,DL Vettori,0,TG Southee,0,GD Elliott,0,TA Boult,0,AF Milne,0
1083,DN,New Zealand,KS Williamson,45,MJ Guptill,11,LRPL Taylor,1,BB McCullum,50,CJ Anderson,26,L Ronchi,6,DL Vettori,2,TG Southee,0,GD Elliott,0,TA Boult,0,AF Milne,0
1099,D,New Zealand,KS Williamson,33,MJ Guptill,57,LRPL Taylor,24,BB McCullum,42,CJ Anderson,7,L Ronchi,0,DL Vettori,0,TG Southee,0,GD Elliott,19,TA Boult,0,AF Milne,0
1107,DN,New Zealand,KS Williamson,1,MJ Guptill,105,LRPL Taylor,56,BB McCullum,8,CJ Anderson,39,L Ronchi,9,DL Vettori,16,TG Southee,12,GD Elliott,39,TA Boult,0,MJ McClenaghan,0
1121,DN,New Zealand,KS Williamson,33,MJ Guptill,237,LRPL Taylor,42,BB McCullum,12,CJ Anderson,15,L Ronchi,9,DL Vettori,8,TG Southee,0,GD Elliott,27,TA Boult,0,AF Milne,0
1123,DN,New Zealand,KS Williamson,6,MJ Guptill,34,LRPL Taylor,30,BB McCullum,59,CJ Anderson,58,L Ronchi,8,DL Vettori,7,TG Southee,0,GD Elliott,84,TA Boult,0,MJ Henry,0
1128,DN,New Zealand,KS Williamson,12,MJ Guptill,15,LRPL Taylor,40,BB McCullum,0,CJ Anderson,0,L Ronchi,0,DL Vettori,9,TG Southee,11,GD Elliott,83,TA Boult,0,MJ Henry,0
1140,DN,New Zealand,KS Williamson,45,MJ Guptill,22,LRPL Taylor,57,BB McCullum,10,MJ Santner,15,L Ronchi,0,NL McCullum,5,MJ McClenaghan,2,GD Elliott,24,TA Boult,0,MJ Henry,0
1141,DN,New Zealand,KS Williamson,93,MJ Guptill,50,LRPL Taylor,119,BB McCullum,39,MJ Santner,15,L Ronchi,33,NL McCullum,0,MJ McClenaghan,0,GD Elliott,32,TA Boult,0,TG Southee,0
1143,D,New Zealand,KS Williamson,118,MJ Guptill,2,LRPL Taylor,110,BB McCullum,11,MJ Santner,21,L Ronchi,13,BM Wheeler,3,MJ McClenaghan,0,GD Elliott,5,MJ Henry,0,TG Southee,5
1146,DN,New Zealand,KS Williamson,90,MJ Guptill,53,LRPL Taylor,42,BB McCullum,35,MJ Santner,44,L Ronchi,8,BM Wheeler,3,MJ McClenaghan,0,GD Elliott,55,MJ Henry,0,TG Southee,1
1150,D,New Zealand,KS Williamson,50,MJ Guptill,67,LRPL Taylor,47,BB McCullum,6,MJ Santner,2,L Ronchi,2,BM Wheeler,39,AW Mathieson,0,GD Elliott,35,MJ Henry,12,TG Southee,18
1178,D,New Zealand,KS Williamson,97,MJ Guptill,11,LRPL Taylor,112,TWM Latham,14,JDS Neesham,14,L Ronchi,0,NL McCullum,0,MJ McClenaghan,0,GD Elliott,43,IS Sodhi,0,MJ Henry,0
1179,D,New Zealand,KS Williamson,0,MJ Guptill,116,LRPL Taylor,0,TWM Latham,110,C Munro,0,L Ronchi,0,NL McCullum,0,MJ McClenaghan,0,GD Elliott,0,IS Sodhi,0,MJ Henry,0
1181,D,New Zealand,KS Williamson,90,MJ Guptill,42,JDS Neesham,37,TWM Latham,16,C Munro,9,L Ronchi,7,NL McCullum,25,MJ McClenaghan,0,GD Elliott,36,IS Sodhi,0,BM Wheeler,0
1184,DN,New Zealand,KS Williamson,47,MJ Guptill,25,JDS Neesham,41,TWM Latham,60,C Munro,33,L Ronchi,1,NL McCullum,10,MJ McClenaghan,16,GD Elliott,4,IS Sodhi,0,AF Milne,15
1185,D,New Zealand,KS Williamson,7,MJ Guptill,103,GH Worker,20,TWM Latham,64,C Munro,0,L Ronchi,0,DAJ Bracewell,0,AF Milne,0,GD Elliott,0,IS Sodhi,0,BM Wheeler,0
1188,DN,New Zealand,KS Williamson,39,MJ Guptill,10,GH Worker,21,TWM Latham,54,C Munro,35,L Ronchi,1,DAJ Bracewell,13,AF Milne,4,GD Elliott,20,IS Sodhi,5,BM Wheeler,13
1255,D,New Zealand,BB McCullum,55,MJ Guptill,79,LRPL Taylor,5,TWM Latham,18,HM Nicholls,23,L Ronchi,0,DAJ Bracewell,0,AF Milne,0,MJ McClenaghan,0,MJ Santner,0,MJ Henry,0
1257,D,New Zealand,BB McCullum,0,MJ Guptill,93,LRPL Taylor,0,TWM Latham,17,HM Nicholls,0,L Ronchi,0,DAJ Bracewell,0,IS Sodhi,0,MJ McClenaghan,0,MJ Santner,0,MJ Henry,0
1262,D,New Zealand,KS Williamson,59,MJ Guptill,30,LRPL Taylor,0,TWM Latham,42,HM Nicholls,20,L Ronchi,7,DAJ Bracewell,30,AF Milne,17,MJ McClenaghan,0,MJ Santner,38,TG Southee,18
1267,D,New Zealand,KS Williamson,61,MJ Guptill,102,LRPL Taylor,61,TWM Latham,0,HM Nicholls,2,L Ronchi,37,MJ Henry,0,AF Milne,0,TA Boult,0,MJ Santner,21,IS Sodhi,0
1281,D,New Zealand,KS Williamson,10,MJ Guptill,11,GD Elliott,0,TWM Latham,11,HM Nicholls,82,L Ronchi,5,MJ Henry,48,MJ McClenaghan,31,TA Boult,4,MJ Santner,48,CJ Anderson,10
1283,D,New Zealand,KS Williamson,84,MJ Guptill,82,GD Elliott,10,BB McCullum,0,HM Nicholls,5,L Ronchi,20,MJ Henry,0,AF Milne,0,TA Boult,0,MJ Santner,10,CJ Anderson,35
1285,DN,New Zealand,KS Williamson,0,MJ Guptill,90,GD Elliott,21,BB McCullum,44,HM Nicholls,61,L Ronchi,16,MJ Henry,5,AF Milne,14,TA Boult,0,MJ Santner,35,CJ Anderson,10
