,player_name,sum,avg
0,AP Devcich,18,9.0
1,BB McCullum,840,32.31
2,AF Milne,144,5.54
3,IS Sodhi,81,2.61
4,SHA Rance,0,0.0
5,JS Patel,7,1.75
6,KD Mills,30,10.0
7,C de Grandhomme,668,17.13
8,TA Boult,119,1.57
9,NT Broom,596,37.25
10,BM Wheeler,58,9.67
11,GH Worker,254,28.22
12,TL Seifert,33,11.0
13,TG Southee,361,6.02
14,MJ Henry,206,4.9
15,TA Blundell,31,15.5
16,HK Bennett,0,0.0
17,NL McCullum,87,7.91
18,TD Astle,79,8.78
19,DL Vettori,94,7.23
20,MJ Guptill,3735,42.44
21,MS Chapman,10,2.5
22,JDS Neesham,1115,24.78
23,DAJ Bracewell,144,12.0
24,C Munro,1104,22.53
25,KS Williamson,3948,44.86
26,SC Kuggeleijn,11,5.5
27,LH Ferguson,63,1.8
28,TWM Latham,2187,29.55
29,CJ Anderson,613,21.89
30,MJ Santner,911,13.2
31,BJ Watling,45,9.0
32,GD Elliott,934,30.13
33,HM Nicholls,1257,27.33
34,MJ McClenaghan,54,3.0
35,KA Jamieson,25,12.5
36,LRPL Taylor,3901,46.44
37,AW Mathieson,0,0.0
38,L Ronchi,687,13.74
39,DG Brownlie,158,26.33
