player-1,player-2,avg
Iftikhar Ahmed,Shoaib Malik,18.5
Iftikhar Ahmed,Yasir Shah,21
Iftikhar Ahmed,Sarfaraz Ahmed,47.25
Iftikhar Ahmed,Umar Amin,0
Iftikhar Ahmed,Shadab Khan,30
Iftikhar Ahmed,Saad Ali,0
Iftikhar Ahmed,Bilal Asif,0
Iftikhar Ahmed,Aamer Yamin,0
Iftikhar Ahmed,Umar Gul,0
Iftikhar Ahmed,Umar Akmal,0
Iftikhar Ahmed,Zafar Gohar,18
Iftikhar Ahmed,Mohammad Sami,0
Iftikhar Ahmed,Wahab Riaz,27.75
Iftikhar Ahmed,Rahat Ali,0
Iftikhar Ahmed,Imam-ul-Haq,63
Iftikhar Ahmed,Haris Sohail,78
Iftikhar Ahmed,Kamran Akmal,0
Iftikhar Ahmed,Misbah-ul-Haq,0
Iftikhar Ahmed,Ehsan Adil,0
Iftikhar Ahmed,Imad Wasim,44
Iftikhar Ahmed,Hussain Talat,0
Iftikhar Ahmed,Junaid Khan,0
Iftikhar Ahmed,Rumman Raees,0
Iftikhar Ahmed,Hasan Ali,0
Iftikhar Ahmed,Mohammad Abbas,0
Iftikhar Ahmed,Abid Ali,102
Iftikhar Ahmed,Mohammad Amir,30
Iftikhar Ahmed,Mohammad Hasnain,0
Iftikhar Ahmed,Fakhar Zaman,95
Iftikhar Ahmed,Shan Masood,0
Iftikhar Ahmed,Faheem Ashraf,0
Iftikhar Ahmed,Sohail Khan,0
Iftikhar Ahmed,Asad Shafiq,0
Iftikhar Ahmed,Usman Shinwari,30
Iftikhar Ahmed,Younis Khan,0
Iftikhar Ahmed,Babar Azam,60
Iftikhar Ahmed,Mohammad Hafeez,26.5
Iftikhar Ahmed,Nasir Jamshed,0
Iftikhar Ahmed,Fawad Alam,0
Iftikhar Ahmed,Mohammad Nawaz,28
Iftikhar Ahmed,Sohaib Maqsood,0
Iftikhar Ahmed,Mohammad Irfan,4
Iftikhar Ahmed,Shahid Afridi,0
Iftikhar Ahmed,Saad Nasim,0
