,player-1,player-2,combined_avg,sum_of_individual
0,Umar Gul,Mohammad Nawaz,22.75,14.469999999999999
1,Umar Gul,Mohammad Irfan,6.0,1.63
2,Umar Gul,Sarfaraz Ahmed,41.25,24.55
3,Umar Gul,Sharjeel Khan,50.0,45.34
4,Umar Gul,Imad Wasim,24.0,19.509999999999998
5,Umar Gul,Azhar Ali,60.6,36.650000000000006
6,Umar Gul,Shoaib Malik,50.333333333333336,30.82
7,Sarfaraz Ahmed,Shaheen Shah Afridi,32.0,25.970000000000002
8,Hasan Ali,Shaheen Shah Afridi,19.9,8.18
9,Shaheen Shah Afridi,Imad Wasim,30.545454545454547,20.93
10,Shaheen Shah Afridi,Asif Ali,34.142857142857146,26.09
11,Junaid Khan,Shaheen Shah Afridi,8.0,3.06
12,Wahab Riaz,Shaheen Shah Afridi,13.4,11.05
13,Shaheen Shah Afridi,Imam-ul-Haq,56.86666666666667,49.22
14,Rumman Raees,Aamer Yamin,37.0,26.75
15,Rumman Raees,Hasan Ali,11.625,8.559999999999999
16,Rumman Raees,Shadab Khan,24.333333333333332,11.22
17,Rumman Raees,Imam-ul-Haq,54.0,49.6
18,Rumman Raees,Faheem Ashraf,14.166666666666666,10.85
19,Mohammad Hafeez,Anwar Ali,59.166666666666664,41.85
20,Mohammad Hafeez,Rahat Ali,44.25,33.35
21,Mohammad Hafeez,Mohammad Sami,50.5,32.68
22,Mohammad Hafeez,Mohammad Irfan,44.75,33.11
23,Mohammad Hafeez,Misbah-ul-Haq,94.5,81.18
24,Mohammad Hafeez,Sharjeel Khan,84.14285714285714,76.82
25,Mohammad Hafeez,Mohammad Amir,38.12903225806452,37.13
26,Mohammad Hafeez,Hasan Ali,39.14705882352941,38.24
27,Mohammad Hafeez,Younis Khan,72.33333333333333,49.68
28,Mohammad Hafeez,Azhar Ali,68.90322580645162,68.13
29,Mohammad Hafeez,Haris Sohail,73.14285714285714,72.68
30,Mohammad Hafeez,Asif Ali,61.75,56.15
31,Mohammad Hafeez,Kamran Akmal,89.66666666666667,55.35
32,Shadab Khan,Mohammad Hafeez,41.12903225806452,40.9
33,Ahmed Shehzad,Mohammad Hafeez,70.77777777777777,57.56
34,Mohammad Hafeez,Yasir Shah,51.083333333333336,38.2
35,Mohammad Hafeez,Hammad Azam,50.5,32.68
36,Mohammad Hafeez,Bilal Asif,60.666666666666664,46.01
37,Mohammad Hafeez,Asad Shafiq,52.166666666666664,48.68
38,Mohammad Hafeez,Shoaib Malik,65.24,62.3
39,Mohammad Nawaz,Abid Ali,74.0,61.019999999999996
40,Sarfaraz Ahmed,Mohammad Nawaz,43.42857142857143,36.620000000000005
41,Mohammad Nawaz,Sharjeel Khan,58.77777777777778,57.41
42,Mohammad Nawaz,Mohammad Amir,21.0,17.72
43,Mohammad Nawaz,Imad Wasim,33.375,31.58
44,Mohammad Nawaz,Azhar Ali,54.0,48.72
45,Mohammad Nawaz,Haris Sohail,55.0,53.269999999999996
46,Mohammad Nawaz,Babar Azam,63.06666666666667,58.61
47,Shadab Khan,Mohammad Nawaz,22.8,21.490000000000002
48,Mohammad Nawaz,Shoaib Malik,53.81818181818182,42.89
49,Mohammad Nawaz,Imam-ul-Haq,79.0,59.870000000000005
50,Anwar Ali,Mohammad Irfan,11.4,9.6
51,Sarfaraz Ahmed,Anwar Ali,33.666666666666664,32.52
52,Anwar Ali,Azhar Ali,53.083333333333336,44.620000000000005
53,Haris Sohail,Anwar Ali,70.5,49.17
54,Anwar Ali,Mohammad Rizwan,32.375,31.200000000000003
55,Ahmed Shehzad,Anwar Ali,46.0,34.05
56,Shoaib Malik,Anwar Ali,48.81818181818182,38.79
57,Misbah-ul-Haq,Rahat Ali,52.25,49.17
58,Sarfaraz Ahmed,Rahat Ali,33.45454545454545,24.020000000000003
59,Rahat Ali,Younis Khan,38.0,17.67
60,Rahat Ali,Azhar Ali,41.125,36.120000000000005
61,Mohammad Rizwan,Rahat Ali,29.125,22.700000000000003
62,Ehsan Adil,Rahat Ali,10.5,6.17
63,Ahmed Shehzad,Rahat Ali,32.1,25.55
64,Sohail Khan,Rahat Ali,5.0,3.67
65,Wahab Riaz,Rahat Ali,21.142857142857142,9.1
66,Shoaib Malik,Rahat Ali,36.666666666666664,30.290000000000003
67,Mohammad Sami,Azhar Ali,90.5,35.45
68,Haris Sohail,Mohammad Sami,70.5,40.0
69,Mohammad Sami,Asad Shafiq,19.5,16.0
70,Shoaib Malik,Mohammad Sami,74.0,29.62
71,Shahid Afridi,Mohammad Irfan,25.833333333333332,23.31
72,Misbah-ul-Haq,Mohammad Irfan,53.333333333333336,48.93
73,Sohaib Maqsood,Mohammad Irfan,18.6,17.29
74,Sarfaraz Ahmed,Mohammad Irfan,25.055555555555557,23.78
75,Hasan Ali,Mohammad Irfan,9.0,5.989999999999999
76,Mohammad Irfan,Younis Khan,17.833333333333332,17.43
77,Mohammad Irfan,Imad Wasim,19.714285714285715,18.74
78,Ahmed Shehzad,Mohammad Irfan,27.6875,25.31
79,Sohail Khan,Mohammad Irfan,5.25,3.43
80,Mohammad Irfan,Yasir Shah,7.363636363636363,5.949999999999999
81,Mohammad Irfan,Asad Shafiq,19.5,16.43
82,Wahab Riaz,Mohammad Irfan,9.615384615384615,8.86
83,Nasir Jamshed,Mohammad Irfan,1.5,0.9299999999999999
84,Shoaib Malik,Mohammad Irfan,37.84615384615385,30.05
85,Sarfaraz Ahmed,Shahid Afridi,62.2,46.230000000000004
86,Shahid Afridi,Younis Khan,48.6,39.879999999999995
87,Ehsan Adil,Shahid Afridi,33.25,28.38
88,Ahmed Shehzad,Shahid Afridi,48.375,47.76
89,Misbah-ul-Haq,Sohaib Maqsood,65.5,65.36
