player-1,player-2,player-3,avg
Iftikhar Ahmed,Shoaib Malik,Yasir Shah,34
Iftikhar Ahmed,Shoaib Malik,Sarfaraz Ahmed,63.5
Iftikhar Ahmed,Shoaib Malik,Umar Amin,0
Iftikhar Ahmed,Shoaib Malik,Shadab Khan,0
Iftikhar Ahmed,Shoaib Malik,Saad Ali,0
Iftikhar Ahmed,Shoaib Malik,Bilal Asif,0
Iftikhar Ahmed,Shoaib Malik,Aamer Yamin,0
Iftikhar Ahmed,Shoaib Malik,Umar Gul,0
Iftikhar Ahmed,Shoaib Malik,Umar Akmal,0
Iftikhar Ahmed,Shoaib Malik,Zafar Gohar,34
Iftikhar Ahmed,Shoaib Malik,Mohammad Sami,0
Iftikhar Ahmed,Shoaib Malik,Wahab Riaz,38.5
Iftikhar Ahmed,Rahat Ali,Shoaib Malik,0
Iftikhar Ahmed,Shoaib Malik,Imam-ul-Haq,0
Iftikhar Ahmed,Shoaib Malik,Haris Sohail,0
Iftikhar Ahmed,Shoaib Malik,Kamran Akmal,0
Iftikhar Ahmed,Shoaib Malik,Misbah-ul-Haq,0
Iftikhar Ahmed,Shoaib Malik,Ehsan Adil,0
Iftikhar Ahmed,Imad Wasim,Shoaib Malik,0
Iftikhar Ahmed,Shoaib Malik,Hussain Talat,0
Iftikhar Ahmed,Shoaib Malik,Junaid Khan,0
Iftikhar Ahmed,Shoaib Malik,Rumman Raees,0
Iftikhar Ahmed,Hasan Ali,Shoaib Malik,0
Iftikhar Ahmed,Shoaib Malik,Mohammad Abbas,0
Iftikhar Ahmed,Shoaib Malik,Abid Ali,0
Iftikhar Ahmed,Shoaib Malik,Mohammad Amir,0
Iftikhar Ahmed,Shoaib Malik,Mohammad Hasnain,0
Iftikhar Ahmed,Shoaib Malik,Fakhar Zaman,0
Iftikhar Ahmed,Shoaib Malik,Shan Masood,0
Iftikhar Ahmed,Shoaib Malik,Faheem Ashraf,0
Iftikhar Ahmed,Shoaib Malik,Sohail Khan,0
Iftikhar Ahmed,Shoaib Malik,Asad Shafiq,0
Iftikhar Ahmed,Shoaib Malik,Usman Shinwari,0
Iftikhar Ahmed,Shoaib Malik,Younis Khan,0
Iftikhar Ahmed,Shoaib Malik,Babar Azam,31.5
Iftikhar Ahmed,Shoaib Malik,Mohammad Hafeez,41
Iftikhar Ahmed,Nasir Jamshed,Shoaib Malik,0
Iftikhar Ahmed,Fawad Alam,Shoaib Malik,0
Iftikhar Ahmed,Shoaib Malik,Mohammad Nawaz,0
Iftikhar Ahmed,Shoaib Malik,Sohaib Maqsood,0
Iftikhar Ahmed,Shoaib Malik,Mohammad Irfan,18.5
Iftikhar Ahmed,Shoaib Malik,Shahid Afridi,0
