,player-1,player-2,combined_avg,sum_of_individual
0,Iftikhar Ahmed,Sarfaraz Ahmed,47.25,40.35
1,Iftikhar Ahmed,Shadab Khan,30.0,25.22
2,Iftikhar Ahmed,Wahab Riaz,27.75,25.43
3,Iftikhar Ahmed,Haris Sohail,78.0,57.0
4,Iftikhar Ahmed,Imad Wasim,44.0,35.31
5,Iftikhar Ahmed,Abid Ali,102.0,64.75
6,Iftikhar Ahmed,Mohammad Amir,30.0,21.45
7,Iftikhar Ahmed,Fakhar Zaman,95.0,60.4
8,Iftikhar Ahmed,Usman Shinwari,30.0,17.38
9,Shoaib Malik,Yasir Shah,41.31578947,35.14
10,Shoaib Malik,Sarfaraz Ahmed,53.81355932,52.97
11,Shoaib Malik,Bilal Asif,65.33333333,42.95
12,Shoaib Malik,Aamer Yamin,74.66666667,53.370000000000005
13,Umar Gul,Shoaib Malik,50.33333333,30.82
14,Shoaib Malik,Umar Akmal,64.85714286,54.230000000000004
15,Shoaib Malik,Mohammad Sami,74.0,29.62
16,Rahat Ali,Shoaib Malik,36.66666667,30.290000000000003
17,Shoaib Malik,Haris Sohail,92.42857143,69.62
18,Kamran Akmal,Shoaib Malik,77.0,52.290000000000006
19,Shoaib Malik,Mohammad Abbas,35.5,29.62
20,Shoaib Malik,Mohammad Hasnain,41.0,35.22
21,Shoaib Malik,Shan Masood,54.33333333,51.82
22,Shoaib Malik,Asad Shafiq,75.83333333,45.620000000000005
23,Mohammad Hafeez,Shoaib Malik,65.24,62.3
24,Shoaib Malik,Mohammad Nawaz,53.81818182,42.89
25,Shoaib Malik,Mohammad Irfan,37.84615385,30.05
26,Shoaib Malik,Sharjeel Khan,83.58333333,73.76
27,Anwar Ali,Shoaib Malik,48.81818182,38.79
28,Shoaib Malik,Ahmed Shehzad,65.8,54.5
29,Shoaib Malik,Hammad Azam,74.0,29.62
30,Shoaib Malik,Mohammad Rizwan,55.56,51.650000000000006
31,Yasir Shah,Sarfaraz Ahmed,33.17647059,28.87
32,Yasir Shah,Saad Ali,12.5,11.02
33,Yasir Shah,Aamer Yamin,47.5,29.27
34,Umar Akmal,Yasir Shah,31.33333333,30.13
35,Yasir Shah,Haris Sohail,54.44444444,45.519999999999996
36,Misbah-ul-Haq,Yasir Shah,89.0,54.019999999999996
37,Imad Wasim,Yasir Shah,29.27272727,23.83
38,Hasan Ali,Yasir Shah,11.33333333,11.079999999999998
39,Yasir Shah,Abid Ali,63.0,53.269999999999996
40,Yasir Shah,Mohammad Amir,30.0,9.969999999999999
41,Fakhar Zaman,Yasir Shah,130.3333333,48.92
42,Sohail Khan,Yasir Shah,20.0,8.52
43,Asad Shafiq,Yasir Shah,24.0,21.52
44,Yasir Shah,Usman Shinwari,6.0,5.8999999999999995
45,Yasir Shah,Younis Khan,29.0,22.52
46,Mohammad Hafeez,Yasir Shah,51.08333333,38.2
47,Mohammad Nawaz,Yasir Shah,60.0,18.79
48,Yasir Shah,Mohammad Irfan,7.3636363639999995,5.949999999999999
49,Yasir Shah,Shahid Afridi,35.0,28.4
50,Asif Ali,Yasir Shah,33.66666667,28.99
51,Yasir Shah,Azhar Ali,41.85714286,40.97
