,player-1,player-2,player-3,combined_avg,sum_of_individual
0,Iftikhar Ahmed,Yasir Shah,Sarfaraz Ahmed,85.0,45.870000000000005
1,Iftikhar Ahmed,Anwar Ali,Yasir Shah,44.0,31.69
2,Iftikhar Ahmed,Wahab Riaz,Sarfaraz Ahmed,58.0,48.78
3,Iftikhar Ahmed,Haris Sohail,Sarfaraz Ahmed,93.5,80.35
4,Iftikhar Ahmed,Abid Ali,Sarfaraz Ahmed,125.0,88.1
5,Iftikhar Ahmed,Mohammad Amir,Sarfaraz Ahmed,45.5,44.8
6,Iftikhar Ahmed,Fakhar Zaman,Sarfaraz Ahmed,110.5,83.75
7,Iftikhar Ahmed,Usman Shinwari,Sarfaraz Ahmed,45.5,40.730000000000004
8,Iftikhar Ahmed,Babar Azam,Sarfaraz Ahmed,90.25,85.69
9,Iftikhar Ahmed,Mohammad Irfan,Sarfaraz Ahmed,49.0,40.78
10,Iftikhar Ahmed,Anwar Ali,Sarfaraz Ahmed,64.0,49.52
11,Iftikhar Ahmed,Azhar Ali,Sarfaraz Ahmed,78.0,75.80000000000001
12,Iftikhar Ahmed,Shadab Khan,Haris Sohail,78.0,65.22
13,Iftikhar Ahmed,Imad Wasim,Shadab Khan,44.0,43.53
14,Iftikhar Ahmed,Shadab Khan,Abid Ali,102.0,72.97
15,Iftikhar Ahmed,Shadab Khan,Mohammad Amir,30.0,29.669999999999998
16,Iftikhar Ahmed,Fakhar Zaman,Shadab Khan,95.0,68.62
17,Iftikhar Ahmed,Shadab Khan,Usman Shinwari,30.0,25.599999999999998
18,Iftikhar Ahmed,Shadab Khan,Babar Azam,103.0,70.56
19,Iftikhar Ahmed,Wahab Riaz,Zafar Gohar,53.0,40.43
20,Iftikhar Ahmed,Haris Sohail,Wahab Riaz,79.5,65.43
21,Iftikhar Ahmed,Imad Wasim,Wahab Riaz,46.0,43.74
22,Iftikhar Ahmed,Abid Ali,Wahab Riaz,103.0,73.18
23,Iftikhar Ahmed,Mohammad Amir,Wahab Riaz,31.5,29.88
