,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
0,Iftikhar Ahmed,Shoaib Malik,Yasir Shah,Sarfaraz Ahmed,98.0,75.49000000000001
1,Iftikhar Ahmed,Shoaib Malik,Wahab Riaz,Sarfaraz Ahmed,83.5,78.4
2,Iftikhar Ahmed,Yasir Shah,Wahab Riaz,Sarfaraz Ahmed,90.0,54.3
3,Iftikhar Ahmed,Yasir Shah,Mohammad Hafeez,Sarfaraz Ahmed,85.0,78.55000000000001
4,Iftikhar Ahmed,Yasir Shah,Mohammad Irfan,Sarfaraz Ahmed,85.0,46.3
5,Iftikhar Ahmed,Anwar Ali,Yasir Shah,Sarfaraz Ahmed,108.0,55.040000000000006
6,Iftikhar Ahmed,Yasir Shah,Azhar Ali,Sarfaraz Ahmed,107.0,81.32
7,Iftikhar Ahmed,Yasir Shah,Mohammad Rizwan,Sarfaraz Ahmed,102.0,67.9
8,Iftikhar Ahmed,Anwar Ali,Yasir Shah,Wahab Riaz,49.0,40.120000000000005
9,Iftikhar Ahmed,Anwar Ali,Yasir Shah,Mohammad Irfan,44.0,32.120000000000005
10,Iftikhar Ahmed,Anwar Ali,Yasir Shah,Mohammad Rizwan,61.0,53.72
11,Iftikhar Ahmed,Shadab Khan,Haris Sohail,Sarfaraz Ahmed,93.5,88.57
12,Iftikhar Ahmed,Shadab Khan,Abid Ali,Sarfaraz Ahmed,125.0,96.32
13,Iftikhar Ahmed,Fakhar Zaman,Shadab Khan,Sarfaraz Ahmed,110.5,91.97
14,Iftikhar Ahmed,Shadab Khan,Babar Azam,Sarfaraz Ahmed,118.5,93.91
15,Iftikhar Ahmed,Zafar Gohar,Wahab Riaz,Sarfaraz Ahmed,79.0,63.78
16,Iftikhar Ahmed,Zafar Gohar,Mohammad Hafeez,Sarfaraz Ahmed,89.0,88.03
17,Iftikhar Ahmed,Haris Sohail,Wahab Riaz,Sarfaraz Ahmed,95.0,88.78
18,Iftikhar Ahmed,Wahab Riaz,Abid Ali,Sarfaraz Ahmed,126.0,96.53
19,Iftikhar Ahmed,Fakhar Zaman,Wahab Riaz,Sarfaraz Ahmed,112.0,92.18
20,Iftikhar Ahmed,Wahab Riaz,Babar Azam,Sarfaraz Ahmed,101.0,94.12
21,Iftikhar Ahmed,Mohammad Hafeez,Wahab Riaz,Sarfaraz Ahmed,91.5,81.46000000000001
22,Iftikhar Ahmed,Mohammad Irfan,Wahab Riaz,Sarfaraz Ahmed,69.0,49.21
23,Iftikhar Ahmed,Anwar Ali,Wahab Riaz,Sarfaraz Ahmed,84.0,57.95
24,Iftikhar Ahmed,Azhar Ali,Wahab Riaz,Sarfaraz Ahmed,98.0,84.23
25,Iftikhar Ahmed,Wahab Riaz,Mohammad Rizwan,Sarfaraz Ahmed,78.0,70.81
26,Iftikhar Ahmed,Babar Azam,Imam-ul-Haq,Sarfaraz Ahmed,186.0,132.29
27,Iftikhar Ahmed,Haris Sohail,Abid Ali,Sarfaraz Ahmed,181.0,128.1
28,Iftikhar Ahmed,Haris Sohail,Mohammad Amir,Sarfaraz Ahmed,93.5,84.80000000000001
29,Iftikhar Ahmed,Fakhar Zaman,Haris Sohail,Sarfaraz Ahmed,158.5,123.75
30,Iftikhar Ahmed,Usman Shinwari,Haris Sohail,Sarfaraz Ahmed,93.5,80.72999999999999
31,Iftikhar Ahmed,Haris Sohail,Babar Azam,Sarfaraz Ahmed,166.5,125.69
32,Iftikhar Ahmed,Mohammad Nawaz,Haris Sohail,Sarfaraz Ahmed,107.0,93.62
33,Iftikhar Ahmed,Imad Wasim,Fakhar Zaman,Sarfaraz Ahmed,106.0,102.06
34,Iftikhar Ahmed,Imad Wasim,Babar Azam,Sarfaraz Ahmed,167.0,104.0
35,Iftikhar Ahmed,Mohammad Amir,Abid Ali,Sarfaraz Ahmed,125.0,92.55000000000001
36,Iftikhar Ahmed,Fakhar Zaman,Abid Ali,Sarfaraz Ahmed,201.0,131.5
37,Iftikhar Ahmed,Usman Shinwari,Abid Ali,Sarfaraz Ahmed,125.0,88.47999999999999
38,Iftikhar Ahmed,Babar Azam,Abid Ali,Sarfaraz Ahmed,156.0,133.44
39,Iftikhar Ahmed,Mohammad Nawaz,Abid Ali,Sarfaraz Ahmed,125.0,101.37
40,Iftikhar Ahmed,Fakhar Zaman,Mohammad Amir,Sarfaraz Ahmed,110.5,88.19999999999999
41,Iftikhar Ahmed,Usman Shinwari,Mohammad Amir,Sarfaraz Ahmed,45.5,45.18
42,Iftikhar Ahmed,Babar Azam,Mohammad Amir,Sarfaraz Ahmed,118.5,90.14000000000001
43,Iftikhar Ahmed,Fakhar Zaman,Usman Shinwari,Sarfaraz Ahmed,110.5,84.13
44,Iftikhar Ahmed,Fakhar Zaman,Babar Azam,Sarfaraz Ahmed,183.5,129.09
45,Iftikhar Ahmed,Fakhar Zaman,Mohammad Nawaz,Sarfaraz Ahmed,127.0,97.02000000000001
46,Iftikhar Ahmed,Usman Shinwari,Babar Azam,Sarfaraz Ahmed,118.5,86.07
47,Iftikhar Ahmed,Anwar Ali,Mohammad Hafeez,Sarfaraz Ahmed,86.5,82.2
48,Iftikhar Ahmed,Anwar Ali,Mohammad Irfan,Sarfaraz Ahmed,64.0,49.95
49,Iftikhar Ahmed,Azhar Ali,Mohammad Irfan,Sarfaraz Ahmed,78.0,76.23
50,Iftikhar Ahmed,Anwar Ali,Azhar Ali,Sarfaraz Ahmed,93.0,84.97
51,Iftikhar Ahmed,Anwar Ali,Mohammad Rizwan,Sarfaraz Ahmed,73.0,71.55000000000001
52,Iftikhar Ahmed,Shadab Khan,Haris Sohail,Wahab Riaz,79.5,73.65
53,Iftikhar Ahmed,Shadab Khan,Abid Ali,Wahab Riaz,103.0,81.4
54,Iftikhar Ahmed,Fakhar Zaman,Shadab Khan,Wahab Riaz,96.5,77.05000000000001
55,Iftikhar Ahmed,Shadab Khan,Babar Azam,Wahab Riaz,104.5,78.99000000000001
56,Iftikhar Ahmed,Fakhar Zaman,Shadab Khan,Imam-ul-Haq,117.0,115.22
57,Iftikhar Ahmed,Babar Azam,Shadab Khan,Imam-ul-Haq,178.0,117.16
