p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
Mohammad Hafeez,0,Ahmed Shehzad,15,Younis Khan,9,Misbah-ul-Haq,58,Haris Sohail,23,Umar Akmal,13,Sarfaraz Ahmed,5,Shahid Afridi,67,Bilawal Bhatti,0,Ehsan Adil,6,Mohammad Irfan,1
Mohammad Hafeez,86,Ahmed Shehzad,55,Younis Khan,11,Misbah-ul-Haq,45,Shahid Afridi,11,Umar Akmal,4,Haris Sohail,6,Sarfaraz Ahmed,13,Bilawal Bhatti,9,Ehsan Adil,1,Mohammad Irfan,0
Ahmed Shehzad,47,Younis Khan,36,Haris Sohail,6,Misbah-ul-Haq,76,Sohaib Maqsood,0,Umar Akmal,0,Shahid Afridi,22,Wahab Riaz,4,Yasir Shah,13,Sohail Khan,7,Mohammad Irfan,1
Nasir Jamshed,0,Ahmed Shehzad,1,Younis Khan,0,Haris Sohail,0,Misbah-ul-Haq,7,Sohaib Maqsood,50,Umar Akmal,59,Shahid Afridi,28,Wahab Riaz,3,Sohail Khan,1,Mohammad Irfan,2
Nasir Jamshed,1,Ahmed Shehzad,0,Haris Sohail,27,Misbah-ul-Haq,73,Umar Akmal,33,Shahid Afridi,0,Sohaib Maqsood,21,Wahab Riaz,54,Sohail Khan,6,Rahat Ali,0,Mohammad Irfan,0
Sarfaraz Ahmed,49,Ahmed Shehzad,18,Younis Khan,37,Misbah-ul-Haq,56,Sohaib Maqsood,8,Umar Akmal,13,Shahid Afridi,22,Wahab Riaz,0,Sohail Khan,3,Rahat Ali,1,Mohammad Irfan,1
Ahmed Shehzad,63,Sarfaraz Ahmed,101,Haris Sohail,3,Misbah-ul-Haq,39,Umar Akmal,20,Ehsan Adil,0,Shahid Afridi,0,Rahat Ali,0,Wahab Riaz,0,Sohaib Maqsood,0,Sohail Khan,0
Ahmed Shehzad,5,Sarfaraz Ahmed,10,Haris Sohail,41,Misbah-ul-Haq,34,Umar Akmal,20,Sohaib Maqsood,29,Shahid Afridi,33,Wahab Riaz,16,Ehsan Adil,15,Sohail Khan,4,Rahat Ali,6
Azhar Ali,72,Sarfaraz Ahmed,24,Mohammad Hafeez,4,Haris Sohail,51,Mohammad Rizwan,67,Fawad Alam,14,Saad Nasim,0,Wahab Riaz,8,Saeed Ajmal,0,Junaid Khan,0,Rahat Ali,1
Azhar Ali,36,Sarfaraz Ahmed,7,Mohammad Hafeez,0,Haris Sohail,44,Fawad Alam,0,Mohammad Rizwan,13,Saad Nasim,77,Wahab Riaz,51,Saeed Ajmal,0,Junaid Khan,0,Rahat Ali,0
Azhar Ali,101,Sami Aslam,45,Mohammad Hafeez,4,Haris Sohail,52,Mohammad Rizwan,4,Fawad Alam,4,Saad Nasim,22,Wahab Riaz,7,Umar Gul,0,Zulfiqar Babar,1,Junaid Khan,4
Mohammad Hafeez,86,Azhar Ali,79,Shoaib Malik,112,Haris Sohail,89,Yasir Shah,0,Sarfaraz Ahmed,0,Anwar Ali,0,Hammad Azam,0,Wahab Riaz,0,Mohammad Sami,0,Asad Shafiq,0
Azhar Ali,102,Sarfaraz Ahmed,22,Mohammad Hafeez,15,Asad Shafiq,39,Haris Sohail,52,Shoaib Malik,36,Anwar Ali,0,Hammad Azam,0,Yasir Shah,0,Mohammad Sami,0,Wahab Riaz,0
Azhar Ali,21,Ahmed Shehzad,29,Mohammad Hafeez,103,Babar Azam,25,Shoaib Malik,55,Mohammad Rizwan,20,Anwar Ali,0,Yasir Shah,0,Sarfaraz Ahmed,0,Mohammad Irfan,0,Rahat Ali,0
