,player-1,player-2,combined_avg,sum_of_individual
0,M Morkel,AL Phehlukwayo,21.8,12.510000000000002
1,K Rabada,M Morkel,7.733333333333333,5.88
2,K Zondo,M Morkel,50.0,30.86
3,WD Parnell,M Morkel,16.333333333333332,10.27
4,CH Morris,M Morkel,16.7,15.43
5,L Ngidi,M Morkel,8.333333333333334,4.27
6,DA Miller,M Morkel,32.95652173913044,31.92
7,M Morkel,HM Amla,46.629629629629626,44.45
8,Imran Tahir,M Morkel,5.958333333333333,4.16
9,H Klaasen,M Morkel,41.666666666666664,31.46
10,Q de Kock,AL Phehlukwayo,59.276595744680854,53.879999999999995
11,K Zondo,AL Phehlukwayo,45.5,38.45
12,RR Hendricks,AL Phehlukwayo,37.94117647058823,33.650000000000006
13,T Shamsi,AL Phehlukwayo,12.882352941176471,10.05
14,CH Morris,AL Phehlukwayo,23.19047619047619,23.020000000000003
15,D Olivier,AL Phehlukwayo,34.5,10.05
16,L Ngidi,AL Phehlukwayo,12.521739130434783,11.860000000000001
17,AK Markram,AL Phehlukwayo,36.72727272727273,35.57
18,HE van der Dussen,AL Phehlukwayo,52.333333333333336,47.260000000000005
19,H Klaasen,AL Phehlukwayo,43.13333333333333,39.05
20,DW Steyn,AL Phehlukwayo,15.909090909090908,14.21
21,K Rabada,CJ Dala,17.0,7.42
22,JP Duminy,CJ Dala,29.0,26.4
23,KA Maharaj,CJ Dala,16.5,7.859999999999999
24,K Rabada,PWA Mulder,12.0,10.82
25,K Rabada,Q de Kock,50.03125,47.25
26,K Rabada,RR Hendricks,31.2,27.020000000000003
27,K Rabada,JP Duminy,26.28846153846154,25.82
28,WD Parnell,K Rabada,12.176470588235293,11.23
29,CH Morris,K Rabada,18.1875,16.39
30,K Rabada,F du Plessis,50.666666666666664,49.18
31,L Ngidi,K Rabada,5.333333333333333,5.23
32,K Rabada,AK Markram,29.0,28.939999999999998
33,HE van der Dussen,K Rabada,42.64705882352941,40.63
34,K Rabada,T Bavuma,92.0,66.22
35,K Rabada,F Behardien,24.0,21.009999999999998
36,K Rabada,Imran Tahir,5.241935483870968,5.12
37,AM Phangiso,K Rabada,12.4,7.42
38,Q de Kock,PWA Mulder,67.11111111111111,51.23
39,JP Duminy,PWA Mulder,49.666666666666664,29.799999999999997
40,PWA Mulder,T Shamsi,11.666666666666666,7.4
41,L Ngidi,PWA Mulder,11.0,9.21
42,AK Markram,PWA Mulder,33.4,32.92
43,PWA Mulder,KA Maharaj,15.5,11.26
44,AB de Villiers,VD Philander,53.0,48.72
45,WD Parnell,VD Philander,17.0,12.059999999999999
46,VD Philander,D Wiese,26.0,21.25
47,DA Miller,VD Philander,41.5,33.71
48,VD Philander,HM Amla,61.125,46.24
49,Imran Tahir,VD Philander,9.0,5.95
50,VD Philander,RR Rossouw,56.0,44.67
51,AM Phangiso,VD Philander,31.0,8.25
52,Q de Kock,JT Smuts,91.25,84.58
53,Q de Kock,BE Hendricks,56.4,44.83
54,Q de Kock,AB de Villiers,90.63414634146342,88.3
55,Q de Kock,RR Hendricks,75.2,67.43
56,Q de Kock,D Pretorius,59.523809523809526,49.97
57,Q de Kock,T Shamsi,46.94444444444444,43.83
58,F du Plessis,Q de Kock,93.86111111111111,89.59
59,L Ngidi,Q de Kock,46.95,45.64
60,HE van der Dussen,Q de Kock,83.29411764705883,81.03999999999999
61,Q de Kock,M de Lange,71.0,43.83
62,Q de Kock,T Bavuma,132.0,106.63
63,Q de Kock,F Behardien,66.21212121212122,61.42
64,Q de Kock,L Sipamla,70.66666666666667,47.16
65,K Zondo,AB de Villiers,84.0,72.87
66,CH Morris,K Zondo,42.666666666666664,41.37
67,L Ngidi,K Zondo,34.0,30.209999999999997
68,AK Markram,K Zondo,56.6,53.92
69,K Zondo,F Behardien,55.0,45.989999999999995
70,K Zondo,Imran Tahir,30.6,30.099999999999998
71,K Zondo,DW Steyn,55.0,32.56
72,RR Hendricks,BE Hendricks,26.75,24.6
73,T Bavuma,BE Hendricks,65.0,63.8
74,L Sipamla,BE Hendricks,6.5,4.33
75,Imran Tahir,BE Hendricks,3.5,2.7
76,AB de Villiers,D Pretorius,72.0,50.61
77,F du Plessis,AB de Villiers,93.46511627906976,90.22999999999999
78,AB de Villiers,F Behardien,69.75757575757575,62.06
79,AB de Villiers,DA Miller,75.79411764705883,73.93
80,AB de Villiers,HM Amla,92.0,86.46000000000001
81,AB de Villiers,Imran Tahir,48.5,46.17
82,AB de Villiers,RR Rossouw,85.76470588235294,84.89
83,AB de Villiers,KJ Abbott,59.76923076923077,46.68
84,AB de Villiers,DW Steyn,62.833333333333336,48.629999999999995
85,RR Hendricks,JP Duminy,54.142857142857146,46.0
86,RR Hendricks,T Shamsi,35.625,23.6
87,F du Plessis,RR Hendricks,76.28571428571429,69.36
88,D Olivier,RR Hendricks,25.0,23.6
89,RR Hendricks,DA Miller,56.06666666666667,53.06
90,RR Hendricks,HM Amla,73.25,65.59
91,RR Hendricks,DW Steyn,36.55555555555556,27.76
92,JP Duminy,T Shamsi,22.928571428571427,22.4
93,WD Parnell,JP Duminy,30.857142857142858,30.209999999999997
94,L Ngidi,JP Duminy,31.0,24.209999999999997
95,JP Duminy,KA Maharaj,34.333333333333336,26.259999999999998
96,JP Duminy,F Behardien,41.36666666666667,39.989999999999995
97,JP Duminy,DA Miller,55.4,51.86
98,AM Phangiso,JP Duminy,32.857142857142854,26.4
99,MN van Wyk,JP Duminy,61.0,45.9
100,JP Duminy,KJ Abbott,29.714285714285715,24.61
101,JP Duminy,DW Steyn,30.944444444444443,26.56
102,WD Parnell,D Pretorius,27.2,13.95
103,F du Plessis,D Pretorius,56.5,51.9
104,L Ngidi,D Pretorius,12.0,7.949999999999999
105,HE van der Dussen,D Pretorius,54.0,43.35
106,D Pretorius,T Bavuma,113.0,68.94
107,D Pretorius,DA Miller,50.69230769230769,35.6
108,CH Morris,T Shamsi,22.4,12.97
109,F du Plessis,T Shamsi,52.714285714285715,45.76
110,HE van der Dussen,T Shamsi,41.42857142857143,37.21
111,T Shamsi,F Behardien,22.0,17.59
112,T Shamsi,L Sipamla,5.0,3.33
113,H Klaasen,T Shamsi,54.4,29.0
114,WD Parnell,CH Morris,22.727272727272727,20.78
115,WD Parnell,F du Plessis,60.35,53.57
116,WD Parnell,T Bavuma,113.0,70.61
117,WD Parnell,F Behardien,28.09090909090909,25.4
118,WD Parnell,DA Miller,40.46666666666667,37.27
119,WD Parnell,HM Amla,61.8235294117647,49.800000000000004
120,WD Parnell,Imran Tahir,11.470588235294118,9.51
121,WD Parnell,RR Rossouw,60.6,48.230000000000004
122,CH Morris,F du Plessis,59.8,58.73
123,CH Morris,KA Maharaj,17.5,16.830000000000002
124,CH Morris,Imran Tahir,14.96875,14.67
125,CH Morris,AM Phangiso,20.5,16.97
126,CH Morris,KJ Abbott,19.2,15.18
127,L Ngidi,F du Plessis,49.666666666666664,47.57
128,AK Markram,F du Plessis,80.52941176470588,71.28
129,HE van der Dussen,F du Plessis,84.41176470588235,82.97
130,F du Plessis,Imran Tahir,50.791044776119406,47.46
131,F du Plessis,DW Steyn,51.851851851851855,49.92
132,HE van der Dussen,D Olivier,86.5,37.21
133,D Olivier,HM Amla,58.0,41.99
134,L Ngidi,AK Markram,29.352941176470587,27.33
135,L Ngidi,KA Maharaj,6.666666666666667,5.67
136,L Ngidi,DA Miller,37.142857142857146,31.27
137,L Ngidi,Imran Tahir,5.066666666666666,3.51
138,L Ngidi,H Klaasen,33.083333333333336,30.81
139,L Ngidi,DW Steyn,17.2,5.970000000000001
140,HE van der Dussen,AK Markram,64.875,62.730000000000004
141,AK Markram,T Bavuma,114.0,88.32
142,AK Markram,F Behardien,62.0,43.11
143,AK Markram,Imran Tahir,29.736842105263158,27.22
144,AK Markram,DW Steyn,43.333333333333336,29.68
145,HE van der Dussen,Imran Tahir,40.06666666666667,38.910000000000004
146,HE van der Dussen,H Klaasen,86.5,66.21000000000001
147,M de Lange,HM Amla,69.5,41.99
148,M de Lange,RR Rossouw,75.5,40.42
149,DA Miller,T Bavuma,103.25,92.25999999999999
150,T Bavuma,L Sipamla,68.5,66.13
151,AM Phangiso,T Bavuma,113.0,66.8
152,DA Miller,KA Maharaj,35.833333333333336,33.32
153,H Klaasen,KA Maharaj,57.8,32.86
154,D Wiese,F Behardien,46.333333333333336,34.59
155,DA Miller,F Behardien,50.04347826086956,47.05
156,HM Amla,F Behardien,65.44444444444444,59.58
157,Imran Tahir,F Behardien,19.72222222222222,19.29
158,AM Phangiso,F Behardien,30.333333333333332,21.59
159,MN van Wyk,F Behardien,57.75,41.09
160,HM Amla,D Wiese,77.33333333333333,58.99
161,DA Miller,RR Rossouw,77.75,69.88
162,H Klaasen,DA Miller,69.0,58.46
163,AM Phangiso,DA Miller,39.8,33.46
164,MN van Wyk,DA Miller,69.75,52.96
165,KJ Abbott,DA Miller,32.916666666666664,31.67
166,DA Miller,DW Steyn,34.035714285714285,33.620000000000005
167,Imran Tahir,HM Amla,44.24193548387097,43.690000000000005
168,RR Rossouw,HM Amla,88.47826086956522,82.41
169,MN van Wyk,HM Amla,84.0,65.49000000000001
170,KJ Abbott,HM Amla,48.27777777777778,44.2
171,DW Steyn,HM Amla,47.65217391304348,46.150000000000006
172,AM Phangiso,Imran Tahir,10.0,5.7
173,MN van Wyk,Imran Tahir,26.666666666666668,25.2
174,Imran Tahir,DW Steyn,6.793103448275862,5.86
175,AM Phangiso,RR Rossouw,48.166666666666664,44.42
176,DW Steyn,RR Rossouw,49.6,44.58
177,AM Phangiso,DW Steyn,14.5,8.16
178,MN van Wyk,KJ Abbott,40.0,25.71
