,player-1,player-2,combined_avg,sum_of_individual
0,H Klaasen,DA Miller,69.0,58.46
1,H Klaasen,M Morkel,41.666666666666664,31.46
2,H Klaasen,T Bavuma,149.0,91.8
3,H Klaasen,DM Dupavillon,68.0,29.0
4,H Klaasen,T Shamsi,54.4,29.0
5,H Klaasen,K Verreynne,114.33333333333333,62.67
6,H Klaasen,JT Smuts,122.0,69.75
7,H Klaasen,KA Maharaj,57.8,32.86
8,H Klaasen,L Sipamla,68.0,32.33
9,H Klaasen,L Ngidi,33.083333333333336,30.81
10,H Klaasen,JN Malan,131.33333333333334,79.67
11,H Klaasen,AL Phehlukwayo,43.13333333333333,39.05
12,H Klaasen,A Nortje,81.0,30.29
13,H Klaasen,HE van der Dussen,86.5,66.21000000000001
14,D Wiese,F Behardien,46.333333333333336,34.59
15,D Wiese,HM Amla,77.33333333333333,58.99
16,D Wiese,VD Philander,26.0,21.25
17,D Wiese,CH Morris,61.5,29.97
18,D Wiese,Q de Kock,78.0,60.83
19,D Wiese,KJ Abbott,21.5,19.21
20,D Paterson,F Behardien,20.0,17.59
21,D Paterson,AK Markram,66.0,25.52
22,D Paterson,AB de Villiers,65.33333333333333,44.47
23,D Paterson,HM Amla,67.66666666666667,41.99
24,D Paterson,K Rabada,5.75,3.42
25,D Paterson,AL Phehlukwayo,18.5,10.05
26,D Paterson,HE van der Dussen,80.0,37.21
27,D Paterson,Q de Kock,95.66666666666667,43.83
28,M Morkel,DA Miller,32.95652173913044,31.92
29,DA Miller,F Behardien,50.04347826086956,47.05
30,DA Miller,T Bavuma,103.25,92.25999999999999
31,AB de Villiers,DA Miller,75.79411764705883,73.93
32,DA Miller,WD Parnell,40.46666666666667,37.27
33,JP Duminy,DA Miller,55.4,51.86
34,RR Hendricks,DA Miller,56.06666666666667,53.06
35,DA Miller,K Verreynne,68.33333333333333,63.13
36,DW Steyn,DA Miller,34.035714285714285,33.620000000000005
37,D Pretorius,DA Miller,50.69230769230769,35.6
38,DA Miller,VD Philander,41.5,33.71
39,DA Miller,KA Maharaj,35.833333333333336,33.32
40,DA Miller,L Ngidi,37.142857142857146,31.27
41,DA Miller,MN van Wyk,69.75,52.96
42,JN Malan,DA Miller,85.33333333333333,80.13
43,RR Rossouw,DA Miller,77.75,69.88
44,AM Phangiso,DA Miller,39.8,33.46
45,KJ Abbott,DA Miller,32.916666666666664,31.67
46,M Morkel,K Zondo,50.0,30.86
47,M Morkel,WD Parnell,16.333333333333332,10.27
48,M Morkel,HM Amla,46.629629629629626,44.45
49,M Morkel,K Rabada,7.733333333333333,5.88
50,M Morkel,Imran Tahir,5.958333333333333,4.16
51,M Morkel,L Ngidi,8.333333333333334,4.27
52,M Morkel,AL Phehlukwayo,21.8,12.510000000000002
53,M Morkel,CH Morris,16.7,15.43
54,AK Markram,F Behardien,62.0,43.11
55,T Bavuma,F Behardien,122.0,80.39
56,AB de Villiers,F Behardien,69.75757575757575,62.06
57,F Behardien,WD Parnell,28.09090909090909,25.4
58,JP Duminy,F Behardien,41.36666666666667,39.989999999999995
59,F Behardien,PWA Mulder,35.0,24.990000000000002
60,F Behardien,HM Amla,65.44444444444444,59.58
61,K Rabada,F Behardien,24.0,21.009999999999998
62,T Shamsi,F Behardien,22.0,17.59
63,F Behardien,Imran Tahir,19.72222222222222,19.29
64,MN van Wyk,F Behardien,57.75,41.09
65,AM Phangiso,F Behardien,30.333333333333332,21.59
66,Q de Kock,F Behardien,66.21212121212122,61.42
67,AK Markram,T Bavuma,114.0,88.32
68,AK Markram,K Zondo,56.6,53.92
69,AK Markram,PWA Mulder,33.4,32.92
70,AK Markram,K Rabada,29.0,28.939999999999998
71,AK Markram,D Elgar,34.0,29.189999999999998
72,AK Markram,DW Steyn,43.333333333333336,29.68
73,AK Markram,Imran Tahir,29.736842105263158,27.22
74,AK Markram,C Jonker,46.5,41.019999999999996
75,AK Markram,L Ngidi,29.352941176470587,27.33
76,AK Markram,AL Phehlukwayo,36.72727272727273,35.57
77,AK Markram,A Nortje,48.0,26.81
78,AK Markram,HE van der Dussen,64.875,62.730000000000004
79,AK Markram,F du Plessis,80.52941176470588,71.28
80,T Bavuma,WD Parnell,113.0,70.61
81,JP Duminy,T Bavuma,165.0,85.19999999999999
82,T Bavuma,K Rabada,92.0,66.22
83,D Pretorius,T Bavuma,113.0,68.94
84,T Bavuma,L Sipamla,68.5,66.13
85,AM Phangiso,T Bavuma,113.0,66.8
86,T Bavuma,Q de Kock,132.0,106.63
87,T Bavuma,F du Plessis,136.5,108.56
88,BE Hendricks,T Bavuma,65.0,63.8
89,AB de Villiers,HM Amla,92.0,86.46000000000001
90,AB de Villiers,D Elgar,124.0,48.14
91,DW Steyn,AB de Villiers,62.833333333333336,48.629999999999995
92,D Pretorius,AB de Villiers,72.0,50.61
93,AB de Villiers,Imran Tahir,48.5,46.17
94,AB de Villiers,VD Philander,53.0,48.72
95,RR Rossouw,AB de Villiers,85.76470588235294,84.89
96,AB de Villiers,Q de Kock,90.63414634146342,88.3
97,AB de Villiers,F du Plessis,93.46511627906976,90.22999999999999
98,KJ Abbott,AB de Villiers,59.76923076923077,46.68
99,M de Lange,HM Amla,69.5,41.99
100,RR Rossouw,M de Lange,75.5,40.42
101,Q de Kock,M de Lange,71.0,43.83
102,K Zondo,RR Hendricks,56.5,52.0
103,K Zondo,DW Steyn,55.0,32.56
104,K Zondo,Imran Tahir,30.6,30.099999999999998
105,K Zondo,C Jonker,46.0,43.9
106,K Zondo,L Ngidi,34.0,30.209999999999997
107,K Zondo,AL Phehlukwayo,45.5,38.45
108,JP Duminy,WD Parnell,30.857142857142858,30.209999999999997
109,HM Amla,WD Parnell,61.8235294117647,49.800000000000004
110,K Rabada,WD Parnell,12.176470588235293,11.23
111,D Pretorius,WD Parnell,27.2,13.95
112,Imran Tahir,WD Parnell,11.470588235294118,9.51
113,RR Rossouw,WD Parnell,60.6,48.230000000000004
114,CH Morris,WD Parnell,22.727272727272727,20.78
115,F du Plessis,WD Parnell,60.35,53.57
116,JP Duminy,RR Hendricks,54.142857142857146,46.0
117,JP Duminy,PWA Mulder,49.666666666666664,29.799999999999997
118,JP Duminy,K Rabada,26.28846153846154,25.82
119,T Shamsi,JP Duminy,22.928571428571427,22.4
120,DW Steyn,JP Duminy,30.944444444444443,26.56
121,JP Duminy,KA Maharaj,34.333333333333336,26.259999999999998
122,JP Duminy,L Ngidi,31.0,24.209999999999997
123,AM Phangiso,JP Duminy,32.857142857142854,26.4
124,KJ Abbott,JP Duminy,29.714285714285715,24.61
125,RR Hendricks,HM Amla,73.25,65.59
126,RR Hendricks,K Rabada,31.2,27.020000000000003
127,T Shamsi,RR Hendricks,35.625,23.6
128,DW Steyn,RR Hendricks,36.55555555555556,27.76
129,RR Hendricks,AL Phehlukwayo,37.94117647058823,33.650000000000006
130,RR Hendricks,Q de Kock,75.2,67.43
131,RR Hendricks,D Olivier,25.0,23.6
132,RR Hendricks,F du Plessis,76.28571428571429,69.36
133,RR Hendricks,BE Hendricks,26.75,24.6
134,K Rabada,PWA Mulder,12.0,10.82
135,D Elgar,PWA Mulder,16.0,11.07
136,T Shamsi,PWA Mulder,11.666666666666666,7.4
137,KA Maharaj,PWA Mulder,15.5,11.26
138,L Ngidi,PWA Mulder,11.0,9.21
139,A Nortje,PWA Mulder,12.5,8.690000000000001
140,Q de Kock,PWA Mulder,67.11111111111111,51.23
141,F du Plessis,PWA Mulder,67.14285714285714,53.16
142,DW Steyn,HM Amla,47.65217391304348,46.150000000000006
143,Imran Tahir,HM Amla,44.24193548387097,43.690000000000005
144,VD Philander,HM Amla,61.125,46.24
145,MN van Wyk,HM Amla,84.0,65.49000000000001
146,RR Rossouw,HM Amla,88.47826086956522,82.41
147,D Olivier,HM Amla,58.0,41.99
148,KJ Abbott,HM Amla,48.27777777777778,44.2
149,K Rabada,Imran Tahir,5.241935483870968,5.12
150,L Ngidi,K Rabada,5.333333333333333,5.23
151,MN van Wyk,K Rabada,37.0,26.92
152,HE van der Dussen,K Rabada,42.64705882352941,40.63
153,AM Phangiso,K Rabada,12.4,7.42
154,CH Morris,K Rabada,18.1875,16.39
155,Q de Kock,K Rabada,50.03125,47.25
156,F du Plessis,K Rabada,50.666666666666664,49.18
157,DW Steyn,D Elgar,34.5,7.83
158,AL Phehlukwayo,D Elgar,17.0,13.72
159,Q de Kock,D Elgar,114.0,47.5
160,D Elgar,F du Plessis,138.0,49.43
161,K Verreynne,DM Dupavillon,50.0,33.67
162,JT Smuts,DM Dupavillon,84.0,40.75
163,D Pretorius,T Shamsi,8.25,6.14
164,T Shamsi,L Sipamla,5.0,3.33
165,JN Malan,T Shamsi,64.5,50.67
166,T Shamsi,AL Phehlukwayo,12.882352941176471,10.05
167,HE van der Dussen,T Shamsi,41.42857142857143,37.21
168,AM Phangiso,T Shamsi,4.5,4.0
