,player-1,player-2,player-3,combined_avg,sum_of_individual
0,K Rabada,M Morkel,AL Phehlukwayo,16.0,15.93
1,Q de Kock,M Morkel,AL Phehlukwayo,59.0,56.34
2,K Zondo,M Morkel,AL Phehlukwayo,108.0,40.91
3,CH Morris,M Morkel,AL Phehlukwayo,38.25,25.48
4,F du Plessis,M Morkel,AL Phehlukwayo,93.5,58.269999999999996
5,L Ngidi,M Morkel,AL Phehlukwayo,27.333333333333332,14.32
6,AK Markram,M Morkel,AL Phehlukwayo,48.0,38.03
7,M Morkel,AL Phehlukwayo,F Behardien,55.0,30.1
8,HM Amla,M Morkel,AL Phehlukwayo,54.8,54.5
9,Imran Tahir,M Morkel,AL Phehlukwayo,29.333333333333332,14.21
10,H Klaasen,M Morkel,AL Phehlukwayo,60.666666666666664,41.510000000000005
11,K Rabada,JP Duminy,M Morkel,28.4,28.28
12,WD Parnell,K Rabada,M Morkel,25.5,13.690000000000001
13,CH Morris,K Rabada,M Morkel,23.125,18.85
14,K Rabada,F du Plessis,M Morkel,52.75,51.64
15,K Rabada,M Morkel,F Behardien,33.42857142857143,23.47
16,K Rabada,Imran Tahir,M Morkel,12.583333333333334,7.58
17,H Klaasen,K Rabada,M Morkel,43.0,34.88
18,K Rabada,KJ Abbott,M Morkel,8.666666666666666,8.09
19,K Rabada,DW Steyn,M Morkel,16.0,10.04
20,AB de Villiers,M Morkel,VD Philander,59.666666666666664,51.18
21,WD Parnell,M Morkel,VD Philander,19.0,14.52
22,DA Miller,M Morkel,VD Philander,47.833333333333336,36.17
23,HM Amla,M Morkel,VD Philander,55.166666666666664,48.7
24,CH Morris,Q de Kock,M Morkel,60.5,59.26
25,Q de Kock,M de Lange,M Morkel,138.0,46.29
26,K Zondo,AB de Villiers,M Morkel,104.0,75.33
27,CH Morris,K Zondo,M Morkel,59.0,43.83
28,L Ngidi,K Zondo,M Morkel,74.0,32.669999999999995
29,AK Markram,K Zondo,M Morkel,66.0,56.38
30,K Zondo,M Morkel,F Behardien,75.0,48.45
31,K Zondo,Imran Tahir,M Morkel,51.0,32.559999999999995
32,H Klaasen,K Zondo,M Morkel,96.0,59.86
33,AB de Villiers,DA Miller,M Morkel,77.15,76.39
34,AB de Villiers,M Morkel,HM Amla,88.95833333333333,88.92
35,AB de Villiers,M Morkel,RR Rossouw,91.0909090909091,87.35
36,AB de Villiers,KJ Abbott,M Morkel,54.42857142857143,49.14
37,AB de Villiers,DW Steyn,M Morkel,61.69230769230769,51.089999999999996
38,WD Parnell,JP Duminy,M Morkel,37.666666666666664,32.669999999999995
39,JP Duminy,M Morkel,F Behardien,44.15384615384615,42.45
40,JP Duminy,DA Miller,M Morkel,54.57142857142857,54.32
41,Imran Tahir,JP Duminy,M Morkel,26.571428571428573,26.56
42,AM Phangiso,JP Duminy,M Morkel,43.0,28.86
43,MN van Wyk,JP Duminy,M Morkel,61.0,48.36
44,JP Duminy,M Morkel,KJ Abbott,30.833333333333332,27.07
45,L Ngidi,T Shamsi,M Morkel,5.0,4.27
46,T Shamsi,M Morkel,HM Amla,48.0,44.45
47,H Klaasen,T Shamsi,M Morkel,40.0,31.46
48,WD Parnell,CH Morris,M Morkel,30.5,23.240000000000002
49,WD Parnell,M Morkel,F Behardien,59.5,27.86
50,WD Parnell,DA Miller,M Morkel,56.6,39.730000000000004
51,WD Parnell,M Morkel,HM Amla,59.6,52.260000000000005
52,WD Parnell,Imran Tahir,M Morkel,30.75,11.969999999999999
53,WD Parnell,KJ Abbott,M Morkel,13.0,12.48
54,WD Parnell,DW Steyn,M Morkel,20.0,14.43
55,CH Morris,F du Plessis,M Morkel,64.0,61.19
56,CH Morris,M Morkel,F Behardien,34.333333333333336,33.019999999999996
57,CH Morris,Imran Tahir,M Morkel,24.875,17.13
58,CH Morris,H Klaasen,M Morkel,44.5,44.43
59,AK Markram,F du Plessis,M Morkel,129.0,73.74
60,F du Plessis,M de Lange,M Morkel,55.0,48.22
61,F du Plessis,DA Miller,M Morkel,77.85,77.67999999999999
62,F du Plessis,M Morkel,HM Amla,91.69565217391305,90.21000000000001
63,F du Plessis,Imran Tahir,M Morkel,51.09090909090909,49.92
64,L Ngidi,AK Markram,M Morkel,34.333333333333336,29.79
65,L Ngidi,DA Miller,M Morkel,40.0,33.73
66,L Ngidi,M Morkel,HM Amla,46.333333333333336,46.260000000000005
67,L Ngidi,Imran Tahir,M Morkel,22.0,5.97
68,L Ngidi,H Klaasen,M Morkel,43.0,33.269999999999996
69,H Klaasen,AK Markram,M Morkel,67.66666666666667,56.98
70,HM Amla,M Morkel,KA Maharaj,55.0,48.31
71,DA Miller,M Morkel,F Behardien,57.54545454545455,49.510000000000005
72,M Morkel,HM Amla,F Behardien,66.26666666666667,62.040000000000006
73,M Morkel,HM Amla,D Wiese,134.0,61.45
74,DA Miller,M Morkel,HM Amla,75.22727272727273,73.91
75,H Klaasen,DA Miller,M Morkel,79.0,60.92
76,AM Phangiso,DA Miller,M Morkel,130.0,35.92
77,MN van Wyk,DA Miller,M Morkel,148.0,55.42
78,KJ Abbott,DA Miller,M Morkel,44.166666666666664,34.13
79,Imran Tahir,M Morkel,HM Amla,48.916666666666664,46.150000000000006
80,RR Rossouw,M Morkel,HM Amla,86.45454545454545,84.87
81,H Klaasen,M Morkel,HM Amla,79.66666666666667,73.45
82,KJ Abbott,M Morkel,HM Amla,65.0,46.660000000000004
83,DW Steyn,M Morkel,HM Amla,55.53846153846154,48.61
84,H Klaasen,Imran Tahir,M Morkel,44.0,33.16
85,K Rabada,CJ Dala,AL Phehlukwayo,20.0,17.47
86,KA Maharaj,CJ Dala,AL Phehlukwayo,22.5,17.91
87,K Rabada,Q de Kock,AL Phehlukwayo,65.5,57.3
88,K Rabada,RR Hendricks,AL Phehlukwayo,48.416666666666664,37.07000000000001
89,K Rabada,T Shamsi,AL Phehlukwayo,21.727272727272727,13.47
90,K Rabada,D Olivier,AL Phehlukwayo,34.5,13.47
91,L Ngidi,K Rabada,AL Phehlukwayo,16.2,15.280000000000001
92,HE van der Dussen,K Rabada,AL Phehlukwayo,59.125,50.68000000000001
93,K Rabada,T Bavuma,AL Phehlukwayo,94.5,76.27
94,HM Amla,K Rabada,AL Phehlukwayo,55.63636363636363,55.46000000000001
95,Q de Kock,PWA Mulder,AL Phehlukwayo,71.625,61.28
96,RR Hendricks,PWA Mulder,AL Phehlukwayo,41.5,41.05
97,JP Duminy,PWA Mulder,AL Phehlukwayo,56.833333333333336,39.849999999999994
98,PWA Mulder,T Shamsi,AL Phehlukwayo,22.0,17.450000000000003
99,L Ngidi,PWA Mulder,AL Phehlukwayo,19.833333333333332,19.26
100,KA Maharaj,PWA Mulder,AL Phehlukwayo,21.5,21.310000000000002
101,Q de Kock,AL Phehlukwayo,JT Smuts,94.75,94.63
102,Q de Kock,AL Phehlukwayo,BE Hendricks,64.8,54.879999999999995
103,Q de Kock,AB de Villiers,AL Phehlukwayo,106.35714285714286,98.35
104,Q de Kock,RR Hendricks,AL Phehlukwayo,92.5,77.48
105,Q de Kock,JP Duminy,AL Phehlukwayo,81.80645161290323,76.27999999999999
106,Q de Kock,D Pretorius,AL Phehlukwayo,75.875,60.019999999999996
107,Q de Kock,T Shamsi,AL Phehlukwayo,59.357142857142854,53.879999999999995
108,WD Parnell,Q de Kock,AL Phehlukwayo,76.0,61.69
109,F du Plessis,Q de Kock,AL Phehlukwayo,105.35,99.64
110,L Ngidi,Q de Kock,AL Phehlukwayo,58.705882352941174,55.69
111,HE van der Dussen,Q de Kock,AL Phehlukwayo,93.8125,91.08999999999999
112,Q de Kock,T Bavuma,AL Phehlukwayo,135.8,116.67999999999999
