,player-1,player-2,player-3,combined_avg,sum_of_individual
0,H Klaasen,D Paterson,AL Phehlukwayo,69.0,39.05
1,H Klaasen,D Paterson,HE van der Dussen,80.0,66.21000000000001
2,H Klaasen,DA Miller,M Morkel,79.0,60.92
3,H Klaasen,AK Markram,DA Miller,95.0,83.97999999999999
4,H Klaasen,DA Miller,T Bavuma,213.0,121.25999999999999
5,H Klaasen,JP Duminy,DA Miller,81.5,80.86
6,H Klaasen,DA Miller,DM Dupavillon,71.0,58.46
7,H Klaasen,T Shamsi,DA Miller,95.25,58.46
8,H Klaasen,DA Miller,K Verreynne,149.0,92.13
9,H Klaasen,DW Steyn,DA Miller,70.66666666666667,62.62
10,H Klaasen,D Pretorius,DA Miller,78.66666666666667,64.6
11,H Klaasen,DA Miller,JT Smuts,142.0,99.21000000000001
12,H Klaasen,DA Miller,KA Maharaj,100.75,62.32
13,H Klaasen,DA Miller,L Sipamla,71.0,61.79
14,H Klaasen,DA Miller,L Ngidi,82.22222222222223,60.27
15,H Klaasen,JN Malan,DA Miller,166.0,109.13
16,H Klaasen,DA Miller,AL Phehlukwayo,72.7,68.51
17,H Klaasen,A Nortje,DA Miller,115.66666666666667,59.75
18,H Klaasen,HE van der Dussen,DA Miller,110.0,95.67000000000002
19,H Klaasen,DA Miller,Q de Kock,102.42857142857143,102.28999999999999
20,H Klaasen,AK Markram,M Morkel,67.66666666666667,56.98
21,H Klaasen,K Zondo,M Morkel,96.0,59.86
22,H Klaasen,M Morkel,HM Amla,79.66666666666667,73.45
23,H Klaasen,M Morkel,K Rabada,43.0,34.88
24,H Klaasen,L Ngidi,M Morkel,43.0,33.269999999999996
25,H Klaasen,AL Phehlukwayo,M Morkel,60.666666666666664,41.51
26,H Klaasen,CH Morris,M Morkel,44.5,44.43
27,H Klaasen,K Zondo,F Behardien,77.0,74.99
28,H Klaasen,AL Phehlukwayo,F Behardien,57.0,56.64
29,H Klaasen,AK Markram,K Zondo,84.5,82.91999999999999
30,H Klaasen,AK Markram,T Shamsi,86.0,54.519999999999996
31,H Klaasen,AK Markram,DW Steyn,61.6,58.67999999999999
32,H Klaasen,AK Markram,F du Plessis,103.25,100.28
33,H Klaasen,T Shamsi,T Bavuma,149.0,91.8
34,H Klaasen,T Bavuma,K Verreynne,197.0,125.47
35,H Klaasen,T Bavuma,KA Maharaj,151.0,95.66
36,H Klaasen,T Bavuma,L Ngidi,149.0,93.61
37,H Klaasen,JN Malan,T Bavuma,149.0,142.47
38,H Klaasen,T Bavuma,AL Phehlukwayo,149.0,101.85
39,H Klaasen,A Nortje,T Bavuma,150.0,93.09
40,H Klaasen,T Bavuma,Q de Kock,164.0,135.63
41,H Klaasen,K Zondo,AB de Villiers,106.0,101.87
42,H Klaasen,K Zondo,RR Hendricks,86.5,81.0
43,H Klaasen,K Zondo,T Shamsi,84.0,57.4
44,H Klaasen,K Zondo,DW Steyn,85.0,61.56
45,H Klaasen,K Zondo,AL Phehlukwayo,67.5,67.45
46,H Klaasen,K Zondo,F du Plessis,110.0,103.16
47,H Klaasen,DW Steyn,JP Duminy,65.0,55.559999999999995
48,H Klaasen,RR Hendricks,T Shamsi,65.0,52.6
49,H Klaasen,HE van der Dussen,RR Hendricks,111.5,89.81
50,H Klaasen,D Elgar,PWA Mulder,60.0,40.07
51,H Klaasen,PWA Mulder,Imran Tahir,58.0,38.1
52,H Klaasen,C Jonker,PWA Mulder,64.0,51.9
53,H Klaasen,L Ngidi,PWA Mulder,40.0,38.21
54,H Klaasen,HE van der Dussen,HM Amla,144.5,108.20000000000002
55,H Klaasen,D Elgar,K Rabada,46.0,36.09
56,H Klaasen,T Shamsi,K Rabada,33.666666666666664,32.42
57,H Klaasen,C Jonker,K Rabada,50.0,47.92
58,H Klaasen,HE van der Dussen,K Rabada,86.5,69.63000000000001
59,H Klaasen,DW Steyn,D Elgar,65.0,36.83
60,H Klaasen,K Verreynne,DM Dupavillon,118.0,62.67
61,H Klaasen,JT Smuts,DM Dupavillon,152.0,69.75
62,H Klaasen,KA Maharaj,DM Dupavillon,68.0,32.86
63,H Klaasen,L Sipamla,DM Dupavillon,68.0,32.33
64,H Klaasen,JN Malan,DM Dupavillon,91.0,79.67
65,H Klaasen,AL Phehlukwayo,DM Dupavillon,68.0,39.05
66,H Klaasen,A Nortje,DM Dupavillon,68.0,30.29
67,H Klaasen,Q de Kock,DM Dupavillon,94.0,72.83
68,H Klaasen,T Shamsi,K Verreynne,112.5,62.67
69,H Klaasen,DW Steyn,T Shamsi,63.0,33.16
70,H Klaasen,T Shamsi,Imran Tahir,59.0,30.7
71,H Klaasen,T Shamsi,JT Smuts,92.0,69.75
72,H Klaasen,T Shamsi,KA Maharaj,88.0,32.86
73,H Klaasen,T Shamsi,L Ngidi,72.33333333333333,30.81
74,H Klaasen,JN Malan,T Shamsi,151.5,79.67
75,H Klaasen,T Shamsi,AL Phehlukwayo,68.2,39.05
76,H Klaasen,A Nortje,T Shamsi,87.5,30.29
77,H Klaasen,HE van der Dussen,T Shamsi,80.0,66.21000000000001
78,H Klaasen,T Shamsi,Q de Kock,94.5,72.83
79,H Klaasen,JT Smuts,K Verreynne,148.5,103.42
80,H Klaasen,KA Maharaj,K Verreynne,115.0,66.53
81,H Klaasen,L Sipamla,K Verreynne,118.0,66.0
82,H Klaasen,L Ngidi,K Verreynne,112.5,64.48
83,H Klaasen,JN Malan,K Verreynne,165.0,113.34
84,H Klaasen,AL Phehlukwayo,K Verreynne,114.33333333333333,72.72
85,H Klaasen,A Nortje,K Verreynne,114.66666666666667,63.96
86,H Klaasen,Q de Kock,K Verreynne,128.0,106.5
87,H Klaasen,DW Steyn,C Jonker,86.0,48.66
88,H Klaasen,DW Steyn,AL Phehlukwayo,51.333333333333336,43.209999999999994
89,H Klaasen,HE van der Dussen,Imran Tahir,93.0,67.91000000000001
90,H Klaasen,JT Smuts,KA Maharaj,122.0,73.61
91,H Klaasen,JT Smuts,L Sipamla,152.0,73.08
92,H Klaasen,L Ngidi,JT Smuts,92.0,71.56
93,H Klaasen,JN Malan,JT Smuts,198.0,120.42
94,H Klaasen,AL Phehlukwayo,JT Smuts,122.0,79.8
95,H Klaasen,A Nortje,JT Smuts,122.0,71.03999999999999
96,H Klaasen,Q de Kock,JT Smuts,135.0,113.58
97,H Klaasen,KA Maharaj,L Sipamla,68.0,36.19
98,H Klaasen,L Ngidi,KA Maharaj,70.33333333333333,34.67
99,H Klaasen,JN Malan,KA Maharaj,132.0,83.53
100,H Klaasen,AL Phehlukwayo,KA Maharaj,60.2,42.91
101,H Klaasen,A Nortje,KA Maharaj,81.66666666666667,34.15
102,H Klaasen,Q de Kock,KA Maharaj,81.4,76.69
103,H Klaasen,JN Malan,L Sipamla,91.0,83.0
104,H Klaasen,AL Phehlukwayo,L Sipamla,68.0,42.379999999999995
105,H Klaasen,A Nortje,L Sipamla,68.0,33.62
106,H Klaasen,Q de Kock,L Sipamla,94.0,76.16
107,H Klaasen,JN Malan,L Ngidi,151.5,81.48
108,H Klaasen,L Ngidi,AL Phehlukwayo,46.0,40.86
109,H Klaasen,A Nortje,L Ngidi,87.5,32.1
110,H Klaasen,JN Malan,AL Phehlukwayo,131.33333333333334,89.72
111,H Klaasen,JN Malan,A Nortje,131.66666666666666,80.96000000000001
112,H Klaasen,JN Malan,Q de Kock,145.0,123.5
113,H Klaasen,A Nortje,AL Phehlukwayo,81.0,40.34
114,H Klaasen,HE van der Dussen,AL Phehlukwayo,121.0,76.26
115,H Klaasen,A Nortje,Q de Kock,94.66666666666667,74.12
116,H Klaasen,HE van der Dussen,D Olivier,86.5,66.21000000000001
117,D Wiese,DA Miller,F Behardien,71.33333333333333,64.05
118,D Wiese,KJ Abbott,DA Miller,51.0,48.67
119,M Morkel,D Wiese,HM Amla,134.0,61.45
120,M Morkel,D Wiese,Q de Kock,142.0,63.29
121,D Wiese,AB de Villiers,F Behardien,86.5,79.06
122,D Wiese,F Behardien,HM Amla,106.66666666666667,76.58000000000001
123,D Wiese,K Rabada,F Behardien,40.0,38.010000000000005
124,D Wiese,DW Steyn,F Behardien,53.666666666666664,38.75
125,D Wiese,F Behardien,Imran Tahir,47.666666666666664,36.290000000000006
126,D Wiese,VD Philander,F Behardien,68.5,38.84
127,D Wiese,MN van Wyk,F Behardien,78.33333333333333,58.09
128,RR Rossouw,D Wiese,F Behardien,87.75,75.01
129,D Wiese,CH Morris,F Behardien,87.0,47.56
130,D Wiese,Q de Kock,F Behardien,95.0,78.42
131,D Wiese,KJ Abbott,F Behardien,44.25,36.8
132,D Wiese,AB de Villiers,HM Amla,117.5,103.46000000000001
133,RR Rossouw,D Wiese,AB de Villiers,104.5,101.89
134,D Wiese,AB de Villiers,CH Morris,130.0,74.44
135,D Wiese,AB de Villiers,Q de Kock,123.66666666666667,105.3
136,D Wiese,KJ Abbott,AB de Villiers,71.75,63.68
137,D Wiese,JP Duminy,HM Amla,92.5,81.39
138,D Wiese,JP Duminy,CH Morris,113.0,52.37
139,D Wiese,JP Duminy,Q de Kock,110.0,83.22999999999999
140,D Wiese,K Rabada,HM Amla,89.6,62.410000000000004
141,D Wiese,DW Steyn,HM Amla,70.66666666666667,63.150000000000006
142,D Wiese,Imran Tahir,HM Amla,78.66666666666667,60.69
143,D Wiese,VD Philander,HM Amla,92.0,63.24
144,D Wiese,MN van Wyk,HM Amla,95.33333333333333,82.49000000000001
145,RR Rossouw,D Wiese,HM Amla,112.0,99.41
146,D Wiese,CH Morris,HM Amla,91.0,71.96000000000001
147,D Wiese,Q de Kock,HM Amla,140.0,102.82
148,D Wiese,F du Plessis,HM Amla,107.0,104.75
149,D Wiese,KJ Abbott,HM Amla,79.0,61.2
150,D Wiese,MN van Wyk,K Rabada,50.0,43.92
151,D Wiese,CH Morris,K Rabada,61.5,33.39
152,D Wiese,Q de Kock,K Rabada,78.0,64.25
153,D Wiese,DW Steyn,VD Philander,27.0,25.41
154,D Wiese,VD Philander,Imran Tahir,28.0,22.95
155,D Wiese,CH Morris,Imran Tahir,63.5,31.669999999999998
