,player-1,player-2,combined_avg,sum_of_individual
0,HM Amla,VD Philander,61.125,46.24
1,RR Rossouw,VD Philander,56.0,44.67
2,Imran Tahir,VD Philander,9.0,5.95
3,DA Miller,VD Philander,41.5,33.71
4,AM Phangiso,VD Philander,31.0,8.25
5,D Wiese,VD Philander,26.0,21.25
6,WD Parnell,VD Philander,17.0,12.059999999999999
7,AB de Villiers,VD Philander,53.0,48.72
8,A Nortje,Imran Tahir,3.0,2.99
9,A Nortje,F du Plessis,61.0,47.05
10,A Nortje,JT Smuts,62.5,42.04
11,A Nortje,H Klaasen,81.0,30.29
12,A Nortje,PWA Mulder,12.5,8.690000000000001
13,A Nortje,AK Markram,48.0,26.81
14,K Rabada,F Behardien,24.0,21.009999999999998
15,K Rabada,M Morkel,7.7333333333333325,5.88
16,K Rabada,Imran Tahir,5.241935483870968,5.12
17,K Rabada,F du Plessis,50.66666666666666,49.18
18,K Rabada,Q de Kock,50.03125,47.25
19,MN van Wyk,K Rabada,37.0,26.92
20,K Rabada,T Bavuma,92.0,66.22
21,K Rabada,RR Hendricks,31.2,27.020000000000003
22,K Rabada,L Ngidi,5.333333333333333,5.23
23,AM Phangiso,K Rabada,12.4,7.42
24,K Rabada,CJ Dala,17.0,7.42
25,K Rabada,PWA Mulder,12.0,10.82
26,K Rabada,CH Morris,18.1875,16.39
27,K Rabada,JP Duminy,26.288461538461537,25.82
28,K Rabada,D Paterson,5.75,3.42
29,K Rabada,WD Parnell,12.176470588235292,11.23
30,K Rabada,AK Markram,29.0,28.939999999999998
31,K Rabada,HE van der Dussen,42.647058823529406,40.63
32,HM Amla,F Behardien,65.44444444444444,59.58
33,F Behardien,Imran Tahir,19.722222222222218,19.29
34,F Behardien,DA Miller,50.04347826086956,47.05
35,F Behardien,Q de Kock,66.21212121212122,61.42
36,MN van Wyk,F Behardien,57.75,41.09
37,F Behardien,T Bavuma,122.0,80.39
38,AM Phangiso,F Behardien,30.33333333333333,21.59
39,T Shamsi,F Behardien,22.0,17.59
40,F Behardien,K Zondo,55.0,45.989999999999995
41,F Behardien,PWA Mulder,35.0,24.990000000000002
42,F Behardien,D Wiese,46.33333333333334,34.59
43,F Behardien,JP Duminy,41.36666666666667,39.989999999999995
44,F Behardien,D Paterson,20.0,17.59
45,F Behardien,WD Parnell,28.09090909090909,25.4
46,F Behardien,AB de Villiers,69.75757575757575,62.06
47,F Behardien,AK Markram,62.0,43.11
48,HM Amla,M Morkel,46.62962962962962,44.45
49,Imran Tahir,M Morkel,5.958333333333332,4.16
50,AL Phehlukwayo,M Morkel,21.8,12.510000000000002
51,DA Miller,M Morkel,32.95652173913044,31.92
52,H Klaasen,M Morkel,41.66666666666666,31.46
53,M Morkel,L Ngidi,8.333333333333334,4.27
54,M Morkel,K Zondo,50.0,30.86
55,CH Morris,M Morkel,16.7,15.43
56,WD Parnell,M Morkel,16.333333333333332,10.27
57,HM Amla,RR Rossouw,88.47826086956522,82.41
58,HM Amla,KJ Abbott,48.27777777777778,44.2
59,HM Amla,Imran Tahir,44.24193548387096,43.690000000000005
60,HM Amla,D Olivier,58.0,41.99
61,HM Amla,M de Lange,69.5,41.99
62,MN van Wyk,HM Amla,84.0,65.49000000000001
63,HM Amla,RR Hendricks,73.25,65.59
64,HM Amla,DW Steyn,47.65217391304348,46.150000000000006
65,HM Amla,D Wiese,77.33333333333333,58.99
66,HM Amla,D Paterson,67.66666666666667,41.99
67,HM Amla,WD Parnell,61.82352941176471,49.800000000000004
68,HM Amla,AB de Villiers,92.0,86.46000000000001
69,RR Rossouw,AL Phehlukwayo,75.4,50.47
70,RR Rossouw,DA Miller,77.75,69.88
71,RR Rossouw,M de Lange,75.5,40.42
72,AM Phangiso,RR Rossouw,48.16666666666666,44.42
73,RR Rossouw,DW Steyn,49.6,44.58
74,RR Rossouw,WD Parnell,60.6,48.230000000000004
75,RR Rossouw,AB de Villiers,85.76470588235293,84.89
76,L Sipamla,Q de Kock,70.66666666666667,47.16
77,L Sipamla,T Bavuma,68.5,66.13
78,L Sipamla,H Klaasen,68.0,32.33
79,L Sipamla,BE Hendricks,6.5,4.33
80,L Sipamla,T Shamsi,5.0,3.33
81,L Sipamla,K Verreynne,50.0,37.0
82,KA Maharaj,JT Smuts,62.5,44.61
83,KA Maharaj,DA Miller,35.833333333333336,33.32
84,KA Maharaj,H Klaasen,57.8,32.86
85,KA Maharaj,L Ngidi,6.666666666666668,5.67
86,KA Maharaj,CJ Dala,16.5,7.859999999999999
