,player-1,player-2,player-3,combined_avg,sum_of_individual
0,JN Malan,Q de Kock,H Klaasen,145.0,123.5
1,JN Malan,JT Smuts,Q de Kock,151.5,135.25
2,JN Malan,L Sipamla,H Klaasen,91.0,83.0
3,JN Malan,JT Smuts,L Sipamla,107.0,94.75
4,JN Malan,H Klaasen,T Bavuma,149.0,142.47
5,JN Malan,H Klaasen,K Verreynne,165.0,113.34
6,JN Malan,L Ngidi,K Verreynne,90.0,86.15
7,JN Malan,JT Smuts,K Verreynne,165.0,125.09
8,JN Malan,DA Miller,K Verreynne,119.0,113.8
9,JN Malan,T Shamsi,K Verreynne,90.0,84.34
10,JN Malan,H Klaasen,KA Maharaj,132.0,83.53
11,JN Malan,L Ngidi,KA Maharaj,65.5,56.34
12,JN Malan,JT Smuts,KA Maharaj,138.5,95.28
13,JN Malan,DA Miller,KA Maharaj,86.0,83.99
14,JN Malan,T Shamsi,KA Maharaj,65.5,54.53
15,JN Malan,H Klaasen,L Ngidi,151.5,81.48
16,JN Malan,JT Smuts,H Klaasen,198.0,120.42
17,JN Malan,DA Miller,H Klaasen,166.0,109.13
18,JN Malan,DM Dupavillon,H Klaasen,91.0,79.67
19,JN Malan,H Klaasen,T Shamsi,151.5,79.67
20,JN Malan,H Klaasen,AL Phehlukwayo,131.33333333333334,89.72
21,JN Malan,H Klaasen,A Nortje,131.66666666666666,80.96000000000001
22,JN Malan,JT Smuts,L Ngidi,170.0,93.23
23,JN Malan,DA Miller,L Ngidi,115.0,81.94
24,JN Malan,T Shamsi,L Ngidi,64.5,52.480000000000004
25,JN Malan,L Ngidi,AL Phehlukwayo,64.5,62.53
26,JN Malan,L Ngidi,A Nortje,65.0,53.77
27,JN Malan,JT Smuts,DA Miller,158.5,120.88
28,JN Malan,DM Dupavillon,JT Smuts,107.0,91.42
29,JN Malan,JT Smuts,T Shamsi,170.0,91.42
30,JN Malan,JT Smuts,AL Phehlukwayo,138.5,101.47
31,JN Malan,JT Smuts,A Nortje,138.5,92.71000000000001
32,JN Malan,DA Miller,T Shamsi,115.0,80.13
33,JN Malan,DA Miller,A Nortje,85.66666666666667,81.42
34,JN Malan,T Shamsi,AL Phehlukwayo,64.5,60.72
35,JN Malan,T Shamsi,A Nortje,65.0,51.96
36,AK Markram,D Paterson,Q de Kock,139.0,69.35
37,AK Markram,Q de Kock,F du Plessis,121.0625,115.10999999999999
38,AK Markram,Q de Kock,T Bavuma,187.0,132.14999999999998
39,AK Markram,Q de Kock,KA Maharaj,82.0,73.21
40,AK Markram,Q de Kock,CJ Dala,79.0,73.35
41,AK Markram,Q de Kock,F Behardien,172.0,86.94
42,PWA Mulder,AK Markram,Q de Kock,96.75,76.75
43,AK Markram,Q de Kock,AB de Villiers,159.0,113.82
44,AK Markram,Q de Kock,A Nortje,76.5,70.64
45,AK Markram,D Paterson,F du Plessis,157.0,71.28
46,AK Markram,D Paterson,T Bavuma,114.0,88.32
47,AK Markram,D Paterson,F Behardien,99.0,43.11
48,PWA Mulder,AK Markram,D Paterson,68.0,32.92
49,AK Markram,D Paterson,AB de Villiers,86.0,69.99
50,AK Markram,D Paterson,Imran Tahir,66.0,27.22
51,AK Markram,D Paterson,K Rabada,89.0,28.939999999999998
52,AK Markram,D Paterson,AL Phehlukwayo,71.0,35.57
53,AK Markram,F du Plessis,DW Steyn,83.2,75.44
54,AK Markram,M Morkel,F du Plessis,129.0,73.74
55,AK Markram,HE van der Dussen,F du Plessis,111.5,108.49000000000001
56,AK Markram,F du Plessis,JP Duminy,100.8,93.68
57,AK Markram,F du Plessis,T Bavuma,205.0,134.07999999999998
58,AK Markram,F du Plessis,F Behardien,190.0,88.87
59,AK Markram,F du Plessis,H Klaasen,103.25,100.28
60,AK Markram,F du Plessis,L Ngidi,73.72727272727273,73.09
61,AK Markram,F du Plessis,RR Hendricks,110.2,94.88
62,PWA Mulder,AK Markram,F du Plessis,97.0,78.68
63,AK Markram,F du Plessis,CH Morris,95.14285714285714,84.25
64,DA Miller,AK Markram,F du Plessis,104.45454545454544,100.74000000000001
65,AK Markram,F du Plessis,AB de Villiers,177.0,115.75
66,AK Markram,F du Plessis,T Shamsi,74.6,71.28
67,AK Markram,Imran Tahir,F du Plessis,87.14285714285714,72.97999999999999
68,AK Markram,F du Plessis,K Rabada,84.8125,74.7
69,AK Markram,F du Plessis,AL Phehlukwayo,85.6,81.33
70,AK Markram,F du Plessis,A Nortje,81.5,72.57000000000001
71,AK Markram,F du Plessis,D Pretorius,96.33333333333331,77.42
72,AK Markram,DW Steyn,K Zondo,93.5,58.08
73,AK Markram,DW Steyn,JP Duminy,69.0,52.08
74,C Jonker,AK Markram,DW Steyn,120.0,45.17999999999999
75,AK Markram,D Elgar,DW Steyn,99.0,33.349999999999994
76,AK Markram,H Klaasen,DW Steyn,61.6,58.67999999999999
77,AK Markram,DW Steyn,L Ngidi,47.4,31.49
78,AK Markram,DW Steyn,RR Hendricks,67.16666666666667,53.28
79,DA Miller,AK Markram,DW Steyn,84.0,59.14
80,AK Markram,DW Steyn,T Shamsi,37.5,29.68
81,AK Markram,Imran Tahir,DW Steyn,48.6,31.38
82,AK Markram,K Rabada,DW Steyn,36.25,33.099999999999994
83,AK Markram,DW Steyn,AL Phehlukwayo,58.5,39.730000000000004
84,AK Markram,M Morkel,K Zondo,66.0,56.379999999999995
85,AK Markram,M Morkel,H Klaasen,67.66666666666667,56.980000000000004
86,AK Markram,M Morkel,L Ngidi,34.333333333333336,29.79
87,AK Markram,M Morkel,AL Phehlukwayo,48.0,38.03
88,AK Markram,F Behardien,K Zondo,79.0,71.50999999999999
89,C Jonker,AK Markram,K Zondo,81.0,69.41999999999999
90,AK Markram,D Elgar,K Zondo,60.0,57.589999999999996
91,AK Markram,H Klaasen,K Zondo,84.5,82.91999999999999
92,AK Markram,L Ngidi,K Zondo,64.33333333333333,55.73
93,AK Markram,RR Hendricks,K Zondo,95.0,77.52000000000001
94,AK Markram,AB de Villiers,K Zondo,108.0,98.38999999999999
95,AK Markram,Imran Tahir,K Zondo,58.8,55.62
96,AK Markram,AL Phehlukwayo,K Zondo,78.75,63.97
97,AK Markram,HE van der Dussen,JP Duminy,87.6,85.13
98,AK Markram,HE van der Dussen,L Ngidi,79.4,64.54
