,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
0,Q de Kock,PWA Mulder,AK Markram,CJ Dala,81.0,80.75
1,Q de Kock,KA Maharaj,AK Markram,CJ Dala,87.0,77.21
2,K Rabada,KA Maharaj,AK Markram,CJ Dala,45.0,36.8
3,K Rabada,Q de Kock,AK Markram,CJ Dala,91.0,76.77
4,KA Maharaj,PWA Mulder,DA Miller,CJ Dala,45.0,44.72
5,KA Maharaj,PWA Mulder,JP Duminy,CJ Dala,44.5,37.66
6,AL Phehlukwayo,KA Maharaj,PWA Mulder,CJ Dala,25.5,25.310000000000002
7,K Rabada,KA Maharaj,PWA Mulder,CJ Dala,27.0,18.68
8,L Ngidi,KA Maharaj,PWA Mulder,CJ Dala,25.0,17.07
9,PWA Mulder,JP Duminy,DA Miller,CJ Dala,66.0,63.26
10,L Ngidi,PWA Mulder,JP Duminy,CJ Dala,46.0,35.61
11,K Rabada,Q de Kock,PWA Mulder,CJ Dala,73.0,58.65
12,KA Maharaj,JP Duminy,DA Miller,CJ Dala,79.0,59.72
13,KA Maharaj,HM Amla,DA Miller,CJ Dala,81.0,79.31
14,AL Phehlukwayo,KA Maharaj,DA Miller,CJ Dala,50.0,47.370000000000005
15,L Ngidi,KA Maharaj,DA Miller,CJ Dala,42.0,39.13
16,Q de Kock,KA Maharaj,JP Duminy,CJ Dala,80.0,74.09
17,AL Phehlukwayo,KA Maharaj,JP Duminy,CJ Dala,47.5,40.31
18,K Rabada,KA Maharaj,JP Duminy,CJ Dala,37.0,33.68
19,L Ngidi,KA Maharaj,JP Duminy,CJ Dala,59.0,32.07
20,L Ngidi,KA Maharaj,HM Amla,CJ Dala,61.0,51.660000000000004
21,K Rabada,Q de Kock,KA Maharaj,CJ Dala,79.0,55.11
22,K Rabada,AL Phehlukwayo,KA Maharaj,CJ Dala,28.0,21.330000000000002
23,AL Phehlukwayo,KA Maharaj,L Ngidi,CJ Dala,30.0,19.72
24,HM Amla,JP Duminy,DA Miller,CJ Dala,102.0,97.85
25,AL Phehlukwayo,JP Duminy,DA Miller,CJ Dala,71.0,65.91
26,L Ngidi,JP Duminy,DA Miller,CJ Dala,63.0,57.67
27,L Ngidi,HM Amla,JP Duminy,CJ Dala,82.0,70.2
28,L Ngidi,JP Duminy,H Klaasen,CJ Dala,59.0,57.209999999999994
29,K Rabada,Q de Kock,JP Duminy,CJ Dala,83.0,73.65
30,AL Phehlukwayo,JP Duminy,L Ngidi,CJ Dala,51.0,38.260000000000005
31,K Rabada,Q de Kock,AL Phehlukwayo,CJ Dala,74.0,61.3
32,F du Plessis,H Klaasen,AK Markram,K Zondo,152.0,128.67999999999998
