P1,P1_S,P2,P2_S,P3,P3_S,P4,P4_S,P5,P5_S,P6,P6_S,P7,P7_S,P8,P8_S,P9,P9_S,P10,P10_S,P11,P11_S
HM Amla,66,RR Rossouw,0,F du Plessis,0,AB de Villiers,81,DA Miller,70,JP Duminy,12,F Behardien,12,VD Philander,4,DW Steyn,6,M Morkel,2,Imran Tahir,26
HM Amla,153,RR Rossouw,128,AB de Villiers,149,DA Miller,0,F du Plessis,0,JP Duminy,0,F Behardien,0,VD Philander,0,DW Steyn,0,M Morkel,0,Imran Tahir,0
RR Rossouw,7,HM Amla,61,F du Plessis,51,AB de Villiers,0,JP Duminy,0,DA Miller,0,F Behardien,0,VD Philander,0,DW Steyn,0,M Morkel,0,Imran Tahir,0
MN van Wyk,18,RR Rossouw,4,F du Plessis,4,AB de Villiers,19,DA Miller,130,JP Duminy,43,F Behardien,12,WD Parnell,12,AM Phangiso,0,KJ Abbott,1,M Morkel,0
Q de Kock,4,HM Amla,133,F du Plessis,16,RR Rossouw,132,DA Miller,23,JP Duminy,18,F Behardien,5,WD Parnell,0,AM Phangiso,0,KJ Abbott,0,M de Lange,0
Q de Kock,7,HM Amla,11,F du Plessis,24,AB de Villiers,25,DA Miller,138,JP Duminy,115,F Behardien,0,VD Philander,0,DW Steyn,0,Imran Tahir,0,M Morkel,0
HM Amla,22,Q de Kock,7,F du Plessis,55,AB de Villiers,30,DA Miller,22,JP Duminy,6,WD Parnell,17,VD Philander,0,DW Steyn,1,M Morkel,2,Imran Tahir,8
Q de Kock,12,HM Amla,65,F du Plessis,62,RR Rossouw,61,AB de Villiers,162,DA Miller,20,F Behardien,10,DW Steyn,0,KJ Abbott,0,M Morkel,0,Imran Tahir,0
HM Amla,159,Q de Kock,1,F du Plessis,109,AB de Villiers,24,DA Miller,46,RR Rossouw,61,F Behardien,0,DW Steyn,0,KJ Abbott,0,M Morkel,0,Imran Tahir,0
Q de Kock,0,HM Amla,38,F du Plessis,27,RR Rossouw,6,AB de Villiers,77,DA Miller,0,JP Duminy,12,DW Steyn,16,KJ Abbott,12,M Morkel,6,Imran Tahir,0
HM Amla,16,Q de Kock,78,F du Plessis,21,RR Rossouw,0,AB de Villiers,0,DA Miller,0,JP Duminy,0,DW Steyn,0,KJ Abbott,0,M Morkel,0,Imran Tahir,0
HM Amla,10,Q de Kock,14,F du Plessis,82,RR Rossouw,39,AB de Villiers,65,DA Miller,49,JP Duminy,8,VD Philander,0,DW Steyn,0,M Morkel,0,Imran Tahir,0
Q de Kock,35,HM Amla,14,F du Plessis,63,RR Rossouw,45,DA Miller,0,JP Duminy,0,F Behardien,0,CH Morris,0,KJ Abbott,0,K Rabada,0,Imran Tahir,0
HM Amla,22,Q de Kock,2,F du Plessis,41,RR Rossouw,4,DA Miller,9,JP Duminy,13,F Behardien,36,CH Morris,12,K Rabada,10,KJ Abbott,5,Imran Tahir,1
Q de Kock,7,HM Amla,15,F du Plessis,6,RR Rossouw,17,DA Miller,44,JP Duminy,51,F Behardien,12,K Rabada,1,KJ Abbott,5,M Morkel,1,Imran Tahir,0
MN van Wyk,16,HM Amla,124,RR Rossouw,89,AB de Villiers,9,DA Miller,14,F Behardien,15,D Wiese,14,VD Philander,0,K Rabada,0,DW Steyn,0,Imran Tahir,0
HM Amla,8,MN van Wyk,2,RR Rossouw,39,AB de Villiers,31,DA Miller,5,F Behardien,70,D Wiese,8,VD Philander,30,AM Phangiso,1,DW Steyn,2,Imran Tahir,4
MN van Wyk,58,HM Amla,44,RR Rossouw,6,AB de Villiers,64,DA Miller,36,F Behardien,40,D Wiese,12,KJ Abbott,3,DW Steyn,0,K Rabada,0,Imran Tahir,0
Q de Kock,29,HM Amla,37,F du Plessis,62,AB de Villiers,104,DA Miller,13,JP Duminy,15,F Behardien,35,DW Steyn,0,K Rabada,0,M Morkel,0,Imran Tahir,0
HM Amla,17,Q de Kock,34,F du Plessis,51,JP Duminy,36,AB de Villiers,19,DA Miller,0,F Behardien,18,DW Steyn,13,K Rabada,19,Imran Tahir,9,M Morkel,4
Q de Kock,103,DA Miller,33,HM Amla,5,F du Plessis,60,AB de Villiers,4,JP Duminy,14,F Behardien,33,DW Steyn,12,K Rabada,0,Imran Tahir,0,M Morkel,0
Q de Kock,43,HM Amla,7,F du Plessis,17,AB de Villiers,112,DA Miller,6,F Behardien,22,CH Morris,9,AM Phangiso,20,DW Steyn,6,K Rabada,8,Imran Tahir,4
Q de Kock,109,HM Amla,23,F du Plessis,133,AB de Villiers,119,DA Miller,22,F Behardien,16,D Elgar,5,DW Steyn,0,K Rabada,0,Imran Tahir,0,KJ Abbott,0
Q de Kock,138,HM Amla,6,F du Plessis,55,AB de Villiers,8,JP Duminy,13,RR Rossouw,19,F Behardien,4,CH Morris,0,M Morkel,0,M de Lange,0,Imran Tahir,0
HM Amla,4,Q de Kock,22,F du Plessis,46,AB de Villiers,73,JP Duminy,47,RR Rossouw,11,F Behardien,23,K Rabada,12,KJ Abbott,7,M Morkel,0,Imran Tahir,0
Q de Kock,135,HM Amla,127,D Wiese,7,F du Plessis,33,AB de Villiers,0,JP Duminy,0,F Behardien,0,K Rabada,0,KJ Abbott,0,M Morkel,0,Imran Tahir,0
HM Amla,0,Q de Kock,27,F du Plessis,34,AB de Villiers,36,JP Duminy,31,F Behardien,38,D Wiese,20,CH Morris,62,K Rabada,0,KJ Abbott,3,Imran Tahir,4
Q de Kock,4,HM Amla,59,F du Plessis,0,RR Rossouw,4,AB de Villiers,101,F Behardien,13,D Wiese,41,CH Morris,0,K Rabada,0,KJ Abbott,0,Imran Tahir,0
Q de Kock,30,HM Amla,20,RR Rossouw,61,AB de Villiers,31,JP Duminy,23,F Behardien,0,CH Morris,9,KJ Abbott,5,AM Phangiso,3,K Rabada,1,Imran Tahir,0
HM Amla,35,Q de Kock,18,RR Rossouw,7,AB de Villiers,22,JP Duminy,13,F Behardien,62,WD Parnell,2,AM Phangiso,9,K Rabada,15,Imran Tahir,0,T Shamsi,0
Q de Kock,19,HM Amla,60,F du Plessis,63,AB de Villiers,39,JP Duminy,41,F Behardien,4,WD Parnell,3,KJ Abbott,1,AM Phangiso,3,K Rabada,3,Imran Tahir,6
HM Amla,110,Q de Kock,71,CH Morris,40,F du Plessis,73,AB de Villiers,27,JP Duminy,10,F Behardien,0,WD Parnell,0,K Rabada,0,Imran Tahir,0,T Shamsi,0
HM Amla,16,Q de Kock,6,F du Plessis,3,AB de Villiers,2,F Behardien,35,JP Duminy,5,CH Morris,7,WD Parnell,28,K Rabada,9,M Morkel,32,Imran Tahir,29
Q de Kock,82,T Bavuma,113,F du Plessis,21,JP Duminy,52,DA Miller,14,F Behardien,50,D Pretorius,0,WD Parnell,0,AL Phehlukwayo,0,K Rabada,0,AM Phangiso,0
Q de Kock,178,RR Rossouw,63,F du Plessis,26,JP Duminy,9,DA Miller,10,F Behardien,5,AL Phehlukwayo,0,WD Parnell,0,DW Steyn,0,K Rabada,0,Imran Tahir,0
Q de Kock,22,RR Rossouw,75,F du Plessis,111,JP Duminy,82,DA Miller,26,F Behardien,13,WD Parnell,8,AL Phehlukwayo,13,DW Steyn,0,K Rabada,0,Imran Tahir,0
Q de Kock,70,HM Amla,45,F du Plessis,33,RR Rossouw,18,JP Duminy,20,DA Miller,118,D Pretorius,15,AL Phehlukwayo,42,DW Steyn,0,K Rabada,0,Imran Tahir,0
HM Amla,4,Q de Kock,18,F du Plessis,69,JP Duminy,25,RR Rossouw,33,F Behardien,12,D Pretorius,0,AL Phehlukwayo,0,KJ Abbott,0,AM Phangiso,0,T Shamsi,0
Q de Kock,12,HM Amla,25,F du Plessis,11,RR Rossouw,122,JP Duminy,73,DA Miller,39,AL Phehlukwayo,11,K Rabada,0,KJ Abbott,0,DW Steyn,6,Imran Tahir,0
Q de Kock,34,HM Amla,57,F du Plessis,55,AB de Villiers,30,JP Duminy,0,DA Miller,0,CH Morris,0,WD Parnell,0,AL Phehlukwayo,0,K Rabada,0,Imran Tahir,0
HM Amla,15,Q de Kock,17,F du Plessis,105,AB de Villiers,3,JP Duminy,11,DA Miller,117,CH Morris,26,WD Parnell,2,AL Phehlukwayo,0,K Rabada,0,Imran Tahir,0
Q de Kock,8,HM Amla,34,F du Plessis,24,AB de Villiers,60,JP Duminy,28,F Behardien,0,CH Morris,0,D Pretorius,0,AL Phehlukwayo,0,K Rabada,0,Imran Tahir,0
HM Amla,1,Q de Kock,55,F du Plessis,185,AB de Villiers,64,JP Duminy,20,F Behardien,36,WD Parnell,1,D Pretorius,0,Imran Tahir,0,K Rabada,0,T Shamsi,0
Q de Kock,109,HM Amla,154,F du Plessis,41,AB de Villiers,14,JP Duminy,10,F Behardien,32,CH Morris,3,WD Parnell,1,AL Phehlukwayo,0,Imran Tahir,0,K Rabada,0
Q de Kock,69,HM Amla,35,F du Plessis,14,AB de Villiers,37,JP Duminy,1,F Behardien,0,CH Morris,16,AL Phehlukwayo,29,T Shamsi,0,K Rabada,0,Imran Tahir,0
HM Amla,10,Q de Kock,57,F du Plessis,11,JP Duminy,34,AB de Villiers,45,DA Miller,28,D Pretorius,50,CH Morris,7,WD Parnell,0,AL Phehlukwayo,29,Imran Tahir,0
Q de Kock,68,HM Amla,7,F du Plessis,36,AB de Villiers,85,JP Duminy,16,DA Miller,3,D Pretorius,11,WD Parnell,35,AL Phehlukwayo,1,Imran Tahir,0,K Rabada,0
HM Amla,40,Q de Kock,0,F du Plessis,67,JP Duminy,25,AB de Villiers,72,DA Miller,1,D Pretorius,10,CH Morris,28,WD Parnell,29,K Rabada,0,Imran Tahir,0
Q de Kock,6,HM Amla,8,F du Plessis,51,JP Duminy,3,AB de Villiers,23,DA Miller,45,D Pretorius,0,CH Morris,0,AL Phehlukwayo,0,K Rabada,0,Imran Tahir,0
