,player-1,player-2,combined_avg,sum_of_individual
0,SS Cottrell,N Deonarine,45.0,29.21
1,DJG Sammy,N Deonarine,70.0,54.9
2,AD Russell,N Deonarine,46.5,44.739999999999995
3,MN Samuels,N Deonarine,64.5,59.55
4,JO Holder,JL Carter,39.642857142857146,37.1
5,KC Brathwaite,JL Carter,59.166666666666664,40.5
6,LR Johnson,JL Carter,27.0,24.61
7,SD Hope,JL Carter,74.17647058823529,62.68
8,JN Mohammed,JL Carter,50.9,43.230000000000004
9,ST Gabriel,JL Carter,20.46153846153846,19.28
10,ML Cummins,JL Carter,26.666666666666668,19.71
11,R Powell,JL Carter,45.5,40.42
12,SW Ambris,JL Carter,67.0,52.660000000000004
13,SJ Benn,JL Carter,31.857142857142858,22.28
14,E Lewis,JL Carter,56.25,51.93
15,AS Joseph,JL Carter,28.333333333333332,22.93
16,MN Samuels,JL Carter,57.916666666666664,51.33
17,KOA Powell,JL Carter,37.0,32.61
18,CR Brathwaite,JL Carter,34.75,32.2
19,D Bishoo,JL Carter,33.5,24.200000000000003
20,AR Nurse,JL Carter,33.35294117647059,29.46
21,JO Holder,NO Miller,27.333333333333332,25.490000000000002
22,JO Holder,JE Taylor,27.941176470588236,22.14
23,KOK Williams,JO Holder,29.166666666666668,21.990000000000002
24,R Rampaul,JO Holder,21.0,20.32
25,KAJ Roach,JO Holder,27.94736842105263,23.0
26,JO Holder,SO Hetmyer,53.9375,50.32
27,JN Mohammed,JO Holder,47.7,43.769999999999996
28,JO Holder,ML Cummins,29.666666666666668,20.25
29,JO Holder,R Powell,50.125,40.96
30,ADS Fletcher,JO Holder,28.666666666666668,28.62
31,JO Holder,DJG Sammy,47.5,47.22
32,AD Russell,JO Holder,39.05882352941177,37.06
33,JO Holder,RA Reifer,34.5,22.32
34,CAK Walton,JO Holder,40.25,27.82
35,MN Samuels,JO Holder,56.14705882352941,51.87
36,JO Holder,KOA Powell,36.642857142857146,33.15
37,JO Holder,FA Allen,37.333333333333336,29.82
38,JO Holder,D Bishoo,25.52173913043478,24.740000000000002
39,JO Holder,C Hemraj,54.0,28.82
40,JO Holder,AR Nurse,32.25581395348837,30.0
41,JO Holder,LMP Simmons,54.666666666666664,47.65
42,JO Holder,O Thomas,21.666666666666668,20.54
43,CH Gayle,JO Holder,61.37837837837838,59.43
44,SS Cottrell,NO Miller,23.0,9.379999999999999
45,ST Gabriel,NO Miller,32.0,7.67
46,CAK Walton,NO Miller,20.0,15.67
47,MN Samuels,NO Miller,84.5,39.72
48,CH Gayle,NO Miller,80.0,47.28
49,JN Mohammed,KC Brathwaite,64.33333333333333,47.17
50,ML Cummins,KC Brathwaite,24.0,23.65
51,SJ Benn,KC Brathwaite,29.8,26.22
52,AS Joseph,KC Brathwaite,33.333333333333336,26.869999999999997
53,MN Samuels,KC Brathwaite,67.0,55.269999999999996
54,DM Bravo,KC Brathwaite,58.333333333333336,45.06
55,KC Brathwaite,SP Narine,36.333333333333336,28.45
56,D Ramdin,KC Brathwaite,54.666666666666664,43.79
57,J Blackwood,JE Taylor,10.0,8.82
58,KA Hope,JE Taylor,33.0,26.32
59,ADS Fletcher,JE Taylor,14.666666666666666,13.120000000000001
60,SW Ambris,JE Taylor,38.0,37.7
61,SJ Benn,JE Taylor,8.0,7.32
62,JE Taylor,E Lewis,67.33333333333333,36.97
63,DM Bravo,JE Taylor,28.625,26.16
64,D Bishoo,JE Taylor,9.5,9.24
65,DR Smith,JE Taylor,25.5,24.02
66,J Charles,JE Taylor,38.57142857142857,24.57
67,LMP Simmons,JE Taylor,35.0,32.15
68,KA Pollard,JE Taylor,31.0,23.96
69,CH Gayle,JE Taylor,47.30769230769231,43.93
70,KOK Williams,KA Hope,34.333333333333336,26.17
71,KOK Williams,SO Hetmyer,40.5,34.67
72,KOK Williams,ST Gabriel,16.0,4.17
73,KOK Williams,R Powell,44.166666666666664,25.310000000000002
74,KOK Williams,RR Beaton,19.0,10.67
75,R Rampaul,MN Samuels,88.0,34.55
76,R Rampaul,CR Brathwaite,19.0,15.42
77,R Rampaul,J Charles,45.0,22.75
78,N Pooran,SD Hope,88.34782608695652,84.92
79,N Pooran,SS Cottrell,47.1578947368421,43.230000000000004
80,N Pooran,ST Gabriel,69.66666666666667,41.52
81,N Pooran,K Pierre,85.0,53.52
82,N Pooran,E Lewis,79.4,74.17
83,RL Chase,N Pooran,61.53846153846154,59.78
84,CR Brathwaite,N Pooran,58.7,54.440000000000005
85,N Pooran,FA Allen,71.0,51.52
86,N Pooran,O Thomas,43.90909090909091,42.24
87,CH Gayle,N Pooran,81.72727272727273,81.13
