,player-1,player-2,combined_avg,sum_of_individual
0,C Hemraj,OC McCoy,15.0,10.0
1,OC McCoy,SD Hope,95.0,44.4
2,OC McCoy,KOA Powell,21.0,14.33
3,AR Nurse,OC McCoy,40.0,11.18
4,OC McCoy,KAJ Roach,15.0,4.18
5,SO Hetmyer,OC McCoy,37.0,31.5
6,JO Holder,OC McCoy,32.0,18.82
7,D Bishoo,JE Taylor,9.5,9.24
8,J Charles,JE Taylor,38.57142857142857,24.57
9,ADS Fletcher,JE Taylor,14.666666666666666,13.120000000000001
10,KA Pollard,JE Taylor,31.0,23.96
11,SJ Benn,JE Taylor,8.0,7.32
12,LMP Simmons,JE Taylor,35.0,32.15
13,DM Bravo,JE Taylor,28.625,26.16
14,CH Gayle,JE Taylor,47.30769230769231,43.93
15,DR Smith,JE Taylor,25.5,24.02
16,JO Holder,JE Taylor,27.941176470588236,22.14
17,D Bishoo,C Hemraj,16.333333333333332,15.92
18,D Bishoo,JL Carter,33.5,24.200000000000003
19,D Bishoo,AS Joseph,18.875,10.57
20,D Bishoo,KOA Powell,22.181818181818183,20.25
21,D Bishoo,JN Mohammed,39.0,30.869999999999997
22,D Bishoo,AR Nurse,18.40909090909091,17.1
23,D Bishoo,KAJ Roach,12.5,10.1
24,D Bishoo,SO Hetmyer,43.84615384615385,37.42
25,D Bishoo,DM Bravo,29.142857142857142,28.759999999999998
26,D Bishoo,CH Gayle,76.9,46.53
27,D Bishoo,KA Hope,41.666666666666664,28.92
28,D Bishoo,JO Holder,25.52173913043478,24.740000000000002
29,D Bishoo,CAK Walton,17.333333333333332,14.92
30,C Hemraj,SD Hope,86.2,54.4
31,C Hemraj,KOA Powell,38.0,24.33
32,C Hemraj,AR Nurse,29.333333333333332,21.18
33,C Hemraj,KAJ Roach,20.0,14.18
34,C Hemraj,SO Hetmyer,44.0,41.5
35,KMA Paul,C Hemraj,25.0,21.61
36,JO Holder,C Hemraj,54.0,28.82
37,JL Carter,AS Joseph,28.333333333333332,22.93
38,R Powell,JL Carter,45.5,40.42
39,JL Carter,SD Hope,74.17647058823529,62.68
40,JL Carter,KOA Powell,37.0,32.61
41,JL Carter,MN Samuels,57.916666666666664,51.33
42,JL Carter,JN Mohammed,50.9,43.230000000000004
43,AR Nurse,JL Carter,33.35294117647059,29.46
44,JL Carter,ST Gabriel,20.46153846153846,19.28
45,KC Brathwaite,JL Carter,59.166666666666664,40.5
46,SJ Benn,JL Carter,31.857142857142858,22.28
47,JL Carter,SW Ambris,67.0,52.660000000000004
48,JL Carter,E Lewis,56.25,51.93
49,JL Carter,LR Johnson,27.0,24.61
50,JO Holder,JL Carter,39.642857142857146,37.1
51,JD Campbell,JL Carter,179.0,67.88
52,CR Brathwaite,JL Carter,34.75,32.2
53,AS Joseph,SD Hope,52.541666666666664,49.05
54,AS Joseph,KOA Powell,26.0,18.98
55,AR Nurse,AS Joseph,21.833333333333332,15.83
56,AS Joseph,K Pierre,18.333333333333332,17.65
57,AS Joseph,ST Gabriel,9.4,5.65
58,KC Brathwaite,AS Joseph,33.333333333333336,26.869999999999997
59,SO Hetmyer,AS Joseph,45.5,36.15
