,player-1,player-2,player-3,combined_avg,sum_of_individual
0,SS Cottrell,DJG Sammy,N Deonarine,72.0,57.61
1,AD Russell,SS Cottrell,N Deonarine,69.0,47.445
2,MN Samuels,SS Cottrell,N Deonarine,95.0,62.261
3,CR Brathwaite,SS Cottrell,N Deonarine,46.0,43.129000000000005
4,D Ramdin,SS Cottrell,N Deonarine,85.0,50.775000000000006
5,DR Smith,SS Cottrell,N Deonarine,76.0,49.91
6,AD Russell,DJG Sammy,N Deonarine,94.0,73.13499999999999
7,MN Samuels,DJG Sammy,N Deonarine,120.0,87.951
8,CR Brathwaite,DJG Sammy,N Deonarine,71.0,68.819
9,D Ramdin,DJG Sammy,N Deonarine,110.0,76.465
10,DR Smith,DJG Sammy,N Deonarine,101.0,75.6
11,AD Russell,MN Samuels,N Deonarine,84.5,77.786
12,D Ramdin,AD Russell,N Deonarine,67.5,66.3
13,D Ramdin,MN Samuels,N Deonarine,85.5,81.116
14,DR Smith,MN Samuels,N Deonarine,82.5,80.251
15,JO Holder,KC Brathwaite,JL Carter,73.83333333333333,59.315
16,JO Holder,JE Taylor,JL Carter,52.0,40.409
17,JO Holder,SD Hope,JL Carter,93.11764705882354,81.496
18,JN Mohammed,JO Holder,JL Carter,72.22222222222223,62.048
19,JO Holder,ML Cummins,JL Carter,43.666666666666664,38.522
20,R Powell,JO Holder,JL Carter,65.5,59.236000000000004
21,SW Ambris,JO Holder,JL Carter,87.6,71.478
22,AD Russell,JO Holder,JL Carter,58.7,55.328
23,JO Holder,SJ Benn,JL Carter,58.285714285714285,41.093
24,E Lewis,JO Holder,JL Carter,74.5,70.744
25,AS Joseph,JO Holder,JL Carter,48.166666666666664,41.747
26,CAK Walton,JO Holder,JL Carter,54.666666666666664,46.093
27,MN Samuels,JO Holder,JL Carter,80.9090909090909,70.144
28,JO Holder,KOA Powell,JL Carter,53.666666666666664,51.426
29,CR Brathwaite,JO Holder,JL Carter,51.63636363636363,51.012
30,FA Allen,JO Holder,JL Carter,50.333333333333336,48.093
31,JO Holder,D Bishoo,JL Carter,53.625,43.016000000000005
32,JO Holder,AR Nurse,JL Carter,52.294117647058826,48.275000000000006
33,J Charles,JO Holder,JL Carter,58.5,58.343
34,CH Gayle,JO Holder,JL Carter,80.22222222222223,77.698
35,JN Mohammed,KC Brathwaite,JL Carter,110.0,65.453
36,ST Gabriel,KC Brathwaite,JL Carter,59.5,41.498000000000005
37,ML Cummins,KC Brathwaite,JL Carter,67.0,41.927
38,R Powell,KC Brathwaite,JL Carter,72.33333333333333,62.641000000000005
39,SJ Benn,KC Brathwaite,JL Carter,54.0,44.498000000000005
