,player-1,player-2,player-3,combined_avg,sum_of_individual
0,C Hemraj,OC McCoy,SD Hope,110.0,54.403
1,C Hemraj,OC McCoy,KOA Powell,36.0,24.333
2,C Hemraj,OC McCoy,AR Nurse,55.0,21.182000000000002
3,C Hemraj,OC McCoy,KAJ Roach,30.0,14.182
4,C Hemraj,SO Hetmyer,OC McCoy,52.0,41.5
5,JO Holder,C Hemraj,OC McCoy,47.0,28.817
6,R Powell,OC McCoy,SD Hope,99.0,66.54599999999999
7,R Powell,AR Nurse,OC McCoy,44.0,33.325
8,OC McCoy,SD Hope,KOA Powell,116.0,58.736
9,OC McCoy,SD Hope,MN Samuels,104.0,77.45400000000001
10,AR Nurse,OC McCoy,SD Hope,135.0,55.585
11,OC McCoy,SD Hope,KAJ Roach,110.0,48.585
12,SO Hetmyer,OC McCoy,SD Hope,132.0,75.90299999999999
13,FA Allen,OC McCoy,SD Hope,100.0,55.403
14,JO Holder,OC McCoy,SD Hope,127.0,63.22
15,AR Nurse,OC McCoy,KOA Powell,61.0,25.515
16,OC McCoy,KOA Powell,KAJ Roach,36.0,18.515
17,SO Hetmyer,OC McCoy,KOA Powell,58.0,45.833
18,FA Allen,OC McCoy,KOA Powell,26.0,25.333
19,JO Holder,OC McCoy,KOA Powell,53.0,33.15
20,AR Nurse,OC McCoy,MN Samuels,49.0,44.233000000000004
21,AR Nurse,OC McCoy,KAJ Roach,55.0,15.364
22,AR Nurse,SO Hetmyer,OC McCoy,77.0,42.682
23,AR Nurse,OC McCoy,FA Allen,45.0,22.182000000000002
24,JO Holder,AR Nurse,OC McCoy,72.0,29.999000000000002
25,SO Hetmyer,OC McCoy,KAJ Roach,52.0,35.682
26,OC McCoy,FA Allen,KAJ Roach,20.0,15.182
27,JO Holder,OC McCoy,KAJ Roach,47.0,22.999000000000002
28,JO Holder,SO Hetmyer,OC McCoy,69.0,50.317
29,JO Holder,OC McCoy,FA Allen,37.0,29.817
30,D Bishoo,JO Holder,JE Taylor,47.0,28.056
31,JL Carter,JE Taylor,MN Samuels,55.111111111111114,54.643
32,JL Carter,JE Taylor,KAJ Roach,32.0,25.774
33,JL Carter,CH Gayle,JE Taylor,76.85714285714286,62.197
34,DR Smith,JL Carter,JE Taylor,44.833333333333336,42.292
35,JO Holder,JL Carter,JE Taylor,52.0,40.409000000000006
36,AS Joseph,JE Taylor,KA Hope,33.0,30.97
37,E Lewis,AS Joseph,JE Taylor,176.0,41.62100000000001
38,JO Holder,AS Joseph,JE Taylor,77.0,26.787
39,J Charles,JE Taylor,MN Samuels,69.85714285714286,57.617000000000004
40,J Charles,ADS Fletcher,JE Taylor,53.666666666666664,34.366
41,J Charles,KA Pollard,JE Taylor,68.5,45.202
42,J Charles,SJ Benn,JE Taylor,39.4,28.566
43,J Charles,DM Bravo,JE Taylor,69.0,47.410000000000004
44,J Charles,CH Gayle,JE Taylor,75.0,65.17099999999999
45,J Charles,SP Narine,JE Taylor,46.5,30.797
46,J Charles,JO Holder,JE Taylor,49.0,43.383
47,J Charles,CR Brathwaite,JE Taylor,52.333333333333336,38.485
48,R Powell,E Lewis,JE Taylor,87.0,59.11000000000001
49,JO Holder,R Powell,JE Taylor,71.0,44.276
50,ADS Fletcher,JE Taylor,MN Samuels,46.666666666666664,46.167
51,KA Pollard,JE Taylor,MN Samuels,62.75,57.003
52,LMP Simmons,JE Taylor,MN Samuels,71.83333333333333,65.2
53,DM Bravo,JE Taylor,MN Samuels,60.0,59.211
54,NO Miller,JE Taylor,MN Samuels,133.0,43.034000000000006
55,DR Smith,JE Taylor,MN Samuels,59.5,57.067
56,AR Nurse,JE Taylor,JN Mohammed,40.5,39.453
57,SW Ambris,JE Taylor,JN Mohammed,63.0,62.656
58,KA Hope,JE Taylor,JN Mohammed,58.0,51.271
59,E Lewis,JE Taylor,JN Mohammed,101.33333333333333,61.922000000000004
60,JO Holder,JE Taylor,JN Mohammed,85.33333333333333,47.087999999999994
61,AD Russell,JE Taylor,LMP Simmons,51.166666666666664,50.384
62,AD Russell,DM Bravo,JE Taylor,65.66666666666667,44.395
63,AD Russell,CH Gayle,JE Taylor,63.55555555555556,62.156
64,JO Holder,AD Russell,JE Taylor,44.3,40.368
65,LMP Simmons,DJG Sammy,JE Taylor,64.5,60.549
66,DJG Sammy,DM Bravo,JE Taylor,84.0,54.56
67,DJG Sammy,CH Gayle,JE Taylor,80.625,72.321
68,DR Smith,DJG Sammy,JE Taylor,54.0,52.416
69,JO Holder,DJG Sammy,JE Taylor,52.875,50.533
70,KA Pollard,ADS Fletcher,JE Taylor,46.75,33.752
71,SJ Benn,ADS Fletcher,JE Taylor,21.75,17.116
72,DM Bravo,ADS Fletcher,JE Taylor,41.0,35.96000000000001
73,JO Holder,JE Taylor,KAJ Roach,34.0,26.314999999999998
74,KA Pollard,SJ Benn,JE Taylor,31.75,27.951999999999998
75,KA Pollard,DM Bravo,JE Taylor,55.75,46.79600000000001
76,KA Pollard,D Ramdin,JE Taylor,46.5,45.517
77,KA Pollard,SP Narine,JE Taylor,36.75,30.182999999999996
78,KA Pollard,CR Brathwaite,JE Taylor,39.0,37.871
79,SJ Benn,DM Bravo,JE Taylor,34.4,30.16
80,SJ Benn,DR Smith,JE Taylor,37.6,28.016
81,SJ Benn,D Ramdin,JE Taylor,30.5,28.881
82,LMP Simmons,DM Bravo,JE Taylor,100.5,54.993
83,LMP Simmons,CH Gayle,JE Taylor,91.66666666666667,72.75399999999999
84,DR Smith,LMP Simmons,JE Taylor,53.0,52.849000000000004
85,JO Holder,LMP Simmons,JE Taylor,60.833333333333336,50.966
86,SP Narine,DM Bravo,JE Taylor,33.833333333333336,32.391000000000005
87,NO Miller,CH Gayle,JE Taylor,215.0,50.588
88,DR Smith,CH Gayle,JE Taylor,68.0,64.621
89,D Ramdin,CH Gayle,JE Taylor,67.11111111111111,65.486
90,E Lewis,CH Gayle,JE Taylor,111.66666666666667,77.572
91,JO Holder,CH Gayle,JE Taylor,76.83333333333333,62.738
92,DR Smith,D Ramdin,JE Taylor,46.0,45.581
93,JO Holder,DR Smith,JE Taylor,44.625,42.833
94,LR Johnson,D Ramdin,JE Taylor,45.5,31.214000000000002
95,D Bishoo,C Hemraj,SD Hope,111.66666666666667,60.326
96,D Bishoo,C Hemraj,AR Nurse,33.0,27.105
97,D Bishoo,C Hemraj,KAJ Roach,26.0,20.105
98,D Bishoo,C Hemraj,SO Hetmyer,56.333333333333336,47.423
99,D Bishoo,JL Carter,AS Joseph,37.0,28.852999999999998
100,D Bishoo,R Powell,JL Carter,49.0,46.342
101,D Bishoo,JL Carter,KOA Powell,48.0,38.532
102,D Bishoo,JL Carter,JN Mohammed,72.57142857142857,49.153999999999996
103,D Bishoo,AR Nurse,JL Carter,51.875,35.381
104,D Bishoo,JL Carter,ST Gabriel,31.4,25.198999999999998
105,D Bishoo,KC Brathwaite,JL Carter,71.75,46.42100000000001
106,D Bishoo,JO Holder,JL Carter,53.625,43.016000000000005
107,D Bishoo,JL Carter,CR Brathwaite,61.0,38.117999999999995
108,D Bishoo,R Powell,AS Joseph,41.25,32.72
109,D Bishoo,AS Joseph,KOA Powell,35.25,24.91
110,D Bishoo,AS Joseph,JN Mohammed,38.875,35.532
111,D Bishoo,AR Nurse,AS Joseph,33.5,21.759
112,D Bishoo,KOK Williams,AS Joseph,15.5,13.744
113,D Bishoo,AS Joseph,ST Gabriel,15.5,11.577
114,D Bishoo,KC Brathwaite,AS Joseph,37.0,32.79900000000001
