,player-1,player-2,avg
0,KOK Williams,SP Narine,0.0
1,KOK Williams,SS Cottrell,0.0
2,KOK Williams,JL Carter,0.0
3,LR Johnson,KOK Williams,0.0
4,DM Bravo,KOK Williams,0.0
5,KOK Williams,ST Gabriel,16.0
6,KOK Williams,ADS Fletcher,0.0
7,KOK Williams,R Powell,44.166666666666664
8,N Deonarine,KOK Williams,0.0
9,KOK Williams,KA Hope,34.333333333333336
10,KOK Williams,HR Walsh,0.0
11,KOK Williams,SW Ambris,0.0
12,KOK Williams,J Charles,0.0
13,KOK Williams,DJG Sammy,0.0
14,AR Nurse,KOK Williams,7.0
15,KOK Williams,AD Russell,0.0
16,KOK Williams,RR Beaton,19.0
17,KOK Williams,RA Reifer,0.0
18,KOK Williams,D Ramdin,0.0
19,KOK Williams,C Hemraj,0.0
20,KOK Williams,ML Cummins,2.0
21,KOK Williams,CAK Walton,0.0
22,KOK Williams,BA King,0.0
23,KOK Williams,OC McCoy,0.0
24,KOK Williams,E Lewis,26.833333333333332
25,KOK Williams,RL Chase,9.666666666666666
26,KOK Williams,V Permaul,0.0
27,KOK Williams,D Bishoo,8.25
28,R Shepherd,KOK Williams,0.0
29,KOK Williams,JD Campbell,0.0
30,KC Brathwaite,KOK Williams,0.0
31,SD Hope,KOK Williams,26.833333333333332
32,KOK Williams,NO Miller,0.0
33,KOK Williams,CH Gayle,29.666666666666668
34,KOK Williams,CR Brathwaite,11.0
35,KOK Williams,KA Pollard,0.0
36,KOK Williams,FA Allen,0.0
37,KOK Williams,R Rampaul,0.0
38,KOK Williams,LMP Simmons,0.0
39,KOK Williams,KOA Powell,0.0
40,KOK Williams,JO Holder,29.166666666666668
41,KOK Williams,SO Dowrich,0.0
42,KOK Williams,JE Taylor,2.0
43,KOK Williams,DR Smith,0.0
44,KOK Williams,SO Hetmyer,40.5
45,KOK Williams,KAJ Roach,0.0
46,KOK Williams,KMA Paul,0.0
47,SJ Benn,KOK Williams,0.0
48,KOK Williams,MN Samuels,9.5
49,KOK Williams,JN Mohammed,24.4
50,KOK Williams,K Pierre,0.0
51,KOK Williams,AS Joseph,5.0
52,J Blackwood,KOK Williams,0.0
53,KOK Williams,N Pooran,0.0
54,KOK Williams,O Thomas,0.0
55,SP Narine,SS Cottrell,0.0
56,SP Narine,JL Carter,9.333333333333334
57,LR Johnson,SP Narine,0.0
58,DM Bravo,SP Narine,35.07692307692308
59,SP Narine,ST Gabriel,10.8
60,ADS Fletcher,SP Narine,15.5
61,SP Narine,R Powell,0.0
62,N Deonarine,SP Narine,0.0
63,SP Narine,KA Hope,0.0
64,HR Walsh,SP Narine,0.0
65,SP Narine,SW Ambris,0.0
66,SP Narine,J Charles,32.5
67,SP Narine,DJG Sammy,0.0
68,AR Nurse,SP Narine,0.0
69,AD Russell,SP Narine,41.0
70,RR Beaton,SP Narine,0.0
71,RA Reifer,SP Narine,0.0
72,SP Narine,D Ramdin,30.833333333333332
73,SP Narine,C Hemraj,0.0
74,SP Narine,ML Cummins,0.0
75,SP Narine,CAK Walton,0.0
76,SP Narine,BA King,0.0
77,SP Narine,OC McCoy,0.0
78,E Lewis,SP Narine,22.0
79,SP Narine,RL Chase,0.0
80,SP Narine,V Permaul,0.0
81,SP Narine,D Bishoo,0.0
82,R Shepherd,SP Narine,0.0
83,SP Narine,JD Campbell,0.0
84,KC Brathwaite,SP Narine,36.333333333333336
85,SD Hope,SP Narine,0.0
86,SP Narine,NO Miller,0.0
87,SP Narine,CH Gayle,0.0
88,SP Narine,CR Brathwaite,20.0
89,SP Narine,KA Pollard,31.9
90,SP Narine,FA Allen,0.0
91,SP Narine,R Rampaul,6.0
92,SP Narine,LMP Simmons,0.0
93,SP Narine,KOA Powell,0.0
94,JO Holder,SP Narine,22.416666666666668
95,SO Dowrich,SP Narine,0.0
96,JE Taylor,SP Narine,7.5
97,SP Narine,DR Smith,0.0
98,SP Narine,SO Hetmyer,0.0
99,SP Narine,KAJ Roach,0.0
100,SP Narine,KMA Paul,0.0
101,SJ Benn,SP Narine,9.8
102,MN Samuels,SP Narine,48.46153846153846
103,JN Mohammed,SP Narine,4.0
104,SP Narine,K Pierre,0.0
105,SP Narine,AS Joseph,1.5
106,J Blackwood,SP Narine,10.0
107,N Pooran,SP Narine,0.0
108,SP Narine,O Thomas,0.0
109,SS Cottrell,JL Carter,12.833333333333334
110,LR Johnson,SS Cottrell,19.0
111,DM Bravo,SS Cottrell,18.416666666666668
112,SS Cottrell,ST Gabriel,4.625
113,ADS Fletcher,SS Cottrell,0.0
114,SS Cottrell,R Powell,32.0
115,N Deonarine,SS Cottrell,45.0
116,SS Cottrell,KA Hope,8.0
117,HR Walsh,SS Cottrell,11.428571428571429
118,SW Ambris,SS Cottrell,36.4
119,SS Cottrell,J Charles,0.0
120,DJG Sammy,SS Cottrell,40.5
121,AR Nurse,SS Cottrell,13.923076923076923
122,AD Russell,SS Cottrell,21.333333333333332
123,RR Beaton,SS Cottrell,20.0
124,RA Reifer,SS Cottrell,15.0
125,SS Cottrell,D Ramdin,23.0
126,C Hemraj,SS Cottrell,0.0
127,ML Cummins,SS Cottrell,0.0
128,SS Cottrell,CAK Walton,3.0
129,SS Cottrell,BA King,13.5
130,SS Cottrell,OC McCoy,0.0
131,E Lewis,SS Cottrell,34.642857142857146
132,SS Cottrell,RL Chase,27.785714285714285
133,SS Cottrell,V Permaul,0.0
134,SS Cottrell,D Bishoo,0.0
135,R Shepherd,SS Cottrell,7.0
136,SS Cottrell,JD Campbell,54.5
137,KC Brathwaite,SS Cottrell,0.0
138,SD Hope,SS Cottrell,52.206896551724135
139,SS Cottrell,NO Miller,23.0
140,SS Cottrell,CH Gayle,42.8125
141,SS Cottrell,CR Brathwaite,21.692307692307693
142,SS Cottrell,KA Pollard,18.3
143,SS Cottrell,FA Allen,19.714285714285715
144,SS Cottrell,R Rampaul,0.0
145,SS Cottrell,LMP Simmons,0.0
146,SS Cottrell,KOA Powell,4.0
147,JO Holder,SS Cottrell,17.724137931034484
148,SO Dowrich,SS Cottrell,10.0
149,JE Taylor,SS Cottrell,0.0
150,SS Cottrell,DR Smith,17.0
151,SO Hetmyer,SS Cottrell,34.476190476190474
152,SS Cottrell,KAJ Roach,10.75
153,SS Cottrell,KMA Paul,14.142857142857142
154,SJ Benn,SS Cottrell,0.0
155,MN Samuels,SS Cottrell,60.5
156,JN Mohammed,SS Cottrell,15.0
157,SS Cottrell,K Pierre,15.333333333333334
158,SS Cottrell,AS Joseph,2.5
159,J Blackwood,SS Cottrell,0.0
160,N Pooran,SS Cottrell,47.1578947368421
161,SS Cottrell,O Thomas,5.25
162,LR Johnson,JL Carter,27.0
163,DM Bravo,JL Carter,21.875
164,ST Gabriel,JL Carter,20.46153846153846
165,ADS Fletcher,JL Carter,9.333333333333334
166,R Powell,JL Carter,45.5
167,N Deonarine,JL Carter,35.5
168,KA Hope,JL Carter,0.0
169,HR Walsh,JL Carter,0.0
170,SW Ambris,JL Carter,67.0
171,J Charles,JL Carter,39.0
172,DJG Sammy,JL Carter,36.25
173,AR Nurse,JL Carter,33.35294117647059
174,AD Russell,JL Carter,34.3
175,RR Beaton,JL Carter,0.0
176,RA Reifer,JL Carter,5.0
177,D Ramdin,JL Carter,29.545454545454547
178,C Hemraj,JL Carter,0.0
179,ML Cummins,JL Carter,26.666666666666668
180,CAK Walton,JL Carter,24.333333333333332
181,BA King,JL Carter,0.0
182,OC McCoy,JL Carter,0.0
183,E Lewis,JL Carter,56.25
184,RL Chase,JL Carter,31.125
185,V Permaul,JL Carter,19.0
186,D Bishoo,JL Carter,33.5
187,R Shepherd,JL Carter,0.0
188,JD Campbell,JL Carter,179.0
189,KC Brathwaite,JL Carter,59.166666666666664
190,SD Hope,JL Carter,74.17647058823529
191,NO Miller,JL Carter,0.0
192,CH Gayle,JL Carter,57.111111111111114
193,CR Brathwaite,JL Carter,34.75
194,KA Pollard,JL Carter,0.0
195,FA Allen,JL Carter,17.666666666666668
196,R Rampaul,JL Carter,7.0
197,LMP Simmons,JL Carter,21.0
198,KOA Powell,JL Carter,37.0
199,JO Holder,JL Carter,39.642857142857146
200,SO Dowrich,JL Carter,17.0
201,JE Taylor,JL Carter,21.22222222222222
202,DR Smith,JL Carter,34.625
203,SO Hetmyer,JL Carter,0.0
204,KAJ Roach,JL Carter,13.666666666666666
205,KMA Paul,JL Carter,0.0
206,SJ Benn,JL Carter,31.857142857142858
207,MN Samuels,JL Carter,57.916666666666664
208,JN Mohammed,JL Carter,50.9
209,K Pierre,JL Carter,0.0
210,AS Joseph,JL Carter,28.333333333333332
211,J Blackwood,JL Carter,11.0
212,N Pooran,JL Carter,0.0
213,O Thomas,JL Carter,0.0
214,LR Johnson,DM Bravo,0.0
215,LR Johnson,ST Gabriel,0.0
216,LR Johnson,ADS Fletcher,0.0
217,LR Johnson,R Powell,0.0
218,LR Johnson,N Deonarine,0.0
219,LR Johnson,KA Hope,0.0
220,LR Johnson,HR Walsh,0.0
221,LR Johnson,SW Ambris,0.0
222,LR Johnson,J Charles,0.0
223,LR Johnson,DJG Sammy,33.0
224,LR Johnson,AR Nurse,0.0
225,LR Johnson,AD Russell,34.0
226,LR Johnson,RR Beaton,0.0
227,LR Johnson,RA Reifer,0.0
228,LR Johnson,D Ramdin,36.666666666666664
229,LR Johnson,C Hemraj,0.0
230,LR Johnson,ML Cummins,0.0
231,LR Johnson,CAK Walton,0.0
232,LR Johnson,BA King,0.0
233,LR Johnson,OC McCoy,0.0
234,LR Johnson,E Lewis,0.0
235,LR Johnson,RL Chase,0.0
236,LR Johnson,V Permaul,0.0
237,LR Johnson,D Bishoo,0.0
238,LR Johnson,R Shepherd,0.0
239,LR Johnson,JD Campbell,0.0
240,LR Johnson,KC Brathwaite,0.0
241,LR Johnson,SD Hope,0.0
242,LR Johnson,NO Miller,0.0
243,LR Johnson,CH Gayle,29.666666666666668
244,LR Johnson,CR Brathwaite,29.0
245,LR Johnson,KA Pollard,0.0
246,LR Johnson,FA Allen,0.0
247,LR Johnson,R Rampaul,0.0
