,player-1,player-2,player-3,avg
0,N Pooran,RL Chase,C Hemraj,0.0
1,N Pooran,RL Chase,JO Holder,73.3
2,N Pooran,RL Chase,O Thomas,52.5
3,N Pooran,RL Chase,JN Mohammed,0.0
4,N Pooran,RL Chase,MN Samuels,0.0
5,N Pooran,RL Chase,KA Pollard,79.72727272727273
6,N Pooran,RL Chase,SP Narine,0.0
7,N Pooran,RL Chase,NO Miller,0.0
8,N Pooran,RL Chase,KOK Williams,0.0
9,N Pooran,RL Chase,KOA Powell,0.0
10,N Pooran,RL Chase,CR Brathwaite,53.0
11,N Pooran,RL Chase,CH Gayle,86.5
12,N Pooran,RL Chase,AD Russell,0.0
13,N Pooran,RL Chase,LMP Simmons,0.0
14,N Pooran,RL Chase,SO Hetmyer,96.66666666666667
15,N Pooran,RL Chase,V Permaul,0.0
16,N Pooran,RL Chase,J Charles,0.0
17,N Pooran,RL Chase,N Deonarine,0.0
18,N Pooran,RL Chase,RA Reifer,0.0
19,N Pooran,RL Chase,JE Taylor,0.0
20,N Pooran,RL Chase,SS Cottrell,68.0
21,N Pooran,RL Chase,SW Ambris,64.4
22,N Pooran,RL Chase,D Ramdin,0.0
23,N Pooran,RL Chase,JL Carter,0.0
24,N Pooran,RL Chase,LR Johnson,0.0
25,N Pooran,RL Chase,ADS Fletcher,0.0
26,N Pooran,RL Chase,R Shepherd,73.25
27,N Pooran,RL Chase,DJG Sammy,0.0
28,N Pooran,RL Chase,SO Dowrich,0.0
29,N Pooran,RL Chase,ML Cummins,0.0
30,N Pooran,RL Chase,R Powell,0.0
31,N Pooran,RL Chase,SD Hope,118.23076923076923
32,N Pooran,RL Chase,J Blackwood,0.0
33,N Pooran,RL Chase,KMA Paul,70.75
34,N Pooran,RL Chase,BA King,80.33333333333333
35,N Pooran,RL Chase,DR Smith,0.0
36,N Pooran,RL Chase,SJ Benn,0.0
37,N Pooran,RL Chase,KC Brathwaite,0.0
38,N Pooran,RL Chase,AR Nurse,0.0
39,N Pooran,RL Chase,OC McCoy,0.0
40,N Pooran,RL Chase,D Bishoo,0.0
41,N Pooran,RL Chase,CAK Walton,0.0
42,N Pooran,RL Chase,K Pierre,113.5
43,N Pooran,RL Chase,HR Walsh,59.875
44,N Pooran,RL Chase,RR Beaton,0.0
45,N Pooran,RL Chase,FA Allen,63.666666666666664
46,N Pooran,RL Chase,ST Gabriel,0.0
47,N Pooran,RL Chase,AS Joseph,64.63636363636364
48,N Pooran,RL Chase,JD Campbell,0.0
49,N Pooran,RL Chase,R Rampaul,0.0
50,N Pooran,RL Chase,DM Bravo,72.0
51,N Pooran,RL Chase,KAJ Roach,45.0
52,N Pooran,RL Chase,KA Hope,0.0
53,N Pooran,RL Chase,E Lewis,115.55555555555556
54,N Pooran,C Hemraj,JO Holder,0.0
55,N Pooran,C Hemraj,O Thomas,0.0
56,N Pooran,C Hemraj,JN Mohammed,0.0
57,N Pooran,C Hemraj,MN Samuels,0.0
58,N Pooran,C Hemraj,KA Pollard,0.0
59,N Pooran,C Hemraj,SP Narine,0.0
60,N Pooran,C Hemraj,NO Miller,0.0
61,N Pooran,C Hemraj,KOK Williams,0.0
62,N Pooran,KOA Powell,C Hemraj,0.0
63,N Pooran,C Hemraj,CR Brathwaite,0.0
64,N Pooran,C Hemraj,CH Gayle,0.0
65,N Pooran,C Hemraj,AD Russell,0.0
66,N Pooran,C Hemraj,LMP Simmons,0.0
67,N Pooran,C Hemraj,SO Hetmyer,0.0
