,player-1,player-2,combined_avg,sum_of_individual
0,KOK Williams,ST Gabriel,16.0,4.17
1,KOK Williams,R Powell,44.16666666666666,25.310000000000002
2,KOK Williams,KA Hope,34.333333333333336,26.17
3,KOK Williams,RR Beaton,19.0,10.67
4,KOK Williams,JO Holder,29.16666666666667,21.990000000000002
5,KOK Williams,SO Hetmyer,40.5,34.67
6,DM Bravo,SP Narine,35.07692307692308,29.07
7,SP Narine,ST Gabriel,10.8,7.23
8,SP Narine,J Charles,32.5,27.48
9,AD Russell,SP Narine,41.0,24.47
10,SP Narine,D Ramdin,30.83333333333333,27.8
11,KC Brathwaite,SP Narine,36.333333333333336,28.45
12,SP Narine,KA Pollard,31.9,26.87
13,MN Samuels,SP Narine,48.46153846153846,39.28
14,LR Johnson,SS Cottrell,19.0,9.04
15,SS Cottrell,ST Gabriel,4.625,3.71
16,SS Cottrell,R Powell,32.0,24.85
17,N Deonarine,SS Cottrell,45.0,29.21
18,HR Walsh,SS Cottrell,11.428571428571427,10.71
19,DJG Sammy,SS Cottrell,40.5,31.11
20,AR Nurse,SS Cottrell,13.923076923076925,13.89
21,AD Russell,SS Cottrell,21.33333333333333,20.95
22,RR Beaton,SS Cottrell,20.0,10.21
23,RA Reifer,SS Cottrell,15.0,6.21
24,SS Cottrell,RL Chase,27.785714285714285,21.970000000000002
25,R Shepherd,SS Cottrell,7.0,5.71
26,SS Cottrell,JD Campbell,54.5,52.31
27,SD Hope,SS Cottrell,52.206896551724135,47.11
28,SS Cottrell,NO Miller,23.0,9.379999999999999
29,SS Cottrell,CR Brathwaite,21.69230769230769,16.63
30,SS Cottrell,FA Allen,19.714285714285715,13.71
31,SO Dowrich,SS Cottrell,10.0,8.71
32,SO Hetmyer,SS Cottrell,34.476190476190474,34.21
33,SS Cottrell,KAJ Roach,10.75,6.89
34,MN Samuels,SS Cottrell,60.5,35.76
35,N Pooran,SS Cottrell,47.157894736842096,43.230000000000004
36,SS Cottrell,O Thomas,5.25,4.43
37,LR Johnson,JL Carter,27.0,24.61
38,ST Gabriel,JL Carter,20.46153846153846,19.28
39,R Powell,JL Carter,45.5,40.42
40,SW Ambris,JL Carter,67.0,52.660000000000004
41,AR Nurse,JL Carter,33.35294117647059,29.46
42,ML Cummins,JL Carter,26.66666666666667,19.71
43,E Lewis,JL Carter,56.25,51.93
44,D Bishoo,JL Carter,33.5,24.200000000000003
45,JD Campbell,JL Carter,179.0,67.88
46,KC Brathwaite,JL Carter,59.16666666666666,40.5
47,SD Hope,JL Carter,74.17647058823529,62.68
48,CR Brathwaite,JL Carter,34.75,32.2
49,KOA Powell,JL Carter,37.0,32.61
50,JO Holder,JL Carter,39.642857142857146,37.1
51,SJ Benn,JL Carter,31.857142857142854,22.28
52,MN Samuels,JL Carter,57.91666666666666,51.33
53,JN Mohammed,JL Carter,50.9,43.230000000000004
54,AS Joseph,JL Carter,28.33333333333333,22.93
55,LR Johnson,AD Russell,34.0,24.57
56,LR Johnson,D Ramdin,36.66666666666666,27.9
57,LR Johnson,CR Brathwaite,29.0,20.25
58,LR Johnson,DR Smith,37.333333333333336,27.03
59,LR Johnson,MN Samuels,46.33333333333334,39.379999999999995
60,DM Bravo,ADS Fletcher,38.3,32.64
61,DM Bravo,HR Walsh,34.5,30.84
62,DM Bravo,J Charles,55.58333333333334,44.09
63,DM Bravo,DJG Sammy,84.0,51.239999999999995
64,DM Bravo,AD Russell,43.2,41.08
65,DM Bravo,D Ramdin,53.14285714285714,44.41
66,DM Bravo,E Lewis,64.0,56.489999999999995
67,DM Bravo,D Bishoo,29.142857142857146,28.759999999999998
68,DM Bravo,JD Campbell,78.0,72.44
69,DM Bravo,KC Brathwaite,58.33333333333334,45.06
70,DM Bravo,SD Hope,90.23529411764706,67.24
71,DM Bravo,CH Gayle,89.375,63.45
72,DM Bravo,CR Brathwaite,42.117647058823536,36.76
73,DM Bravo,KA Pollard,52.30769230769231,43.480000000000004
74,DM Bravo,LMP Simmons,100.5,51.67
75,DM Bravo,JE Taylor,28.625,26.16
76,DM Bravo,DR Smith,45.0,43.54
77,DM Bravo,KMA Paul,46.0,34.45
78,DM Bravo,SJ Benn,35.18181818181818,26.84
79,DM Bravo,MN Samuels,64.33333333333333,55.89
80,DM Bravo,AS Joseph,28.6,27.490000000000002
81,DM Bravo,O Thomas,27.75,24.56
82,R Powell,ST Gabriel,25.5,23.14
83,SW Ambris,ST Gabriel,52.6,35.38
84,AR Nurse,ST Gabriel,12.8125,12.18
85,D Ramdin,ST Gabriel,37.2,22.57
86,ML Cummins,ST Gabriel,7.0,2.4299999999999997
87,CAK Walton,ST Gabriel,12.0,10.0
88,E Lewis,ST Gabriel,37.0,34.65
89,JD Campbell,ST Gabriel,179.0,50.6
90,NO Miller,ST Gabriel,32.0,7.67
91,CR Brathwaite,ST Gabriel,16.8,14.92
92,KA Pollard,ST Gabriel,25.6,21.64
93,FA Allen,ST Gabriel,18.0,12.0
94,KOA Powell,ST Gabriel,17.428571428571427,15.33
95,SJ Benn,ST Gabriel,6.7142857142857135,5.0
96,MN Samuels,ST Gabriel,39.2,34.05
97,JN Mohammed,ST Gabriel,32.5,25.95
98,AS Joseph,ST Gabriel,9.4,5.65
99,N Pooran,ST Gabriel,69.66666666666667,41.52
100,O Thomas,ST Gabriel,3.333333333333333,2.7199999999999998
101,ADS Fletcher,J Charles,38.5,31.05
102,AD Russell,ADS Fletcher,44.0,28.04
103,ADS Fletcher,D Ramdin,34.22222222222222,31.37
104,ADS Fletcher,KA Pollard,42.0,30.44
105,JO Holder,ADS Fletcher,28.66666666666667,28.62
106,ADS Fletcher,JE Taylor,14.666666666666664,13.120000000000001
107,SJ Benn,ADS Fletcher,14.142857142857142,13.8
108,ADS Fletcher,MN Samuels,53.1,42.849999999999994
109,RR Beaton,R Powell,37.0,29.64
110,E Lewis,R Powell,66.15789473684211,55.79
111,CR Brathwaite,R Powell,45.0,36.06
112,JO Holder,R Powell,50.125,40.96
113,SO Hetmyer,R Powell,57.75,53.64
114,KAJ Roach,R Powell,27.9,26.32
115,SJ Benn,R Powell,36.0,26.14
116,N Deonarine,DJG Sammy,70.0,54.9
117,N Deonarine,AD Russell,46.5,44.739999999999995
118,N Deonarine,MN Samuels,64.5,59.55
119,SW Ambris,KA Hope,71.0,57.38
120,AR Nurse,KA Hope,34.5,34.18
121,ML Cummins,KA Hope,26.5,24.43
122,KA Hope,D Bishoo,41.66666666666666,28.92
123,JE Taylor,KA Hope,33.0,26.32
124,MN Samuels,KA Hope,65.0,56.05
