,player-1,player-2,player-3,combined_avg,sum_of_individual
0,N Pooran,RL Chase,SO Hetmyer,96.66666666666669,91.28
1,N Pooran,RL Chase,SS Cottrell,68.0,62.49
2,N Pooran,RL Chase,R Shepherd,73.25,62.78
3,N Pooran,RL Chase,SD Hope,118.23076923076924,104.18
4,N Pooran,RL Chase,K Pierre,113.5,72.78
5,N Pooran,RL Chase,AS Joseph,64.63636363636364,64.43
6,N Pooran,RL Chase,E Lewis,115.55555555555556,93.43
7,N Pooran,JO Holder,O Thomas,63.9,61.06
8,N Pooran,CR Brathwaite,JO Holder,76.7,73.26
9,N Pooran,JO Holder,CH Gayle,101.0909090909091,99.95
10,N Pooran,JO Holder,SO Hetmyer,92.75,90.84
11,N Pooran,JO Holder,SD Hope,105.73684210526315,103.74000000000001
12,N Pooran,JO Holder,K Pierre,101.5,72.34
13,N Pooran,JO Holder,FA Allen,88.0,70.34
14,N Pooran,JO Holder,ST Gabriel,92.33333333333331,60.34
15,N Pooran,JO Holder,E Lewis,94.63636363636364,92.99000000000001
16,N Pooran,CR Brathwaite,O Thomas,62.88888888888889,56.160000000000004
17,N Pooran,SS Cottrell,O Thomas,52.444444444444436,44.95
18,N Pooran,SW Ambris,O Thomas,79.33333333333333,76.62
19,N Pooran,BA King,O Thomas,81.0,66.49000000000001
20,N Pooran,O Thomas,FA Allen,87.33333333333331,53.24
21,N Pooran,ST Gabriel,O Thomas,72.0,43.24
22,N Pooran,E Lewis,O Thomas,82.28571428571429,75.89
23,N Pooran,SD Hope,KA Pollard,119.41666666666669,105.56
24,N Pooran,K Pierre,KA Pollard,123.0,74.16
25,N Pooran,KA Pollard,FA Allen,92.0,72.16
26,N Pooran,E Lewis,KA Pollard,105.25,94.81
27,N Pooran,CR Brathwaite,CH Gayle,104.7,95.05000000000001
28,N Pooran,CR Brathwaite,SS Cottrell,73.5,57.150000000000006
29,N Pooran,CR Brathwaite,SW Ambris,95.5,88.82000000000001
30,N Pooran,CR Brathwaite,FA Allen,82.5,65.44
31,N Pooran,CR Brathwaite,ST Gabriel,103.0,55.440000000000005
32,N Pooran,CR Brathwaite,KAJ Roach,63.8,58.620000000000005
33,N Pooran,CR Brathwaite,E Lewis,94.0,88.09
34,N Pooran,KMA Paul,CH Gayle,102.0,92.74000000000001
35,N Pooran,AR Nurse,CH Gayle,103.25,92.31
36,N Pooran,D Bishoo,CH Gayle,144.0,87.05000000000001
37,N Pooran,CH Gayle,FA Allen,102.75,92.13
38,N Pooran,ST Gabriel,CH Gayle,93.33333333333331,82.13
39,N Pooran,CH Gayle,JD Campbell,165.0,130.73
40,N Pooran,SS Cottrell,SO Hetmyer,81.8125,74.73
41,N Pooran,SW Ambris,SO Hetmyer,135.33333333333334,106.4
42,N Pooran,KMA Paul,SO Hetmyer,86.66666666666669,83.63
43,N Pooran,SO Hetmyer,K Pierre,100.66666666666669,85.02000000000001
44,N Pooran,SO Hetmyer,FA Allen,100.5,83.02000000000001
45,N Pooran,SO Hetmyer,ST Gabriel,109.0,73.02000000000001
46,N Pooran,SS Cottrell,R Shepherd,49.33333333333334,46.230000000000004
47,N Pooran,SS Cottrell,SD Hope,94.36842105263158,87.63
48,N Pooran,SS Cottrell,KMA Paul,58.5,54.84
49,N Pooran,SS Cottrell,K Pierre,87.33333333333331,56.230000000000004
50,N Pooran,SS Cottrell,FA Allen,81.6,54.230000000000004
51,N Pooran,SS Cottrell,ST Gabriel,72.0,44.230000000000004
52,N Pooran,SS Cottrell,KAJ Roach,49.75,47.410000000000004
53,N Pooran,SS Cottrell,E Lewis,82.58333333333333,76.88
54,N Pooran,SW Ambris,FA Allen,111.25,85.9
55,N Pooran,SW Ambris,ST Gabriel,126.0,75.9
56,N Pooran,SW Ambris,E Lewis,151.0,108.55000000000001
57,N Pooran,SD Hope,R Shepherd,93.2,87.92
58,N Pooran,R Shepherd,K Pierre,78.0,56.52
59,N Pooran,KMA Paul,SD Hope,117.0,96.53
60,N Pooran,SD Hope,K Pierre,133.33333333333334,97.92
61,N Pooran,SD Hope,HR Walsh,103.55555555555556,92.92
62,N Pooran,SD Hope,FA Allen,110.0,95.92
63,N Pooran,SD Hope,ST Gabriel,107.0,85.92
64,N Pooran,SD Hope,AS Joseph,103.58333333333331,89.57000000000001
65,N Pooran,SD Hope,DM Bravo,113.66666666666669,107.76
66,N Pooran,SD Hope,E Lewis,124.4,118.57
67,N Pooran,KMA Paul,K Pierre,115.5,65.13
68,N Pooran,KMA Paul,DM Bravo,75.0,74.97
69,N Pooran,KMA Paul,E Lewis,94.4,85.78
70,N Pooran,E Lewis,BA King,109.75,98.42
71,N Pooran,K Pierre,HR Walsh,116.0,61.52
72,N Pooran,K Pierre,AS Joseph,90.33333333333331,58.17
73,N Pooran,K Pierre,E Lewis,104.33333333333331,87.17
74,N Pooran,HR Walsh,FA Allen,89.0,59.52
75,N Pooran,E Lewis,HR Walsh,88.0,82.17
76,N Pooran,ST Gabriel,FA Allen,172.0,52.52
77,N Pooran,AS Joseph,FA Allen,67.5,56.17
78,N Pooran,DM Bravo,FA Allen,79.5,74.36
79,N Pooran,E Lewis,FA Allen,97.5,85.17
80,N Pooran,ST Gabriel,E Lewis,80.0,75.17
81,N Pooran,E Lewis,AS Joseph,88.75,78.82000000000001
82,N Pooran,DM Bravo,E Lewis,114.0,97.00999999999999
83,RL Chase,C Hemraj,SD Hope,141.5,73.66
84,RL Chase,JO Holder,RA Reifer,44.0,41.58
85,RL Chase,SS Cottrell,JO Holder,41.230769230769226,40.790000000000006
86,RL Chase,SW Ambris,JO Holder,74.44444444444444,72.46000000000001
87,RL Chase,JO Holder,R Shepherd,59.0,41.08
88,RL Chase,JO Holder,SO Dowrich,61.0,44.08
89,RL Chase,JO Holder,SD Hope,96.38095238095238,82.47999999999999
90,RL Chase,JO Holder,JD Campbell,180.0,87.68
91,RL Chase,KOA Powell,O Thomas,42.0,35.31
92,RL Chase,SS Cottrell,O Thomas,35.0,23.69
93,RL Chase,KMA Paul,O Thomas,47.5,32.59
94,RL Chase,E Lewis,O Thomas,93.5,54.629999999999995
95,RL Chase,JN Mohammed,KA Hope,67.33333333333333,67.21000000000001
96,RL Chase,KOA Powell,MN Samuels,67.0,66.64
97,RL Chase,SD Hope,MN Samuels,138.66666666666666,96.71
98,RL Chase,SO Hetmyer,KA Pollard,77.14285714285714,71.4
99,RL Chase,R Shepherd,KA Pollard,47.25,42.900000000000006
100,RL Chase,SD Hope,KA Pollard,104.0,84.3
101,RL Chase,KMA Paul,KA Pollard,54.0,51.510000000000005
102,RL Chase,K Pierre,KA Pollard,68.5,52.900000000000006
103,RL Chase,KA Pollard,FA Allen,61.5,50.900000000000006
104,RL Chase,E Lewis,KA Pollard,90.14285714285714,73.55
105,RL Chase,KOA Powell,KMA Paul,78.0,45.2
106,RL Chase,KOA Powell,DM Bravo,61.0,56.43000000000001
107,RL Chase,KOA Powell,KAJ Roach,47.0,37.77
108,RL Chase,CR Brathwaite,E Lewis,71.0,66.83
109,RL Chase,KMA Paul,CH Gayle,72.0,71.48
110,RL Chase,CH Gayle,FA Allen,78.0,70.87
111,RL Chase,CH Gayle,E Lewis,104.5,93.52000000000001
112,RL Chase,SS Cottrell,SO Hetmyer,63.14285714285714,53.47
113,RL Chase,SW Ambris,SO Hetmyer,148.0,85.14
114,RL Chase,SO Hetmyer,R Shepherd,62.66666666666666,53.760000000000005
115,RL Chase,SD Hope,SO Hetmyer,112.58333333333331,95.16
116,RL Chase,SO Hetmyer,HR Walsh,70.4,58.760000000000005
117,RL Chase,SO Hetmyer,AS Joseph,61.714285714285715,55.410000000000004
118,RL Chase,SS Cottrell,RA Reifer,34.0,25.470000000000002
119,RL Chase,SW Ambris,RA Reifer,59.0,57.14
120,RL Chase,SD Hope,RA Reifer,93.5,67.16
121,RL Chase,SS Cottrell,SW Ambris,61.0,56.35000000000001
122,RL Chase,SS Cottrell,JL Carter,46.25,40.25
