,player-1,player-2,player-3,player-4,combined_avg,sum_of_individual
0,JE Taylor,ML Cummins,SW Ambris,SD Hope,110.0,83.53
1,JE Taylor,ML Cummins,SW Ambris,AR Nurse,69.0,50.31
2,JE Taylor,ML Cummins,KA Hope,SW Ambris,71.0,62.13
3,JE Taylor,ML Cummins,E Lewis,SD Hope,112.0,82.8
4,JE Taylor,ML Cummins,KA Hope,SD Hope,105.0,72.15
5,JE Taylor,ML Cummins,JO Holder,SD Hope,73.0,67.97
6,JE Taylor,ML Cummins,E Lewis,AR Nurse,97.0,49.58
7,JE Taylor,AS Joseph,ML Cummins,E Lewis,176.0,43.05
8,JE Taylor,ML Cummins,E Lewis,R Powell,114.5,60.54
9,JE Taylor,ML Cummins,E Lewis,JN Mohammed,138.5,63.349999999999994
10,JE Taylor,MN Samuels,ML Cummins,E Lewis,102.5,71.44999999999999
11,JE Taylor,ML Cummins,E Lewis,JO Holder,152.0,57.22
12,JE Taylor,ML Cummins,E Lewis,CH Gayle,144.5,79.00999999999999
13,JE Taylor,ML Cummins,AR Nurse,JN Mohammed,48.33333333333334,40.879999999999995
14,JE Taylor,ML Cummins,KA Hope,AR Nurse,64.0,38.93
15,JE Taylor,ML Cummins,JO Holder,AR Nurse,58.0,34.75
16,JE Taylor,ML Cummins,AR Nurse,CH Gayle,57.33333333333334,56.54
17,JE Taylor,ML Cummins,AS Joseph,JN Mohammed,35.5,34.35
18,JE Taylor,ML Cummins,AS Joseph,KA Hope,33.0,32.4
19,JE Taylor,ML Cummins,AS Joseph,JO Holder,77.0,28.22
20,JE Taylor,ML Cummins,JN Mohammed,R Powell,53.33333333333334,51.84
21,JE Taylor,ML Cummins,JO Holder,R Powell,75.5,45.71
22,JE Taylor,ML Cummins,D Bishoo,JN Mohammed,54.0,35.62
23,JE Taylor,ML Cummins,JO Holder,D Bishoo,50.0,29.490000000000002
24,JE Taylor,ML Cummins,D Bishoo,CH Gayle,110.0,51.28
25,JE Taylor,ML Cummins,KA Hope,JN Mohammed,58.0,52.7
26,JE Taylor,ML Cummins,JO Holder,JN Mohammed,99.5,48.519999999999996
27,JE Taylor,ML Cummins,CH Gayle,JN Mohammed,83.0,70.31
28,JE Taylor,MN Samuels,ML Cummins,KA Hope,65.0,60.8
29,JE Taylor,MN Samuels,ML Cummins,JO Holder,63.5,56.62
30,JE Taylor,ML Cummins,KA Hope,CH Gayle,73.0,68.36
31,JE Taylor,ML Cummins,JO Holder,CH Gayle,105.5,64.18
32,SD Hope,ML Cummins,SW Ambris,AR Nurse,141.0,91.39000000000001
33,SD Hope,ML Cummins,AS Joseph,SW Ambris,110.0,84.86
34,SD Hope,ML Cummins,SW Ambris,R Powell,121.0,102.35000000000001
35,SD Hope,ML Cummins,SW Ambris,JN Mohammed,135.0,105.16000000000001
36,SD Hope,MN Samuels,ML Cummins,SW Ambris,142.0,113.25999999999999
37,SD Hope,ML Cummins,KA Hope,SW Ambris,143.0,103.21000000000001
38,SD Hope,ML Cummins,SW Ambris,CH Gayle,150.0,120.82000000000001
39,ML Cummins,AS Joseph,SW Ambris,AR Nurse,69.0,51.64
40,ML Cummins,SW Ambris,AR Nurse,R Powell,80.0,69.13
41,ML Cummins,SW Ambris,AR Nurse,JN Mohammed,94.0,71.94
42,MN Samuels,ML Cummins,SW Ambris,AR Nurse,101.0,80.03999999999999
43,ML Cummins,KA Hope,SW Ambris,AR Nurse,102.0,69.99000000000001
44,ML Cummins,SW Ambris,AR Nurse,CH Gayle,109.0,87.6
45,ML Cummins,AS Joseph,SW Ambris,KA Hope,71.0,63.46
46,ML Cummins,KA Hope,SW Ambris,R Powell,82.0,80.95
47,MN Samuels,ML Cummins,SW Ambris,JN Mohammed,95.0,93.81
48,ML Cummins,KA Hope,SW Ambris,JN Mohammed,96.0,83.76
