Result,P1,P1_S,P2,P2_S,P3,P3_S,P4,P4_S,P5,P5_S,P6,P6_S,P7,P7_S,P8,P8_S,P9,P9_S,P10,P10_S,P11,P11_S
lost,DR Smith,29,CH Gayle,41,LR Johnson,0,MN Samuels,12,D Ramdin,31,JL Carter,17,DJG Sammy,4,AD Russell,19,JO Holder,2,JE Taylor,2,SJ Benn,0
lost,DR Smith,64,CH Gayle,19,LR Johnson,1,MN Samuels,40,D Ramdin,57,JL Carter,40,AD Russell,0,DJG Sammy,25,JO Holder,21,JE Taylor,0,SJ Benn,0
lost,DR Smith,5,CH Gayle,1,N Deonarine,10,MN Samuels,26,D Ramdin,2,JL Carter,18,AD Russell,16,CR Brathwaite,4,JO Holder,17,JE Taylor,0,SJ Benn,18
won,DR Smith,0,CH Gayle,10,LR Johnson,18,MN Samuels,68,D Ramdin,3,JL Carter,5,DJG Sammy,51,AD Russell,64,JO Holder,13,CR Brathwaite,11,SS Cottrell,1
lost,CH Gayle,0,N Deonarine,43,DR Smith,31,MN Samuels,50,D Ramdin,40,AD Russell,24,JL Carter,0,DJG Sammy,27,JO Holder,0,CR Brathwaite,1,SS Cottrell,2
lost,DR Smith,18,CH Gayle,36,DM Bravo,0,MN Samuels,21,D Ramdin,1,LMP Simmons,102,DJG Sammy,89,AD Russell,27,JO Holder,0,KAJ Roach,0,JE Taylor,0
won,DR Smith,23,CH Gayle,4,DM Bravo,49,MN Samuels,38,D Ramdin,51,LMP Simmons,50,DJG Sammy,30,AD Russell,42,JO Holder,0,JE Taylor,0,SJ Benn,0
won,DR Smith,0,CH Gayle,215,MN Samuels,133,JL Carter,0,D Ramdin,0,LMP Simmons,0,DJG Sammy,0,AD Russell,0,JO Holder,0,JE Taylor,0,NO Miller,0
lost,DR Smith,31,CH Gayle,3,MN Samuels,0,JL Carter,10,D Ramdin,22,LMP Simmons,0,DJG Sammy,5,AD Russell,0,JO Holder,56,JE Taylor,15,SJ Benn,1
lost,DR Smith,6,CH Gayle,21,MN Samuels,2,JL Carter,21,D Ramdin,0,LMP Simmons,9,DJG Sammy,26,AD Russell,8,JO Holder,57,JE Taylor,11,KAJ Roach,0
lost,CH Gayle,61,J Charles,3,LMP Simmons,12,MN Samuels,27,D Ramdin,0,JL Carter,32,DJG Sammy,27,AD Russell,20,JO Holder,42,JE Taylor,11,SJ Benn,9
lost,ADS Fletcher,3,J Charles,1,DM Bravo,38,MN Samuels,2,JL Carter,8,AD Russell,41,CR Brathwaite,9,JO Holder,36,D Ramdin,9,JE Taylor,0,SP Narine,0
lost,J Charles,83,ADS Fletcher,0,J Blackwood,9,DM Bravo,21,MN Samuels,63,JL Carter,5,JN Mohammed,4,CR Brathwaite,17,JE Taylor,1,SP Narine,0,R Rampaul,1
lost,J Charles,4,ADS Fletcher,6,J Blackwood,2,DM Bravo,4,MN Samuels,110,D Ramdin,4,JL Carter,6,JO Holder,19,CR Brathwaite,18,SP Narine,9,R Rampaul,2
won,J Charles,31,ADS Fletcher,11,DM Bravo,30,MN Samuels,1,D Ramdin,10,KA Pollard,67,CR Brathwaite,8,JO Holder,10,JE Taylor,0,SP Narine,0,SJ Benn,0
lost,J Charles,22,ADS Fletcher,4,DM Bravo,19,MN Samuels,10,D Ramdin,12,KA Pollard,0,CR Brathwaite,21,JO Holder,1,SJ Benn,3,SP Narine,5,JE Taylor,5
won,J Charles,48,ADS Fletcher,27,DM Bravo,39,MN Samuels,92,D Ramdin,29,KA Pollard,16,JO Holder,0,CR Brathwaite,3,SP Narine,0,SJ Benn,0,JE Taylor,0
lost,ADS Fletcher,21,J Charles,49,DM Bravo,11,MN Samuels,24,D Ramdin,11,KA Pollard,20,JO Holder,19,CR Brathwaite,0,SP Narine,18,SJ Benn,0,JE Taylor,16
lost,J Charles,0,ADS Fletcher,9,DM Bravo,15,MN Samuels,125,D Ramdin,91,KA Pollard,20,CR Brathwaite,7,JO Holder,1,SP Narine,1,SJ Benn,0,ST Gabriel,0
won,J Charles,4,ADS Fletcher,8,DM Bravo,102,MN Samuels,0,D Ramdin,4,KA Pollard,62,JO Holder,40,CR Brathwaite,33,SP Narine,1,SJ Benn,5,ST Gabriel,2
lost,ADS Fletcher,9,J Charles,45,DM Bravo,6,MN Samuels,6,D Ramdin,40,KA Pollard,20,JO Holder,34,CR Brathwaite,14,SP Narine,23,SJ Benn,2,ST Gabriel,1
lost,J Charles,20,KC Brathwaite,14,DM Bravo,12,MN Samuels,46,D Ramdin,8,KA Pollard,9,JO Holder,1,CR Brathwaite,15,SP Narine,23,SJ Benn,16,ST Gabriel,2
lost,J Charles,2,KC Brathwaite,39,DM Bravo,61,MN Samuels,57,D Ramdin,34,KA Pollard,22,CR Brathwaite,14,JO Holder,1,SP Narine,1,SJ Benn,0,AS Joseph,0
lost,KC Brathwaite,32,E Lewis,22,DM Bravo,17,MN Samuels,13,D Ramdin,37,KA Pollard,11,JO Holder,26,SP Narine,0,SJ Benn,0,AS Joseph,2,ST Gabriel,1
won,J Charles,2,KC Brathwaite,14,E Lewis,27,SD Hope,47,JL Carter,54,R Powell,44,CR Brathwaite,14,JO Holder,2,AR Nurse,5,SJ Benn,7,ST Gabriel,0
lost,J Charles,26,E Lewis,148,KC Brathwaite,16,SD Hope,25,JL Carter,6,R Powell,10,JO Holder,45,CR Brathwaite,19,AR Nurse,2,SJ Benn,11,ST Gabriel,0
lost,E Lewis,9,J Charles,0,KC Brathwaite,24,SD Hope,14,JL Carter,43,R Powell,6,JO Holder,22,CR Brathwaite,0,AR Nurse,0,D Bishoo,0,ML Cummins,0
lost,KC Brathwaite,14,E Lewis,21,KOA Powell,1,SD Hope,31,JN Mohammed,72,JL Carter,52,JO Holder,4,CR Brathwaite,12,AR Nurse,21,D Bishoo,12,ST Gabriel,0
lost,KC Brathwaite,42,E Lewis,8,KOA Powell,9,SD Hope,16,JN Mohammed,50,JL Carter,39,JO Holder,15,CR Brathwaite,23,AR Nurse,13,D Bishoo,0,ST Gabriel,1
lost,KOA Powell,6,E Lewis,0,KC Brathwaite,5,SD Hope,16,JN Mohammed,10,JL Carter,46,JO Holder,0,CR Brathwaite,7,AR Nurse,6,D Bishoo,10,AS Joseph,22
won,E Lewis,47,CAK Walton,7,KOA Powell,61,SD Hope,24,JN Mohammed,91,JL Carter,14,JO Holder,11,AR Nurse,34,D Bishoo,0,ST Gabriel,0,AS Joseph,0
lost,E Lewis,13,CAK Walton,10,SD Hope,15,KOA Powell,11,JL Carter,12,JN Mohammed,1,JO Holder,68,AR Nurse,44,D Bishoo,16,AS Joseph,15,ST Gabriel,0
lost,E Lewis,16,CAK Walton,19,KOA Powell,23,SD Hope,71,JN Mohammed,59,JL Carter,11,JO Holder,12,AR Nurse,10,V Permaul,8,D Bishoo,0,ST Gabriel,0
lost,E Lewis,21,KOA Powell,2,SD Hope,35,JN Mohammed,7,RL Chase,0,JL Carter,19,JO Holder,0,AR Nurse,12,AS Joseph,27,ML Cummins,5,ST Gabriel,2
won,E Lewis,33,KOA Powell,12,SD Hope,48,JL Carter,2,JN Mohammed,2,RL Chase,9,R Powell,17,JO Holder,11,AR Nurse,0,AS Joseph,0,ST Gabriel,0
lost,KOA Powell,0,SD Hope,81,JN Mohammed,0,E Lewis,21,JL Carter,13,JO Holder,29,RL Chase,33,AR Nurse,19,D Bishoo,0,AS Joseph,0,ML Cummins,0
lost,E Lewis,2,KA Hope,19,SD Hope,24,RL Chase,2,JN Mohammed,40,JO Holder,6,R Powell,30,AR Nurse,6,D Bishoo,4,ML Cummins,1,KOK Williams,1
won,E Lewis,35,KA Hope,35,SD Hope,25,RL Chase,24,JN Mohammed,20,JO Holder,11,R Powell,2,AR Nurse,4,D Bishoo,15,AS Joseph,5,KOK Williams,2
lost,E Lewis,9,KA Hope,46,SD Hope,51,RL Chase,0,JN Mohammed,16,JO Holder,36,R Powell,31,AR Nurse,0,D Bishoo,6,AS Joseph,3,KOK Williams,0
lost,CH Gayle,37,E Lewis,11,SD Hope,35,MN Samuels,17,JN Mohammed,18,R Powell,23,JO Holder,41,AR Nurse,1,D Bishoo,5,JE Taylor,2,KOK Williams,0
lost,CH Gayle,94,E Lewis,13,SD Hope,20,MN Samuels,11,JN Mohammed,38,R Powell,8,JO Holder,34,AR Nurse,1,D Bishoo,12,JE Taylor,0,ML Cummins,4
lost,CH Gayle,2,E Lewis,176,SD Hope,11,MN Samuels,1,JN Mohammed,46,JO Holder,77,R Powell,28,AR Nurse,0,JE Taylor,0,AS Joseph,0,ML Cummins,0
