player-1,player-2,avg
B Mavuta,P Utseya,0
B Mavuta,WP Masakadza,20
B Mavuta,N Madziva,0
B Mavuta,LM Jongwe,0
B Mavuta,RP Burl,0
H Masakadza,B Mavuta,33.4
B Mavuta,SF Mire,10.66666667
W Madhevere,B Mavuta,0
B Mavuta,R Ngarava,0
B Mavuta,T Panyangara,0
B Mavuta,V Sibanda,0
B Mavuta,Mahmudullah,0
B Mavuta,CT Mutombodzi,0
B Mavuta,BB Chari,0
B Mavuta,SC Williams,46.2
B Mavuta,DT Tiripano,23.25
B Mavuta,TS Kamunhukamwe,0
B Mavuta,Tamim Iqbal,0
B Mavuta,PS Masvaure,0
B Mavuta,Najmul Hossain Shanto,0
B Mavuta,TL Chatara,11.4
B Mavuta,ehidy Hasan Miraz,0
B Mavuta,Liton Das,0
B Mavuta,BV Vitori,0
E Chigumbura,B Mavuta,17.75
B Mavuta,Mushfiqur Rahim,0
B Mavuta,LN Roche,0
Mustafizur Rahman,B Mavuta,0
B Mavuta,T Mupariwa,0
B Mavuta,PJ Moor,24.6
B Mavuta,C Zhuwao,42
B Mavuta,RW Chakabva,0
B Mavuta,Mohammad Mithun,0
BRM Taylor,B Mavuta,38.2
B Mavuta,R Mutumbami,0
B Mavuta,MN Waller,0
Mashrafe Mortaza,B Mavuta,0
B Mavuta,CB Mpofu,0
B Mavuta,J Nyumbu,0
B Mavuta,TK Musakanda,0
B Mavuta,TP Kamungozi,0
B Mavuta,KM Jarvis,21.2
B Mavuta,S Matsikenyeri,0
CR Ervine,B Mavuta,19.25
B Mavuta,CJ Chibhabha,0
B Mavuta,CT Mumba,0
B Mavuta,CK Tshuma,0
B Mavuta,T Muzarabani,0
B Mavuta,Sikandar Raza,42.5
B Mavuta,TS Chisoro,0
B Mavuta,Mohammad Saifuddin,0
B Mavuta,R Murray,0
B Mavuta,B Muzarabani,0
B Mavuta,T Maruma,0
B Mavuta,CK Coventry,0
B Mavuta,Taijul Islam,0
B Mavuta,AG Cremer,0
P Utseya,WP Masakadza,0
P Utseya,N Madziva,3
P Utseya,LM Jongwe,0
P Utseya,RP Burl,0
H Masakadza,P Utseya,46.25
P Utseya,SF Mire,0
W Madhevere,P Utseya,0
R Ngarava,P Utseya,0
P Utseya,T Panyangara,18
P Utseya,V Sibanda,44
Mahmudullah,P Utseya,0
P Utseya,CT Mutombodzi,0
P Utseya,BB Chari,0
SC Williams,P Utseya,30
P Utseya,DT Tiripano,13
P Utseya,TS Kamunhukamwe,0
P Utseya,Tamim Iqbal,0
P Utseya,PS Masvaure,0
P Utseya,Najmul Hossain Shanto,0
P Utseya,TL Chatara,0
P Utseya,ehidy Hasan Miraz,0
P Utseya,Liton Das,0
BV Vitori,P Utseya,21
E Chigumbura,P Utseya,44.75
Mushfiqur Rahim,P Utseya,0
LN Roche,P Utseya,0
Mustafizur Rahman,P Utseya,0
P Utseya,T Mupariwa,0
P Utseya,PJ Moor,0
C Zhuwao,P Utseya,0
P Utseya,RW Chakabva,9.666666667
P Utseya,Mohammad Mithun,0
BRM Taylor,P Utseya,0
R Mutumbami,P Utseya,32
MN Waller,P Utseya,5
Mashrafe Mortaza,P Utseya,0
P Utseya,CB Mpofu,7
P Utseya,J Nyumbu,0
TK Musakanda,P Utseya,0
P Utseya,TP Kamungozi,0
P Utseya,KM Jarvis,0
P Utseya,S Matsikenyeri,0
CR Ervine,P Utseya,54.33333333
CJ Chibhabha,P Utseya,55.33333333
CT Mumba,P Utseya,0
CK Tshuma,P Utseya,0
P Utseya,T Muzarabani,0
P Utseya,Sikandar Raza,42.5
TS Chisoro,P Utseya,0
P Utseya,Mohammad Saifuddin,0
P Utseya,R Murray,0
B Muzarabani,P Utseya,0
T Maruma,P Utseya,0
P Utseya,CK Coventry,0
P Utseya,Taijul Islam,0
P Utseya,AG Cremer,1.666666667
WP Masakadza,N Madziva,0
WP Masakadza,LM Jongwe,12.8
RP Burl,WP Masakadza,0
H Masakadza,WP Masakadza,30.625
WP Masakadza,SF Mire,15
W Madhevere,WP Masakadza,0
R Ngarava,WP Masakadza,4.666666667
WP Masakadza,T Panyangara,3.285714286
WP Masakadza,V Sibanda,0
Mahmudullah,WP Masakadza,0
CT Mutombodzi,WP Masakadza,12.42857143
BB Chari,WP Masakadza,10.66666667
SC Williams,WP Masakadza,53.875
DT Tiripano,WP Masakadza,16.6
TS Kamunhukamwe,WP Masakadza,19.5
Tamim Iqbal,WP Masakadza,0
WP Masakadza,PS Masvaure,25
Najmul Hossain Shanto,WP Masakadza,0
TL Chatara,WP Masakadza,8.25
WP Masakadza,ehidy Hasan Miraz,0
Liton Das,WP Masakadza,0
BV Vitori,WP Masakadza,0
E Chigumbura,WP Masakadza,22.53333333
Mushfiqur Rahim,WP Masakadza,0
LN Roche,WP Masakadza,5.333333333
Mustafizur Rahman,WP Masakadza,0
T Mupariwa,WP Masakadza,0
WP Masakadza,PJ Moor,29.77777778
C Zhuwao,WP Masakadza,0
RW Chakabva,WP Masakadza,0
WP Masakadza,Mohammad Mithun,0
BRM Taylor,WP Masakadza,49.5
R Mutumbami,WP Masakadza,20.4
MN Waller,WP Masakadza,3.666666667
Mashrafe Mortaza,WP Masakadza,0
WP Masakadza,CB Mpofu,0
WP Masakadza,J Nyumbu,3.8
TK Musakanda,WP Masakadza,19.75
TP Kamungozi,WP Masakadza,0
KM Jarvis,WP Masakadza,11.5
S Matsikenyeri,WP Masakadza,0
CR Ervine,WP Masakadza,35.2
CJ Chibhabha,WP Masakadza,21
CT Mumba,WP Masakadza,0
CK Tshuma,WP Masakadza,0
T Muzarabani,WP Masakadza,1.666666667
Sikandar Raza,WP Masakadza,30.54545455
TS Chisoro,WP Masakadza,6.714285714
Mohammad Saifuddin,WP Masakadza,0
R Murray,WP Masakadza,26.4
B Muzarabani,WP Masakadza,7.5
T Maruma,WP Masakadza,0
CK Coventry,WP Masakadza,0
Taijul Islam,WP Masakadza,0
AG Cremer,WP Masakadza,12
LM Jongwe,N Madziva,7.333333333
RP Burl,N Madziva,0
H Masakadza,N Madziva,45.57142857
SF Mire,N Madziva,0
W Madhevere,N Madziva,0
R Ngarava,N Madziva,0
T Panyangara,N Madziva,9
V Sibanda,N Madziva,25
Mahmudullah,N Madziva,0
CT Mutombodzi,N Madziva,0
BB Chari,N Madziva,0
SC Williams,N Madziva,42.5
DT Tiripano,N Madziva,11.33333333
TS Kamunhukamwe,N Madziva,0
Tamim Iqbal,N Madziva,0
PS Masvaure,N Madziva,0
Najmul Hossain Shanto,N Madziva,0
TL Chatara,N Madziva,0
ehidy Hasan Miraz,N Madziva,0
Liton Das,N Madziva,0
BV Vitori,N Madziva,8
E Chigumbura,N Madziva,8.857142857
Mushfiqur Rahim,N Madziva,0
LN Roche,N Madziva,0
Mustafizur Rahman,N Madziva,0
T Mupariwa,N Madziva,11
PJ Moor,N Madziva,34
C Zhuwao,N Madziva,0
RW Chakabva,N Madziva,17.5
Mohammad Mithun,N Madziva,0
BRM Taylor,N Madziva,0
R Mutumbami,N Madziva,24.5
MN Waller,N Madziva,11.4
Mashrafe Mortaza,N Madziva,0
CB Mpofu,N Madziva,0
J Nyumbu,N Madziva,3
TK Musakanda,N Madziva,0
TP Kamungozi,N Madziva,0
KM Jarvis,N Madziva,0
S Matsikenyeri,N Madziva,0
CR Ervine,N Madziva,34
CJ Chibhabha,N Madziva,41.42857143
CT Mumba,N Madziva,0
CK Tshuma,N Madziva,0
T Muzarabani,N Madziva,0
Sikandar Raza,N Madziva,14.66666667
TS Chisoro,N Madziva,5
Mohammad Saifuddin,N Madziva,0
R Murray,N Madziva,0
B Muzarabani,N Madziva,0
T Maruma,N Madziva,27
CK Coventry,N Madziva,0
Taijul Islam,N Madziva,0
AG Cremer,N Madziva,20.71428571
RP Burl,LM Jongwe,0
H Masakadza,LM Jongwe,53.16666667
LM Jongwe,SF Mire,0
W Madhevere,LM Jongwe,0
R Ngarava,LM Jongwe,0
LM Jongwe,T Panyangara,15
LM Jongwe,V Sibanda,0
Mahmudullah,LM Jongwe,0
CT Mutombodzi,LM Jongwe,24.375
BB Chari,LM Jongwe,26
SC Williams,LM Jongwe,44.08333333
DT Tiripano,LM Jongwe,0
TS Kamunhukamwe,LM Jongwe,0
Tamim Iqbal,LM Jongwe,0
LM Jongwe,PS Masvaure,0
Najmul Hossain Shanto,LM Jongwe,0
TL Chatara,LM Jongwe,0
LM Jongwe,ehidy Hasan Miraz,0
Liton Das,LM Jongwe,0
BV Vitori,LM Jongwe,0
E Chigumbura,LM Jongwe,34
Mushfiqur Rahim,LM Jongwe,0
LN Roche,LM Jongwe,0
Mustafizur Rahman,LM Jongwe,0
T Mupariwa,LM Jongwe,0
LM Jongwe,PJ Moor,39.2
C Zhuwao,LM Jongwe,0
RW Chakabva,LM Jongwe,20
LM Jongwe,Mohammad Mithun,0
BRM Taylor,LM Jongwe,0
R Mutumbami,LM Jongwe,31.11764706
MN Waller,LM Jongwe,18.6
Mashrafe Mortaza,LM Jongwe,0
LM Jongwe,CB Mpofu,0
LM Jongwe,J Nyumbu,11.625
TK Musakanda,LM Jongwe,0
TP Kamungozi,LM Jongwe,0
KM Jarvis,LM Jongwe,0
S Matsikenyeri,LM Jongwe,0
CR Ervine,LM Jongwe,44.33333333
CJ Chibhabha,LM Jongwe,33.33333333
CT Mumba,LM Jongwe,0
CK Tshuma,LM Jongwe,0
T Muzarabani,LM Jongwe,15.33333333
Sikandar Raza,LM Jongwe,33.05263158
TS Chisoro,LM Jongwe,16.875
Mohammad Saifuddin,LM Jongwe,0
R Murray,LM Jongwe,0
B Muzarabani,LM Jongwe,0
T Maruma,LM Jongwe,0
CK Coventry,LM Jongwe,0
Taijul Islam,LM Jongwe,0
AG Cremer,LM Jongwe,22.4
H Masakadza,RP Burl,33.2
RP Burl,SF Mire,35.92307692
W Madhevere,RP Burl,0
R Ngarava,RP Burl,15.8
RP Burl,T Panyangara,0
RP Burl,V Sibanda,0
Mahmudullah,RP Burl,0
RP Burl,CT Mutombodzi,0
RP Burl,BB Chari,0
SC Williams,RP Burl,47.25
RP Burl,DT Tiripano,36.5
RP Burl,TS Kamunhukamwe,49
RP Burl,Tamim Iqbal,0
RP Burl,PS Masvaure,0
RP Burl,Najmul Hossain Shanto,0
RP Burl,TL Chatara,16.5
RP Burl,ehidy Hasan Miraz,0
RP Burl,Liton Das,0
BV Vitori,RP Burl,12
E Chigumbura,RP Burl,0
Mushfiqur Rahim,RP Burl,0
LN Roche,RP Burl,0
Mustafizur Rahman,RP Burl,0
RP Burl,T Mupariwa,0
RP Burl,PJ Moor,29.875
C Zhuwao,RP Burl,0
RP Burl,RW Chakabva,0
RP Burl,Mohammad Mithun,0
BRM Taylor,RP Burl,45.85714286
R Mutumbami,RP Burl,42
MN Waller,RP Burl,23.3
Mashrafe Mortaza,RP Burl,0
RP Burl,CB Mpofu,12.66666667
RP Burl,J Nyumbu,0
TK Musakanda,RP Burl,27.66666667
RP Burl,TP Kamungozi,0
RP Burl,KM Jarvis,33.4
RP Burl,S Matsikenyeri,0
CR Ervine,RP Burl,44.07142857
CJ Chibhabha,RP Burl,0
CT Mumba,RP Burl,0
CK Tshuma,RP Burl,0
RP Burl,T Muzarabani,0
RP Burl,Sikandar Raza,45.4
TS Chisoro,RP Burl,0
RP Burl,Mohammad Saifuddin,0
RP Burl,R Murray,0
B Muzarabani,RP Burl,7
T Maruma,RP Burl,0
RP Burl,CK Coventry,0
RP Burl,Taijul Islam,0
RP Burl,AG Cremer,12.27272727
H Masakadza,SF Mire,46.44444444
H Masakadza,W Madhevere,0
H Masakadza,R Ngarava,12.75
H Masakadza,T Panyangara,37.38461538
H Masakadza,V Sibanda,45
H Masakadza,Mahmudullah,0
H Masakadza,CT Mutombodzi,0
H Masakadza,BB Chari,37
H Masakadza,SC Williams,61.18181818
H Masakadza,DT Tiripano,29.47368421
H Masakadza,TS Kamunhukamwe,36
H Masakadza,Tamim Iqbal,0
H Masakadza,PS Masvaure,42
H Masakadza,Najmul Hossain Shanto,0
H Masakadza,TL Chatara,27.67647059
H Masakadza,ehidy Hasan Miraz,0
H Masakadza,Liton Das,0
H Masakadza,BV Vitori,27.44444444
H Masakadza,E Chigumbura,54.22222222
H Masakadza,Mushfiqur Rahim,0
H Masakadza,LN Roche,34.66666667
H Masakadza,Mustafizur Rahman,0
H Masakadza,T Mupariwa,16.4
H Masakadza,PJ Moor,49.1
H Masakadza,C Zhuwao,23.33333333
H Masakadza,RW Chakabva,31.57142857
H Masakadza,Mohammad Mithun,0
H Masakadza,BRM Taylor,65.34615385
H Masakadza,R Mutumbami,45.5625
H Masakadza,MN Waller,45.77272727
H Masakadza,Mashrafe Mortaza,0
H Masakadza,CB Mpofu,38
H Masakadza,J Nyumbu,27.33333333
H Masakadza,TK Musakanda,51.72727273
H Masakadza,TP Kamungozi,45.5
H Masakadza,KM Jarvis,26.11764706
H Masakadza,S Matsikenyeri,24
H Masakadza,CR Ervine,54.23684211
H Masakadza,CJ Chibhabha,62.08695652
H Masakadza,CT Mumba,113
H Masakadza,CK Tshuma,0
