player-1,player-2,player-3,avg
TS Chisoro,MN Waller,DT Tiripano,29
TS Chisoro,MN Waller,B Mavuta,0
TS Chisoro,MN Waller,T Maruma,0
TS Chisoro,MN Waller,Tamim Iqbal,0
TS Chisoro,MN Waller,S Matsikenyeri,0
TS Chisoro,MN Waller,TP Kamungozi,0
TS Chisoro,MN Waller,BB Chari,0
TS Chisoro,MN Waller,CJ Chibhabha,28
R Ngarava,TS Chisoro,MN Waller,0
TS Chisoro,MN Waller,N Madziva,12.66666667
TS Chisoro,MN Waller,BRM Taylor,27
V Sibanda,TS Chisoro,MN Waller,0
TS Chisoro,MN Waller,CK Coventry,0
Mashrafe Mortaza,TS Chisoro,MN Waller,0
TS Chisoro,MN Waller,Sikandar Raza,18.8
CT Mumba,TS Chisoro,MN Waller,0
TS Chisoro,MN Waller,T Panyangara,0
TS Chisoro,MN Waller,CK Tshuma,0
TS Chisoro,MN Waller,R Murray,0
TS Chisoro,MN Waller,SC Williams,54
TS Chisoro,MN Waller,RW Chakabva,0
TS Chisoro,MN Waller,P Utseya,0
TS Chisoro,MN Waller,Liton Das,0
TS Chisoro,MN Waller,ehidy Hasan Miraz,0
TS Chisoro,MN Waller,TS Kamunhukamwe,0
TS Chisoro,MN Waller,J Nyumbu,0
TS Chisoro,MN Waller,R Mutumbami,32.66666667
TS Chisoro,MN Waller,T Muzarabani,0
TS Chisoro,MN Waller,Mushfiqur Rahim,0
TS Chisoro,MN Waller,C Zhuwao,0
TS Chisoro,MN Waller,CB Mpofu,0
TS Chisoro,MN Waller,KM Jarvis,0
TS Chisoro,MN Waller,T Mupariwa,0
Mahmudullah,TS Chisoro,MN Waller,0
H Masakadza,TS Chisoro,MN Waller,57
TS Chisoro,MN Waller,SF Mire,0
LN Roche,TS Chisoro,MN Waller,0
TS Chisoro,MN Waller,RP Burl,0
TS Chisoro,MN Waller,E Chigumbura,15.66666667
TS Chisoro,MN Waller,PS Masvaure,0
TS Chisoro,MN Waller,PJ Moor,36
TS Chisoro,MN Waller,Mohammad Mithun,0
TS Chisoro,MN Waller,LM Jongwe,14.66666667
TS Chisoro,MN Waller,CT Mutombodzi,0
TS Chisoro,MN Waller,Mohammad Saifuddin,0
TS Chisoro,MN Waller,Taijul Islam,0
Mustafizur Rahman,TS Chisoro,MN Waller,0
TS Chisoro,MN Waller,AG Cremer,29.4
TS Chisoro,MN Waller,TL Chatara,0
TS Chisoro,MN Waller,BV Vitori,19
TS Chisoro,MN Waller,TK Musakanda,33
WP Masakadza,TS Chisoro,MN Waller,0
TS Chisoro,MN Waller,CR Ervine,39
TS Chisoro,MN Waller,Najmul Hossain Shanto,0
TS Chisoro,MN Waller,W Madhevere,0
TS Chisoro,MN Waller,B Muzarabani,0
TS Chisoro,DT Tiripano,B Mavuta,0
TS Chisoro,DT Tiripano,T Maruma,0
TS Chisoro,DT Tiripano,Tamim Iqbal,0
TS Chisoro,DT Tiripano,S Matsikenyeri,0
TS Chisoro,TP Kamungozi,DT Tiripano,0
TS Chisoro,DT Tiripano,BB Chari,76
TS Chisoro,CJ Chibhabha,DT Tiripano,66
R Ngarava,TS Chisoro,DT Tiripano,46
TS Chisoro,DT Tiripano,N Madziva,0
TS Chisoro,DT Tiripano,BRM Taylor,0
V Sibanda,TS Chisoro,DT Tiripano,0
TS Chisoro,DT Tiripano,CK Coventry,0
Mashrafe Mortaza,TS Chisoro,DT Tiripano,0
TS Chisoro,DT Tiripano,Sikandar Raza,76.5
TS Chisoro,CT Mumba,DT Tiripano,0
TS Chisoro,T Panyangara,DT Tiripano,0
TS Chisoro,DT Tiripano,CK Tshuma,0
TS Chisoro,DT Tiripano,R Murray,50
TS Chisoro,DT Tiripano,SC Williams,53.5
TS Chisoro,DT Tiripano,RW Chakabva,0
TS Chisoro,DT Tiripano,P Utseya,0
TS Chisoro,DT Tiripano,Liton Das,0
TS Chisoro,DT Tiripano,ehidy Hasan Miraz,0
TS Chisoro,DT Tiripano,TS Kamunhukamwe,48
TS Chisoro,DT Tiripano,J Nyumbu,0
TS Chisoro,R Mutumbami,DT Tiripano,0
TS Chisoro,DT Tiripano,T Muzarabani,0
TS Chisoro,DT Tiripano,Mushfiqur Rahim,0
TS Chisoro,C Zhuwao,DT Tiripano,0
TS Chisoro,DT Tiripano,CB Mpofu,57
TS Chisoro,KM Jarvis,DT Tiripano,0
TS Chisoro,DT Tiripano,T Mupariwa,0
Mahmudullah,TS Chisoro,DT Tiripano,0
H Masakadza,TS Chisoro,DT Tiripano,56.33333333
TS Chisoro,DT Tiripano,SF Mire,0
LN Roche,TS Chisoro,DT Tiripano,0
TS Chisoro,DT Tiripano,RP Burl,0
TS Chisoro,DT Tiripano,E Chigumbura,82
TS Chisoro,DT Tiripano,PS Masvaure,0
TS Chisoro,DT Tiripano,PJ Moor,50.33333333
TS Chisoro,DT Tiripano,Mohammad Mithun,0
TS Chisoro,DT Tiripano,LM Jongwe,0
TS Chisoro,CT Mutombodzi,DT Tiripano,0
TS Chisoro,Mohammad Saifuddin,DT Tiripano,0
TS Chisoro,DT Tiripano,Taijul Islam,0
Mustafizur Rahman,TS Chisoro,DT Tiripano,0
TS Chisoro,DT Tiripano,AG Cremer,41
TS Chisoro,DT Tiripano,TL Chatara,0
TS Chisoro,DT Tiripano,BV Vitori,15
TS Chisoro,DT Tiripano,TK Musakanda,53
TS Chisoro,WP Masakadza,DT Tiripano,47
TS Chisoro,DT Tiripano,CR Ervine,52
TS Chisoro,DT Tiripano,Najmul Hossain Shanto,0
TS Chisoro,DT Tiripano,W Madhevere,0
TS Chisoro,DT Tiripano,B Muzarabani,46
TS Chisoro,B Mavuta,T Maruma,0
TS Chisoro,B Mavuta,Tamim Iqbal,0
TS Chisoro,B Mavuta,S Matsikenyeri,0
TS Chisoro,TP Kamungozi,B Mavuta,0
TS Chisoro,B Mavuta,BB Chari,0
TS Chisoro,CJ Chibhabha,B Mavuta,0
R Ngarava,TS Chisoro,B Mavuta,0
TS Chisoro,B Mavuta,N Madziva,0
TS Chisoro,B Mavuta,BRM Taylor,0
V Sibanda,TS Chisoro,B Mavuta,0
TS Chisoro,B Mavuta,CK Coventry,0
Mashrafe Mortaza,TS Chisoro,B Mavuta,0
TS Chisoro,Sikandar Raza,B Mavuta,0
TS Chisoro,CT Mumba,B Mavuta,0
TS Chisoro,T Panyangara,B Mavuta,0
TS Chisoro,B Mavuta,CK Tshuma,0
TS Chisoro,B Mavuta,R Murray,0
TS Chisoro,SC Williams,B Mavuta,0
TS Chisoro,RW Chakabva,B Mavuta,0
TS Chisoro,B Mavuta,P Utseya,0
TS Chisoro,B Mavuta,Liton Das,0
TS Chisoro,B Mavuta,ehidy Hasan Miraz,0
TS Chisoro,B Mavuta,TS Kamunhukamwe,0
TS Chisoro,B Mavuta,J Nyumbu,0
TS Chisoro,R Mutumbami,B Mavuta,0
TS Chisoro,B Mavuta,T Muzarabani,0
TS Chisoro,Mushfiqur Rahim,B Mavuta,0
TS Chisoro,C Zhuwao,B Mavuta,0
TS Chisoro,B Mavuta,CB Mpofu,0
TS Chisoro,KM Jarvis,B Mavuta,0
TS Chisoro,B Mavuta,T Mupariwa,0
Mahmudullah,TS Chisoro,B Mavuta,0
H Masakadza,TS Chisoro,B Mavuta,0
TS Chisoro,B Mavuta,SF Mire,0
LN Roche,TS Chisoro,B Mavuta,0
TS Chisoro,B Mavuta,RP Burl,0
TS Chisoro,B Mavuta,E Chigumbura,0
TS Chisoro,B Mavuta,PS Masvaure,0
TS Chisoro,B Mavuta,PJ Moor,0
TS Chisoro,B Mavuta,Mohammad Mithun,0
TS Chisoro,B Mavuta,LM Jongwe,0
TS Chisoro,CT Mutombodzi,B Mavuta,0
TS Chisoro,Mohammad Saifuddin,B Mavuta,0
TS Chisoro,Taijul Islam,B Mavuta,0
Mustafizur Rahman,TS Chisoro,B Mavuta,0
TS Chisoro,AG Cremer,B Mavuta,0
TL Chatara,TS Chisoro,B Mavuta,0
TS Chisoro,B Mavuta,BV Vitori,0
TS Chisoro,B Mavuta,TK Musakanda,0
TS Chisoro,WP Masakadza,B Mavuta,0
TS Chisoro,B Mavuta,CR Ervine,0
TS Chisoro,Najmul Hossain Shanto,B Mavuta,0
TS Chisoro,B Mavuta,W Madhevere,0
TS Chisoro,B Mavuta,B Muzarabani,0
TS Chisoro,T Maruma,Tamim Iqbal,0
TS Chisoro,S Matsikenyeri,T Maruma,0
TS Chisoro,TP Kamungozi,T Maruma,0
TS Chisoro,T Maruma,BB Chari,0
TS Chisoro,CJ Chibhabha,T Maruma,0
R Ngarava,TS Chisoro,T Maruma,0
TS Chisoro,T Maruma,N Madziva,0
TS Chisoro,T Maruma,BRM Taylor,0
V Sibanda,TS Chisoro,T Maruma,0
TS Chisoro,T Maruma,CK Coventry,0
Mashrafe Mortaza,TS Chisoro,T Maruma,0
TS Chisoro,Sikandar Raza,T Maruma,0
TS Chisoro,CT Mumba,T Maruma,0
TS Chisoro,T Panyangara,T Maruma,0
TS Chisoro,T Maruma,CK Tshuma,0
TS Chisoro,T Maruma,R Murray,0
TS Chisoro,SC Williams,T Maruma,0
TS Chisoro,RW Chakabva,T Maruma,0
TS Chisoro,T Maruma,P Utseya,0
TS Chisoro,T Maruma,Liton Das,0
TS Chisoro,T Maruma,ehidy Hasan Miraz,0
TS Chisoro,TS Kamunhukamwe,T Maruma,0
TS Chisoro,J Nyumbu,T Maruma,0
TS Chisoro,R Mutumbami,T Maruma,0
TS Chisoro,T Maruma,T Muzarabani,0
TS Chisoro,Mushfiqur Rahim,T Maruma,0
TS Chisoro,C Zhuwao,T Maruma,0
TS Chisoro,CB Mpofu,T Maruma,0
TS Chisoro,KM Jarvis,T Maruma,0
TS Chisoro,T Maruma,T Mupariwa,0
Mahmudullah,TS Chisoro,T Maruma,0
H Masakadza,TS Chisoro,T Maruma,0
TS Chisoro,T Maruma,SF Mire,0
LN Roche,TS Chisoro,T Maruma,0
TS Chisoro,RP Burl,T Maruma,0
E Chigumbura,TS Chisoro,T Maruma,0
TS Chisoro,T Maruma,PS Masvaure,0
TS Chisoro,T Maruma,PJ Moor,0
TS Chisoro,T Maruma,Mohammad Mithun,0
TS Chisoro,T Maruma,LM Jongwe,0
TS Chisoro,CT Mutombodzi,T Maruma,0
TS Chisoro,Mohammad Saifuddin,T Maruma,0
TS Chisoro,Taijul Islam,T Maruma,0
Mustafizur Rahman,TS Chisoro,T Maruma,0
TS Chisoro,AG Cremer,T Maruma,0
TS Chisoro,TL Chatara,T Maruma,0
TS Chisoro,T Maruma,BV Vitori,0
TS Chisoro,TK Musakanda,T Maruma,0
TS Chisoro,WP Masakadza,T Maruma,0
TS Chisoro,T Maruma,CR Ervine,0
TS Chisoro,Najmul Hossain Shanto,T Maruma,0
TS Chisoro,W Madhevere,T Maruma,0
TS Chisoro,T Maruma,B Muzarabani,0
TS Chisoro,S Matsikenyeri,Tamim Iqbal,0
TS Chisoro,TP Kamungozi,Tamim Iqbal,0
TS Chisoro,BB Chari,Tamim Iqbal,0
TS Chisoro,CJ Chibhabha,Tamim Iqbal,0
R Ngarava,TS Chisoro,Tamim Iqbal,0
TS Chisoro,Tamim Iqbal,N Madziva,0
TS Chisoro,BRM Taylor,Tamim Iqbal,0
V Sibanda,TS Chisoro,Tamim Iqbal,0
TS Chisoro,Tamim Iqbal,CK Coventry,0
Mashrafe Mortaza,TS Chisoro,Tamim Iqbal,0
TS Chisoro,Sikandar Raza,Tamim Iqbal,0
TS Chisoro,CT Mumba,Tamim Iqbal,0
TS Chisoro,T Panyangara,Tamim Iqbal,0
TS Chisoro,Tamim Iqbal,CK Tshuma,0
TS Chisoro,R Murray,Tamim Iqbal,0
TS Chisoro,SC Williams,Tamim Iqbal,0
TS Chisoro,RW Chakabva,Tamim Iqbal,0
TS Chisoro,P Utseya,Tamim Iqbal,0
TS Chisoro,Tamim Iqbal,Liton Das,0
TS Chisoro,Tamim Iqbal,ehidy Hasan Miraz,0
TS Chisoro,TS Kamunhukamwe,Tamim Iqbal,0
TS Chisoro,J Nyumbu,Tamim Iqbal,0
TS Chisoro,R Mutumbami,Tamim Iqbal,0
TS Chisoro,Tamim Iqbal,T Muzarabani,0
TS Chisoro,Mushfiqur Rahim,Tamim Iqbal,0
TS Chisoro,C Zhuwao,Tamim Iqbal,0
TS Chisoro,CB Mpofu,Tamim Iqbal,0
TS Chisoro,KM Jarvis,Tamim Iqbal,0
TS Chisoro,T Mupariwa,Tamim Iqbal,0
Mahmudullah,TS Chisoro,Tamim Iqbal,0
H Masakadza,TS Chisoro,Tamim Iqbal,0
TS Chisoro,SF Mire,Tamim Iqbal,0
LN Roche,TS Chisoro,Tamim Iqbal,0
TS Chisoro,RP Burl,Tamim Iqbal,0
TS Chisoro,E Chigumbura,Tamim Iqbal,0
PS Masvaure,TS Chisoro,Tamim Iqbal,0
PJ Moor,TS Chisoro,Tamim Iqbal,0
TS Chisoro,Tamim Iqbal,Mohammad Mithun,0
TS Chisoro,Tamim Iqbal,LM Jongwe,0
