,player-1,player-2,combined_avg,sum_of_individual
0,B Mavuta,WP Masakadza,20.0,13.52
1,B Mavuta,SC Williams,46.2,42.22
2,B Mavuta,C Zhuwao,42.0,22.9
3,B Mavuta,KM Jarvis,21.2,17.87
4,B Mavuta,Sikandar Raza,42.5,39.56
5,H Masakadza,P Utseya,46.25,32.519999999999996
6,P Utseya,T Panyangara,18.0,9.65
7,P Utseya,V Sibanda,44.0,27.25
8,BV Vitori,P Utseya,21.0,8.69
9,E Chigumbura,P Utseya,44.75,27.88
10,R Mutumbami,P Utseya,32.0,22.53
11,P Utseya,CB Mpofu,7.0,5.71
12,CR Ervine,P Utseya,54.33333333,30.05
13,CJ Chibhabha,P Utseya,55.33333333,32.41
14,P Utseya,Sikandar Raza,42.5,34.41
15,H Masakadza,WP Masakadza,30.625,30.39
16,R Ngarava,WP Masakadza,4.666666667,4.62
17,SC Williams,WP Masakadza,53.875,34.94
18,DT Tiripano,WP Masakadza,16.6,16.12
19,WP Masakadza,PS Masvaure,25.0,23.12
20,TL Chatara,WP Masakadza,8.25,5.15
21,LN Roche,WP Masakadza,5.333333333,4.45
22,WP Masakadza,PJ Moor,29.77777778,21.150000000000002
23,BRM Taylor,WP Masakadza,49.5,46.66
24,KM Jarvis,WP Masakadza,11.5,10.59
25,CR Ervine,WP Masakadza,35.2,27.92
26,R Murray,WP Masakadza,26.4,24.720000000000002
27,B Muzarabani,WP Masakadza,7.5,3.6500000000000004
28,H Masakadza,N Madziva,45.57142857,30.56
29,T Panyangara,N Madziva,9.0,7.69
30,SC Williams,N Madziva,42.5,35.11
31,BV Vitori,N Madziva,8.0,6.73
32,T Mupariwa,N Madziva,11.0,7.29
33,PJ Moor,N Madziva,34.0,21.32
34,RW Chakabva,N Madziva,17.5,13.739999999999998
35,R Mutumbami,N Madziva,24.5,20.57
36,CR Ervine,N Madziva,34.0,28.09
37,CJ Chibhabha,N Madziva,41.42857143,30.45
38,T Maruma,N Madziva,27.0,20.29
39,AG Cremer,N Madziva,20.71428571,12.27
40,H Masakadza,LM Jongwe,53.16666667,38.269999999999996
41,CT Mutombodzi,LM Jongwe,24.375,23.8
42,BB Chari,LM Jongwe,26.0,24.119999999999997
43,SC Williams,LM Jongwe,44.08333333,42.82
44,E Chigumbura,LM Jongwe,34.0,33.629999999999995
45,LM Jongwe,PJ Moor,39.2,29.03
46,R Mutumbami,LM Jongwe,31.11764706,28.28
47,CR Ervine,LM Jongwe,44.33333333,35.8
48,T Muzarabani,LM Jongwe,15.33333333,12.5
49,AG Cremer,LM Jongwe,22.4,19.98
50,RP Burl,SF Mire,35.92307692,33.83
51,SC Williams,RP Burl,47.25,46.39
52,RP Burl,DT Tiripano,36.5,27.57
53,RP Burl,TS Kamunhukamwe,49.0,32.97
54,R Mutumbami,RP Burl,42.0,31.85
55,RP Burl,KM Jarvis,33.4,22.04
56,CR Ervine,RP Burl,44.07142857,39.370000000000005
57,RP Burl,Sikandar Raza,45.4,43.730000000000004
58,H Masakadza,T Panyangara,37.38461538,31.67
59,H Masakadza,SC Williams,61.18181818,59.09
60,H Masakadza,E Chigumbura,54.22222222,49.9
61,H Masakadza,LN Roche,34.66666667,28.6
62,H Masakadza,PJ Moor,49.1,45.3
63,H Masakadza,R Mutumbami,45.5625,44.55
64,H Masakadza,MN Waller,45.77272727,38.18
65,H Masakadza,CB Mpofu,38.0,27.73
66,H Masakadza,TK Musakanda,51.72727273,47.54
67,H Masakadza,TP Kamungozi,45.5,30.27
68,H Masakadza,CR Ervine,54.23684211,52.07
69,H Masakadza,CJ Chibhabha,62.08695652,54.43
70,H Masakadza,CT Mumba,113.0,29.02
71,H Masakadza,Sikandar Raza,58.32608696,56.43
72,H Masakadza,TS Chisoro,40.7,35.54
73,H Masakadza,AG Cremer,38.0,36.25
74,R Ngarava,SF Mire,23.6,20.76
75,SC Williams,SF Mire,52.0,51.08
76,DT Tiripano,SF Mire,39.8,32.260000000000005
77,BV Vitori,SF Mire,23.0,22.700000000000003
78,MN Waller,SF Mire,36.78947368,30.17
79,CB Mpofu,SF Mire,26.75,19.720000000000002
80,TK Musakanda,SF Mire,42.9,39.53
81,TP Kamungozi,SF Mire,27.0,22.26
82,Sikandar Raza,SF Mire,50.54166667,48.42
83,TS Chisoro,SF Mire,31.66666667,27.53
84,AG Cremer,SF Mire,30.0,28.240000000000002
85,W Madhevere,CT Mutombodzi,67.5,59.8
86,W Madhevere,DT Tiripano,82.0,60.0
87,W Madhevere,TS Kamunhukamwe,74.5,65.4
88,W Madhevere,RW Chakabva,65.0,57.45
89,W Madhevere,CT Mumba,49.0,48.75
90,W Madhevere,Sikandar Raza,110.5,76.16
91,R Ngarava,SC Williams,37.5,33.32
92,R Ngarava,DT Tiripano,22.5,14.5
93,BRM Taylor,R Ngarava,75.0,45.04
