,player-1,player-2,player-3,combined_avg,sum_of_individual
0,TS Chisoro,MN Waller,SC Williams,54.0,51.0
1,H Masakadza,TS Chisoro,MN Waller,57.0,46.45
2,TS Chisoro,MN Waller,AG Cremer,29.4,28.16
3,TS Chisoro,DT Tiripano,BB Chari,76.0,34.39
4,TS Chisoro,CJ Chibhabha,DT Tiripano,66.0,48.43
5,R Ngarava,TS Chisoro,DT Tiripano,46.0,22.77
6,TS Chisoro,DT Tiripano,Sikandar Raza,76.5,50.43
7,TS Chisoro,DT Tiripano,R Murray,50.0,42.870000000000005
8,TS Chisoro,DT Tiripano,SC Williams,53.5,53.09
9,TS Chisoro,DT Tiripano,TS Kamunhukamwe,48.0,39.67
10,TS Chisoro,DT Tiripano,CB Mpofu,57.0,21.73
11,H Masakadza,TS Chisoro,DT Tiripano,56.33333333,48.54
12,TS Chisoro,DT Tiripano,E Chigumbura,82.0,43.9
13,TS Chisoro,DT Tiripano,PJ Moor,50.33333333,39.3
14,TS Chisoro,DT Tiripano,AG Cremer,41.0,30.25
15,TS Chisoro,DT Tiripano,TK Musakanda,53.0,41.54
16,TS Chisoro,WP Masakadza,DT Tiripano,47.0,24.39
17,TS Chisoro,DT Tiripano,CR Ervine,52.0,46.07
18,TS Chisoro,DT Tiripano,B Muzarabani,46.0,21.8
19,TS Chisoro,CJ Chibhabha,BB Chari,70.0,48.55
20,TS Chisoro,Sikandar Raza,BB Chari,137.0,50.55
21,TS Chisoro,SC Williams,BB Chari,61.0,53.21
22,TS Chisoro,CB Mpofu,BB Chari,61.0,21.85
23,H Masakadza,TS Chisoro,BB Chari,81.0,48.66
24,PJ Moor,TS Chisoro,BB Chari,74.0,39.42
25,TS Chisoro,AG Cremer,BB Chari,62.0,30.369999999999997
26,TS Chisoro,BB Chari,CR Ervine,68.0,46.19
27,TS Chisoro,CJ Chibhabha,SC Williams,68.0,67.25
28,TS Chisoro,CJ Chibhabha,J Nyumbu,39.5,37.1
29,TS Chisoro,CJ Chibhabha,R Mutumbami,52.75,52.71
30,TS Chisoro,CJ Chibhabha,CB Mpofu,51.0,35.89
31,H Masakadza,TS Chisoro,CJ Chibhabha,75.4,62.7
32,TS Chisoro,CJ Chibhabha,AG Cremer,48.5,44.41
33,H Masakadza,TS Chisoro,N Madziva,78.0,38.83
34,PJ Moor,TS Chisoro,N Madziva,36.33333333,29.59
35,TS Chisoro,AG Cremer,N Madziva,32.0,20.54
36,TS Chisoro,Sikandar Raza,BRM Taylor,107.0,80.97
37,TS Chisoro,SC Williams,BRM Taylor,122.5,83.63
38,TS Chisoro,C Zhuwao,BRM Taylor,111.0,64.31
39,TS Chisoro,KM Jarvis,BRM Taylor,102.0,59.28
40,H Masakadza,TS Chisoro,BRM Taylor,87.0,79.08
41,TS Chisoro,SF Mire,BRM Taylor,95.0,71.07
42,TS Chisoro,AG Cremer,BRM Taylor,80.33333333,60.79
43,TS Chisoro,BRM Taylor,CR Ervine,99.0,76.61
44,TS Chisoro,B Muzarabani,BRM Taylor,76.66666667,52.339999999999996
45,TS Chisoro,Sikandar Raza,SC Williams,89.0,69.25
46,TS Chisoro,C Zhuwao,Sikandar Raza,75.0,49.93
47,TS Chisoro,Sikandar Raza,CB Mpofu,118.0,37.89
48,TS Chisoro,KM Jarvis,Sikandar Raza,66.0,44.9
49,H Masakadza,TS Chisoro,Sikandar Raza,73.25,64.7
50,TS Chisoro,Sikandar Raza,SF Mire,62.33333333,56.69
51,TS Chisoro,Sikandar Raza,PJ Moor,56.4,55.46
52,TS Chisoro,Sikandar Raza,AG Cremer,51.0,46.41
53,TS Chisoro,Sikandar Raza,B Muzarabani,44.0,37.96
54,TS Chisoro,T Panyangara,SC Williams,56.66666667,44.49
55,TS Chisoro,R Mutumbami,T Panyangara,35.4,29.950000000000003
56,TS Chisoro,R Mutumbami,SC Williams,83.66666667,57.370000000000005
57,TS Chisoro,SC Williams,CB Mpofu,42.0,40.550000000000004
58,TS Chisoro,SC Williams,SF Mire,69.0,59.35000000000001
59,TS Chisoro,SC Williams,E Chigumbura,82.66666667,62.72
60,TS Chisoro,SC Williams,LM Jongwe,69.33333333,51.09
61,TS Chisoro,CT Mutombodzi,SC Williams,60.0,52.89
62,TS Chisoro,SC Williams,TK Musakanda,76.0,60.36
63,TS Chisoro,WP Masakadza,SC Williams,57.66666667,43.21
64,TS Chisoro,SC Williams,B Muzarabani,41.5,40.620000000000005
65,TS Chisoro,R Mutumbami,J Nyumbu,39.0,27.22
66,TS Chisoro,J Nyumbu,LM Jongwe,29.5,20.939999999999998
67,TS Chisoro,CT Mutombodzi,J Nyumbu,29.0,22.740000000000002
68,TS Chisoro,J Nyumbu,CR Ervine,38.0,34.74
69,H Masakadza,TS Chisoro,R Mutumbami,98.0,52.82
70,TS Chisoro,R Mutumbami,PJ Moor,56.33333333,43.58
71,TS Chisoro,R Mutumbami,LM Jongwe,43.625,36.55
72,TS Chisoro,R Mutumbami,CT Mutombodzi,46.2,38.35
73,TS Chisoro,R Mutumbami,AG Cremer,52.0,34.53
74,WP Masakadza,TS Chisoro,R Mutumbami,36.0,28.67
75,TS Chisoro,R Mutumbami,CR Ervine,50.4,50.35
76,TS Chisoro,KM Jarvis,C Zhuwao,30.5,28.24
77,TS Chisoro,C Zhuwao,SF Mire,57.5,40.03
78,TS Chisoro,C Zhuwao,AG Cremer,31.5,29.75
79,TS Chisoro,C Zhuwao,CR Ervine,46.5,45.57
80,TS Chisoro,C Zhuwao,B Muzarabani,30.0,21.3
81,H Masakadza,TS Chisoro,CB Mpofu,62.0,36.0
82,TS Chisoro,CB Mpofu,PJ Moor,55.0,26.76
83,TS Chisoro,AG Cremer,CB Mpofu,43.0,17.71
84,TS Chisoro,CB Mpofu,CR Ervine,49.0,33.53
85,TS Chisoro,KM Jarvis,SF Mire,48.5,35.0
86,TS Chisoro,KM Jarvis,B Muzarabani,21.0,16.27
87,H Masakadza,TS Chisoro,E Chigumbura,64.4,58.17
88,H Masakadza,TS Chisoro,PJ Moor,66.42857143,53.57
89,H Masakadza,TS Chisoro,LM Jongwe,80.0,46.54
90,H Masakadza,TS Chisoro,AG Cremer,59.625,44.519999999999996
91,TS Chisoro,SF Mire,CR Ervine,54.33333333,52.33
92,TS Chisoro,B Muzarabani,SF Mire,32.0,28.060000000000002
93,TS Chisoro,PJ Moor,LM Jongwe,38.33333333,37.3
94,TS Chisoro,AG Cremer,PJ Moor,50.6,35.28
95,TS Chisoro,CT Mutombodzi,LM Jongwe,33.8,32.07
96,TS Chisoro,AG Cremer,LM Jongwe,34.0,28.25
97,TS Chisoro,WP Masakadza,LM Jongwe,23.6,22.39
98,TS Chisoro,TK Musakanda,BV Vitori,41.0,31.98
99,TS Chisoro,TK Musakanda,CR Ervine,55.5,53.34
100,TS Chisoro,B Muzarabani,CR Ervine,36.0,33.6
101,CJ Chibhabha,MN Waller,DT Tiripano,68.5,51.07
102,V Sibanda,MN Waller,DT Tiripano,48.0,45.91
103,Sikandar Raza,MN Waller,DT Tiripano,53.25,53.07
104,SC Williams,MN Waller,DT Tiripano,71.66666667,55.730000000000004
105,MN Waller,DT Tiripano,RW Chakabva,45.0,34.36
106,MN Waller,DT Tiripano,SF Mire,95.0,43.17
107,MN Waller,DT Tiripano,RP Burl,43.5,38.480000000000004
108,MN Waller,DT Tiripano,TL Chatara,39.0,25.94
109,TK Musakanda,MN Waller,DT Tiripano,60.0,44.18
110,MN Waller,DT Tiripano,CR Ervine,55.66666667,48.71
111,MN Waller,T Maruma,N Madziva,35.0,31.2
112,V Sibanda,MN Waller,T Maruma,63.0,49.91
113,BB Chari,MN Waller,CJ Chibhabha,60.0,51.19
114,BB Chari,MN Waller,R Mutumbami,79.0,41.31
115,MN Waller,CJ Chibhabha,N Madziva,44.0,41.36
116,V Sibanda,MN Waller,CJ Chibhabha,73.0,60.06999999999999
117,MN Waller,CJ Chibhabha,RW Chakabva,63.33333333,48.519999999999996
118,MN Waller,CJ Chibhabha,P Utseya,87.0,43.32
119,MN Waller,CJ Chibhabha,J Nyumbu,41.5,39.74
120,H Masakadza,MN Waller,CJ Chibhabha,86.6,65.34
121,MN Waller,CJ Chibhabha,CT Mutombodzi,60.0,50.870000000000005
122,R Ngarava,MN Waller,SF Mire,32.8,31.67
123,V Sibanda,MN Waller,N Madziva,56.0,36.199999999999996
124,MN Waller,RW Chakabva,N Madziva,35.0,24.65
125,MN Waller,T Mupariwa,N Madziva,19.0,18.2
126,H Masakadza,MN Waller,N Madziva,58.2,41.47
127,PJ Moor,MN Waller,N Madziva,41.66666667,32.230000000000004
128,AG Cremer,MN Waller,N Madziva,27.6,23.18
