InnigsID,dn,country,p1,p1-s,p2,p2-s,p3,p3-s,p4,p4-s,p5,p5-s,p6,p6-s,p7,p7-s,p8,p8-s,p9,p9-s,p10,p10-s,p11,p11-s
1062,DN,Zimbabwe,CJ Chibhabha,64,H Masakadza,80,SC Williams,8,Sikandar Raza,5,BRM Taylor,40,SF Mire,27,E Chigumbura,8,TL Chatara,6,CR Ervine,13,TP Kamungozi,0,T Panyangara,4
1078,DN,Zimbabwe,RW Chakabva,2,H Masakadza,5,SC Williams,76,Sikandar Raza,26,BRM Taylor,37,S Matsikenyeri,19,E Chigumbura,21,TL Chatara,16,CR Ervine,52,TP Kamungozi,6,T Panyangara,4
1088,DN,Zimbabwe,CJ Chibhabha,9,H Masakadza,29,SC Williams,33,Sikandar Raza,8,BRM Taylor,50,T Mupariwa,0,E Chigumbura,35,TL Chatara,0,CR Ervine,14,SF Mire,8,T Panyangara,10
1098,DN,Zimbabwe,RW Chakabva,17,H Masakadza,5,SC Williams,96,Sikandar Raza,12,BRM Taylor,121,CJ Chibhabha,18,SF Mire,11,TL Chatara,1,CR Ervine,11,T Mupariwa,18,T Panyangara,5
1112,DN,Zimbabwe,RW Chakabva,10,H Masakadza,2,SC Williams,50,Sikandar Raza,28,BRM Taylor,138,CJ Chibhabha,7,SF Mire,9,TL Chatara,0,CR Ervine,27,T Mupariwa,1,T Panyangara,6
1136,DN,Zimbabwe,V Sibanda,23,H Masakadza,73,SC Williams,36,Sikandar Raza,36,E Chigumbura,117,R Mutumbami,21,P Utseya,21,BV Vitori,0,CR Ervine,0,CB Mpofu,0,T Panyangara,0
1138,DN,Zimbabwe,V Sibanda,13,H Masakadza,18,SC Williams,5,Sikandar Raza,100,CJ Chibhabha,99,R Mutumbami,7,CK Coventry,10,BV Vitori,0,AG Cremer,2,T Mupariwa,0,T Panyangara,4
1156,D,Zimbabwe,V Sibanda,20,H Masakadza,34,SC Williams,0,Sikandar Raza,37,CJ Chibhabha,3,R Mutumbami,7,E Chigumbura,104,BV Vitori,0,AG Cremer,27,DT Tiripano,1,T Panyangara,0
1162,D,Zimbabwe,V Sibanda,2,H Masakadza,5,SC Williams,20,Sikandar Raza,18,CJ Chibhabha,72,R Mutumbami,32,E Chigumbura,9,BV Vitori,8,AG Cremer,27,DT Tiripano,6,N Madziva,0
1166,D,Zimbabwe,RW Chakabva,27,H Masakadza,7,MN Waller,5,Sikandar Raza,13,CJ Chibhabha,82,R Mutumbami,22,E Chigumbura,10,P Utseya,0,AG Cremer,0,DT Tiripano,13,N Madziva,3
1177,D,Zimbabwe,CR Ervine,130,H Masakadza,84,SC Williams,7,Sikandar Raza,0,CJ Chibhabha,42,RW Chakabva,0,E Chigumbura,26,CB Mpofu,0,AG Cremer,0,P Utseya,0,T Panyangara,0
1180,D,Zimbabwe,CR Ervine,12,H Masakadza,0,SC Williams,26,Sikandar Raza,100,CJ Chibhabha,42,RW Chakabva,2,E Chigumbura,5,CB Mpofu,0,AG Cremer,5,P Utseya,0,T Panyangara,33
1182,D,Zimbabwe,CR Ervine,32,H Masakadza,57,SC Williams,63,Sikandar Raza,5,CJ Chibhabha,32,RW Chakabva,3,E Chigumbura,3,J Nyumbu,1,AG Cremer,14,N Madziva,2,T Panyangara,7
1202,D,Zimbabwe,BB Chari,16,H Masakadza,15,SC Williams,26,Sikandar Raza,19,CJ Chibhabha,12,R Mutumbami,3,E Chigumbura,22,J Nyumbu,2,AG Cremer,2,LM Jongwe,0,T Panyangara,4
1203,D,Zimbabwe,BB Chari,39,H Masakadza,7,SC Williams,10,Sikandar Raza,32,CJ Chibhabha,90,R Mutumbami,14,E Chigumbura,67,J Nyumbu,0,AG Cremer,0,LM Jongwe,4,T Panyangara,0
1206,D,Zimbabwe,BB Chari,4,MN Waller,8,SC Williams,5,Sikandar Raza,2,CJ Chibhabha,48,R Mutumbami,67,E Chigumbura,0,J Nyumbu,4,CT Mutombodzi,4,LM Jongwe,16,T Panyangara,0
1207,D,Zimbabwe,CR Ervine,60,MN Waller,1,SC Williams,24,Sikandar Raza,60,CJ Chibhabha,22,R Mutumbami,9,E Chigumbura,16,J Nyumbu,0,WP Masakadza,10,LM Jongwe,5,T Panyangara,8
1211,D,Zimbabwe,CR Ervine,101,CT Mutombodzi,25,SC Williams,43,Sikandar Raza,33,CJ Chibhabha,30,R Mutumbami,14,E Chigumbura,4,J Nyumbu,0,WP Masakadza,0,LM Jongwe,0,T Panyangara,0
1214,D,Zimbabwe,BB Chari,17,CT Mutombodzi,3,SC Williams,51,Sikandar Raza,50,CJ Chibhabha,4,R Mutumbami,0,E Chigumbura,34,J Nyumbu,7,WP Masakadza,0,LM Jongwe,8,T Muzarabani,3
1217,D,Zimbabwe,CR Ervine,20,CT Mutombodzi,18,TS Chisoro,0,Sikandar Raza,0,CJ Chibhabha,58,R Mutumbami,30,E Chigumbura,0,J Nyumbu,0,WP Masakadza,0,LM Jongwe,0,T Panyangara,0
1220,D,Zimbabwe,CR Ervine,43,CT Mutombodzi,27,TS Chisoro,12,Sikandar Raza,3,CJ Chibhabha,8,R Mutumbami,35,E Chigumbura,25,J Nyumbu,1,WP Masakadza,1,LM Jongwe,46,T Panyangara,1
1223,D,Zimbabwe,CR Ervine,11,CT Mutombodzi,0,TS Chisoro,0,Sikandar Raza,29,CJ Chibhabha,18,R Mutumbami,74,E Chigumbura,49,SC Williams,39,WP Masakadza,0,LM Jongwe,0,T Panyangara,0
