,player_name,sum,avg
0,CT Mutombodzi,128,12.8
1,PS Masvaure,40,20.0
2,Tamim Iqbal,24,24.0
3,Najmul Hossain Shanto,29,29.0
4,B Mavuta,52,10.4
5,T Mupariwa,20,4.0
6,V Sibanda,154,22.0
7,T Muzarabani,12,1.5
8,Mustafizur Rahman,0,0.0
9,P Utseya,21,5.25
10,Sikandar Raza,1837,29.16
11,B Muzarabani,8,0.53
12,Mahmudullah,32,32.0
13,J Nyumbu,15,1.67
14,CB Mpofu,6,0.46
15,Mohammad Saifuddin,28,28.0
16,ehidy Hasan Miraz,7,7.0
17,KM Jarvis,127,7.47
18,AG Cremer,404,8.98
19,LM Jongwe,209,11.0
20,RP Burl,204,14.57
21,MN Waller,349,10.91
22,RW Chakabva,115,10.45
23,TK Musakanda,304,20.27
24,TS Kamunhukamwe,92,18.4
25,TP Kamungozi,6,3.0
26,CR Ervine,1339,24.8
27,TL Chatara,77,2.03
28,Mashrafe Mortaza,0,0.0
29,BV Vitori,31,3.44
30,DT Tiripano,286,13.0
31,T Maruma,17,17.0
32,S Matsikenyeri,19,19.0
33,CT Mumba,7,1.75
34,T Panyangara,110,4.4
35,BB Chari,105,13.12
36,SF Mire,597,19.26
37,Mushfiqur Rahim,19,19.0
38,W Madhevere,94,47.0
39,LN Roche,4,1.33
40,N Madziva,23,3.29
41,R Mutumbami,501,17.28
42,Liton Das,126,126.0
43,TS Chisoro,124,8.27
44,Mohammad Mithun,50,50.0
45,CJ Chibhabha,1005,27.16
46,PJ Moor,649,18.03
47,BRM Taylor,1219,43.54
48,R Murray,108,21.6
49,WP Masakadza,53,3.12
50,CK Tshuma,0,0.0
51,SC Williams,1559,31.82
52,C Zhuwao,75,12.5
53,H Masakadza,1527,27.27
54,E Chigumbura,928,22.63
55,CK Coventry,10,10.0
56,R Ngarava,12,1.5
57,Taijul Islam,0,0.0
